lable,NumberOfDivision
1,2
2,0
3,0
4,16
5,0
6,0
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,2
17,6
18,0
19,0
20,0
21,4
22,0
23,0
24,0
25,0
26,1
27,1
28,4
29,0
30,3
31,0
32,0
33,15
34,0
35,1
36,0
37,0
38,0
39,2
40,0
41,7
42,1
43,0
44,0
45,1
46,0
47,0
48,2
49,0
50,1
51,5
52,0
53,1
54,1
55,0
56,2
57,3
58,0
59,1
60,0
61,3
62,2
63,3
64,1
65,0
66,0
67,3
68,0
69,1
70,0
71,5
72,2
73,9
74,1
75,2
76,1
77,0
78,0
79,10
80,0
81,1
82,4
83,0
84,5
85,0
86,1
87,3
88,4
89,0
90,4
91,3
92,0
93,0
94,1
95,0
96,4
97,0
