CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
81.0,12.0,22.893964232061474,33.54640002750027,-0.044,7.0,0.067,-0.9808898895079204
82.0,12.0,24.03013877299788,34.22557897670661,0.426,7.0,0.061,-1.1072425055450337
83,17.0,25.96906012566685,,,1,NaN,-1.6602738400140635
84,17.0,41.76692643263196,,,1,NaN,-1.5315524808823195
85.0,17.0,129.18419789371706,164.152200865844,-10.117,2.0,0.144,-1.5509773931380564
86.0,23.0,69.71475811570778,124.46505253592987,13.881,2.0,0.315,-1.5443827532179912
87,23.0,75.01454799322977,,,1,NaN,-1.5684080827075304
88,32.0,80.97385398321909,,,1,NaN,-3.132871613695684
89,4.0,40.72994763918775,,,1,NaN,-1.6111791574814394
90.0,3.0,69.9163620076471,82.77555487375082,2.837,2.0,0.104,-1.5271285244193917
91.0,4.0,74.20400393114176,138.78816941780937,-5.049,2.0,0.336,-1.580003218855592
92.0,3.0,83.7610346912627,99.63508888361282,-1.438,5.0,0.1,-1.5226313493996897
93,8.0,58.82091750155943,,,1,NaN,-1.549034858892736
94.0,13.0,54.6458921568641,55.91338037332596,0.108,3.0,-0.062,-1.5540897831379301
95.0,8.0,76.89440557175811,95.87983475748054,-9.648,4.0,0.076,-1.5541203872005627
96,13.0,156.91271655920522,,,1,NaN,-1.5532529079584365
97.0,9.0,23.56690898291267,34.73047662131782,-0.599,9.0,0.057,-1.022645991500909
98.0,9.0,22.39055212712344,28.434456713747977,-1.846,6.0,0.054,-2.7992086601041826
99,20.0,36.28551300895192,,,1,NaN,-1.5321447786519948
100,20.0,97.01911898618307,,,1,NaN,-1.564693040149206
101,20.0,67.07739435031802,,,1,NaN,-1.5830813591961588
102,,8.497261952811176,,,1,NaN,-1.4285550655092465
103,32.0,44.3832301774151,,,1,NaN,-3.102144249515495
104.0,32.0,82.05968477755276,98.21481540509534,-0.277,7.0,0.031,-3.1054244403410425
105,,81.81495026674877,,,1,NaN,-3.013955448360141
106.0,35.0,17.844734582336187,13.998094646332946,-0.205,3.0,-0.152,-1.7090614158850306
107.0,13.0,54.507764366108766,109.7150530214779,-2.201,6.0,0.098,-1.5460010525214563
108.0,15.0,25.641383717435215,34.39671167183503,-0.398,7.0,0.052,-1.3840526408173683
109,13.0,121.74602328604276,,,1,NaN,-1.5396151574945596
110.0,17.0,100.99453604896703,127.3291970301009,-7.536,2.0,0.14,-1.5699875295509773
111.0,15.0,26.54930907733257,37.505716422715956,-0.022,7.0,0.061,-1.3179894361380033
112.0,20.0,65.57387097153163,144.8305448610218,-7.036,4.0,0.178,-1.5557936576582105
113.0,17.0,125.51187055368756,127.45737255547469,-1.207,3.0,0.019,-1.548727758925984
114,20.0,34.57807649047626,,,1,NaN,-1.4732662362274007
115.0,23.0,75.24284232620693,62.32506910647242,-1.939,3.0,-0.058,-1.5435496494845051
116,23.0,119.88720929883628,,,1,NaN,-1.5119209591098328
117,20.0,143.62083112801116,,,1,NaN,-1.5500854863619944
118,20.0,57.25324224510625,,,1,NaN,-1.6060525649111437
119,36.0,117.86665771628998,,,1,NaN,-3.1362761002552695
120,,26.699163196807227,,,1,NaN,-0.054094511371029615
121,,12.469839272038875,,,1,NaN,-2.998917788912069
122,4.0,13.626929191919222,,,1,NaN,-1.4110198166047712
123,3.0,17.436786891132165,,,1,NaN,-1.5216550760531296
124,4.0,8.444566446132896,,,1,NaN,-1.632365487508526
125.0,3.0,31.73882644141515,50.055954314424085,-1.055,2.0,0.256,-1.5368771869363758
126.0,4.0,118.65001701307244,134.4377958225078,-8.694,3.0,0.048,-1.5990222075900782
127.0,11.0,18.255642335839603,29.62571945818263,-1.517,3.0,0.224,-1.0867057006023066
128.0,11.0,14.912462173934928,15.231157814952573,-0.548,2.0,0.014,-0.06606829445177301
129,13.0,67.22265404996101,,,1,NaN,-1.5354680620213677
130,13.0,43.26572639630341,,,1,NaN,-1.544335633842652
131.0,20.0,54.90224812202469,65.81539306711416,2.161,6.0,0.011,-1.5579622682227738
132.0,23.0,91.16559053384094,163.56829220078475,-0.013,10.0,0.043,-1.5395086424048778
133.0,20.0,140.68418173437183,130.53308136403885,-0.334,9.0,-0.024,-1.5913650589956154
134,23.0,52.66733715675359,,,1,NaN,-1.5522011594048832
135,36.0,109.5524564778568,,,1,NaN,-3.1345872112520263
136,36.0,25.9750691324346,,,1,NaN,-3.1218424212159883
137.0,17.0,71.9158683050735,104.27974699104429,3.492,3.0,0.188,-1.5460385879232321
138,17.0,30.223270148544177,,,1,NaN,-1.660721451181177
139,17.0,34.57842821700315,,,1,NaN,-1.5436516390694506
140,,9.499520898938576,,,1,NaN,-1.5661016290816956
141,36.0,51.38462866332026,,,1,NaN,-0.05200285677576367
142.0,36.0,63.63512152373547,123.14910075356961,-0.496,3.0,0.176,-3.123544499138095
143.0,8.0,80.5561449541534,69.2399863558783,7.271,2.0,-0.11,-1.5449749495072496
144,8.0,46.81320057567644,,,1,NaN,-1.5174955109363455
145.0,17.0,122.7693315534324,90.18098231928955,9.379,2.0,-0.252,-1.5498468003243582
146.0,17.0,75.2197157553437,94.13841357498411,-5.374,3.0,0.123,-1.5496301219960138
147,3.0,11.385816903062592,,,1,NaN,-1.6025751422305836
148,4.0,51.69977826515336,,,1,NaN,-1.5732854990723992
149.0,3.0,151.39162663287968,150.0645176239165,-0.644,4.0,-0.001,-1.5251082009697536
150,4.0,121.21258855701278,,,1,NaN,-1.6008332016885232
151,11.0,20.27678980462784,,,1,NaN,-3.098394822195254
152.0,11.0,29.454279615285312,38.74795528300071,-0.792,8.0,0.052,-2.9695934579516794
153.0,20.0,99.83173577647416,75.87474428213108,-5.09,2.0,-0.218,-1.5255380078186516
154.0,20.0,112.09282904974395,159.43653987381026,-0.065,2.0,0.204,-1.5628803687083743
155,,10.040428061828116,,,1,NaN,-1.012515546532771
156,,10.222193563309595,,,1,NaN,-1.2233942939597506
157,,8.83936710162092,,,1,NaN,-1.5847508281772849
158,4.0,117.53615843206036,,,1,NaN,-1.5951209725075892
159,4.0,75.3167992021698,,,1,NaN,-1.5262735873939963
160.0,9.0,40.938849508638135,42.69443244475248,-1.873,2.0,0.027,-2.6325313141182907
161.0,17.0,94.44298056799911,89.54425098261407,-9.509,2.0,-0.037,-1.5492038695222092
162.0,9.0,18.834246466650043,39.34165811479653,-2.977,10.0,0.048,-2.483278080961812
163.0,12.0,25.08017414188265,31.964486764451983,-0.772,5.0,0.066,-1.0063237001430314
164.0,11.0,18.792321996986782,27.566525892541673,-2.296,11.0,0.042,-2.6620460224047946
165.0,11.0,22.95762163526045,28.850204073251415,-0.38,6.0,0.054,-3.0837298539581752
166.0,12.0,23.44803231489012,32.48889745584034,-0.173,6.0,0.065,-0.9549301568802188
167.0,12.0,24.86796418487596,41.57507979002388,0.111,9.0,0.074,-0.7712052720562342
168.0,17.0,109.63639599166106,127.0172476631421,-6.059,2.0,0.092,-1.5605141646761682
169.0,12.0,27.30442898938556,47.27065201681575,0.54,10.0,0.067,-1.0103458114451338
170.0,36.0,53.61942905660551,71.6498946277486,-16.496,3.0,0.168,-2.0948999340622074
171.0,36.0,77.31843973178606,83.28020476517939,-10.175,4.0,0.046,-3.123934866266884
172,,12.23707309549613,,,1,NaN,-1.5575203147906274
173,4.0,52.769717346887305,,,1,NaN,-1.5754553135905263
174,4.0,117.82609227741332,,,1,NaN,-1.6033275964965188
175,13.0,15.924302913296836,,,1,NaN,-1.602231340275914
176.0,6.0,24.820104736093192,34.29849264627518,-0.662,7.0,0.058,-2.5731557111634307
177.0,6.0,24.22180305894025,33.618342860869994,0.214,7.0,0.059,-1.5200091409641414
178.0,13.0,111.8611762692626,119.90505582569284,-2.249,2.0,0.045,-1.535807096668024
179.0,20.0,121.49089295493452,162.0293091370219,8.239,2.0,0.17,-1.546704075980376
180.0,17.0,118.7096904766652,126.67720238298111,1.425,4.0,0.014,-1.5487301083428822
181,20.0,51.71726083127764,,,1,NaN,-1.5317277068303143
182,17.0,16.335985821243746,,,1,NaN,-1.5353942590489789
183,20.0,76.89546358897258,,,1,NaN,-1.534712240672028
184.0,21.0,29.277139953251776,40.631442089337824,-0.188,6.0,0.068,-1.9512537635297462
185.0,21.0,29.62193150522702,38.810766190770956,0.723,6.0,0.053,-2.1211740800627723
186,,7.424916362994563,,,1,NaN,-1.4153502537812497
187,4.0,91.7208276006944,,,1,NaN,-1.5785638011469059
188.0,4.0,75.64946139228776,111.81945640253707,-14.46,3.0,0.02,-1.5855430987687236
189.0,17.0,62.71866237616358,98.8235064301611,10.0,2.0,0.255,-1.5621298192276902
190,17.0,28.12143831431188,,,1,NaN,-1.5679454828633943
191.0,9.0,24.249295114898253,36.659081729633456,-1.057,8.0,0.063,-1.576887928374433
192.0,9.0,25.301251079829488,28.44811762624415,-0.06,4.0,0.043,-2.5175924439513624
193.0,10.0,31.41718979531101,41.32253570735646,-0.158,6.0,0.057,-2.807110965346045
194.0,10.0,47.812371824256445,59.39586123617339,0.37,5.0,0.059,-0.44054676642363316
195.0,17.0,115.16377874279064,105.81053683977484,8.413,6.0,0.062,-1.5675952451711679
196.0,15.0,23.284106142031145,32.37773163463164,-0.382,8.0,0.056,-1.5788513380538354
197.0,15.0,24.89269805512899,32.37348087911119,-0.071,7.0,0.052,-1.3427123303044708
198.0,15.0,26.55184987956361,34.0595180245998,0.037,6.0,0.054,-1.2548205172771727
199.0,17.0,25.599716332109903,32.536180977621015,-2.906,2.0,0.144,-1.5297417096202102
200.0,15.0,25.973842550606506,37.457462818639705,0.47,7.0,0.072,-1.7783647515944447
201,3.0,108.23665502716158,,,1,NaN,-1.532615466698648
202.0,3.0,72.50578902183871,105.14964380909603,-3.216,2.0,0.214,-1.5220876198390592
203.0,13.0,72.84170389399523,81.38408573832601,2.836,4.0,0.094,-1.5426408819865227
204.0,13.0,47.54828826384233,58.68760327617209,1.092,3.0,0.045,-1.600414403198389
205.0,9.0,25.224744155437232,37.347180277825935,-2.082,7.0,0.067,-2.2601749281600543
206.0,9.0,25.616554490311447,34.449569059026224,0.307,6.0,0.067,-2.875985431874255
207.0,20.0,65.45725881863831,82.5532812612355,0.107,6.0,-0.014,-1.5184424867263069
208,20.0,236.39179594996384,,,1,NaN,-1.5565202125878812
209,,7.858038816643984,,,1,NaN,-1.4589674177899266
210.0,46.0,104.21581774498983,115.22924105996161,0.167,6.0,0.009,-3.117196211722471
211,17.0,166.7613384944125,,,1,NaN,-1.5466468194758793
212.0,6.0,36.46360475270783,42.8732327962316,0.172,4.0,0.052,-1.2060189544741713
213.0,6.0,28.099272909095035,34.399775905143336,0.659,5.0,0.057,-1.4614607040382057
214,10.0,25.689228090725877,,,1,NaN,-2.5840305356405566
215.0,17.0,53.422692923691535,34.86815854493747,2.947,2.0,-0.395,-1.5278195739281133
216.0,10.0,79.3828213609422,97.00913887723237,-3.496,2.0,0.122,-2.651957073367225
217.0,20.0,107.24879802005252,121.90660610808666,1.198,4.0,0.088,-1.559725183033572
218.0,20.0,83.45664070746885,157.3404394184223,9.865,2.0,0.34,-1.5655136603828805
219,36.0,193.47863407394115,,,1,NaN,-3.0887513213794047
220.0,36.0,73.33109484512056,98.28890176189778,-5.936,4.0,-0.093,-2.3485862396168877
221,,61.30148823502169,,,1,NaN,-0.004154980905627956
222.0,3.0,71.33779035483077,99.45108276130273,1.686,4.0,0.156,-1.5239302397021954
223,17.0,169.4426217841911,,,1,NaN,-1.5943377752753343
224.0,3.0,81.2590780407441,82.23720192466901,0.42,3.0,-0.031,-1.5248163455900157
225,17.0,120.53846523749172,,,1,NaN,-1.5520655525645093
226.0,12.0,22.34995284833223,32.51712485892611,-0.704,5.0,0.115,-1.2671122878782901
227.0,12.0,19.193682686388048,25.826248589460977,-0.107,5.0,0.072,-1.2951021023450608
228.0,17.0,39.9719417480119,47.440401823218764,3.012,2.0,0.106,-1.5206167185358912
229.0,17.0,111.97522928304814,70.91069395413163,4.982,3.0,-0.337,-1.5314206401017572
230,,6.458919113601242,,,1,NaN,-1.642182299304702
231,17.0,86.47672448156867,,,1,NaN,-1.57631703053556
232,17.0,84.47078695839016,,,1,NaN,-1.5865412426733263
233,17.0,55.59817613787071,,,1,NaN,-1.574177097992695
234.0,9.0,35.037928005390704,41.10102499722638,-2.433,3.0,0.08,-2.875934898138117
235.0,17.0,87.21879322601237,65.71690984472146,-5.345,3.0,0.015,-1.5226954732570455
236.0,10.0,68.46664575057669,92.46143939441046,-2.252,7.0,0.06,-2.598436671293855
237.0,9.0,18.047617289380916,28.90839577760888,-1.949,7.0,0.084,-2.519959386674355
238.0,11.0,19.079912629978548,28.7720360980073,-0.577,7.0,0.08,-2.78387862655161
239.0,10.0,30.25122616924833,27.059730976317134,-0.212,10.0,0.005,-2.712847823493765
240.0,11.0,21.18908257079428,30.411670293879315,-0.019,7.0,0.072,-0.9163867701691701
241.0,12.0,20.81066561613968,33.02298886773137,-0.261,8.0,0.069,-1.3657909512376323
242.0,10.0,27.08924323549824,34.545090306143535,1.236,6.0,0.052,-2.5589960794627618
243.0,12.0,24.866828536114998,34.18262140752814,0.367,6.0,0.068,-0.9746543165005633
244.0,20.0,96.27429333713796,63.57621053425953,2.528,2.0,-0.379,-1.5381354671759238
245,23.0,57.10537811495711,,,1,NaN,-1.54933950158556
246.0,23.0,117.40950147317857,153.30839705631573,-6.093,2.0,0.159,-1.5325064901942806
247.0,20.0,100.7724884901844,120.87782422029952,-0.252,9.0,0.016,-1.5981056215726857
248,,21.84998022086275,,,1,NaN,-1.5731897133546795
249,13.0,31.60830542164532,,,1,NaN,-1.5621427673352537
250.0,13.0,87.16409892782858,104.59209645186921,-2.532,2.0,0.112,-1.530842427261075
251.0,11.0,27.227473158818643,35.73062929296403,-3.283,4.0,0.086,-2.5914884003838137
252.0,11.0,29.60934275935788,36.07883647282025,-0.728,4.0,0.066,-2.945661756316673
253.0,10.0,34.006260056639164,44.902587664488024,0.621,4.0,0.089,-2.777271414497995
254.0,10.0,46.373293088495934,59.294007829403235,0.694,5.0,0.059,-0.6493802901985167
255.0,21.0,29.25445511943352,37.48597213392116,-0.214,5.0,0.062,-1.7174648703423796
256.0,21.0,27.17071196340408,34.02193660379803,1.175,5.0,0.057,-1.6702570754401989
257.0,21.0,26.90073224719536,35.42248901156256,0.051,5.0,0.065,-1.8500717866062246
258.0,21.0,22.80935738090623,31.220540187062035,-0.006,11.0,0.031,-1.7913017870877348
259,,7.93707305330547,,,1,NaN,-1.784637542123143
260,,100.1574499555933,,,1,NaN,-3.1136952211312536
261.0,52.0,196.1461740141233,183.38600680568743,-4.727,2.0,-0.046,-1.5902282904111154
262.0,6.0,28.418893961549028,35.19356110353556,-0.207,6.0,0.05,-2.7274047161086927
263.0,6.0,24.216824274418958,34.13802753701723,-0.523,7.0,0.066,-2.8011834190822182
264.0,6.0,22.257218623554007,29.983069554176954,0.247,6.0,0.067,-1.839474196842348
265.0,6.0,25.181773527377903,31.3655084919032,-0.281,5.0,0.066,-1.6251375324966193
266,,35.842337506462805,,,1,NaN,-2.0362087659351786
267.0,6.0,25.500900810083696,33.439771625463706,1.012,6.0,0.058,-1.6026339646263583
268.0,6.0,30.110827475499228,35.08640107518455,0.544,4.0,0.047,-1.1082468927810207
269.0,10.0,28.19301493052542,36.98394710377274,0.004,6.0,0.06,-2.4246347624299127
270.0,10.0,29.982254552283,44.20591932348982,0.576,13.0,0.034,-2.6896359991134426
271.0,17.0,105.42855535369326,87.39730657802858,6.173,8.0,-0.049,-1.5677457799231038
272.0,15.0,24.773865273983223,33.39908889243059,0.351,6.0,0.062,-0.7303389228959937
273.0,15.0,22.33965684360104,31.776305400566393,1.029,7.0,0.068,-1.4674735736691782
274.0,20.0,64.13880083889795,110.73081910060576,-0.312,3.0,0.18,-1.543637011590488
275.0,17.0,62.3408289659937,85.39247588464991,5.477,4.0,0.12,-1.5503739216983372
276.0,20.0,88.3338936368838,83.89407796734807,0.505,2.0,-0.035,-1.5720301553501819
