StepNumber,NumberOfCells
1,29
2,30
3,30
4,30
5,31
6,31
7,33
8,33
9,33
10,33
11,33
12,33
13,34
14,34
15,35
16,35
17,35
18,35
19,35
20,35
21,35
22,37
23,37
24,38
25,38
26,38
27,39
28,39
29,39
30,40
31,42
32,44
33,47
34,50
35,51
36,55
37,57
38,59
39,61
40,64
41,64
42,65
43,68
44,70
45,71
46,72
47,73
48,74
49,74
50,76
51,78
52,79
53,82
54,86
55,95
56,96
57,100
58,102
59,104
60,109
61,113
62,116
63,122
64,124
65,131
66,136
67,141
68,145
69,153
70,158
71,162
72,167
73,177
74,188
75,195
76,203
77,213
78,222
79,229
80,233
81,242
82,253
83,261
84,271
85,284
86,291
87,297
88,317
89,324
90,330
91,339
92,347
93,365
94,376
95,380
96,391
97,409
98,421
99,438
100,446
101,454
102,463
103,477
104,475
105,492
106,500
107,506
108,512
109,515
110,491
111,492
112,446
