TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis
1,1,61.70854675661048,1.0,130.93251533742333,53.015337423312886,False,39.84741516520157,10.577618592885974
1,2,86.03881246650087,2.0,195.15444015444012,58.83783783783784,False,35.25594720875169,9.569073336264882
1,3,-61.39500439430895,3.0,329.6168582375479,83.66283524904215,False,29.586620446996346,11.298996096499168
1,4,-11.215239402472978,4.0,239.35919540229884,112.0,False,47.504803513893584,9.571839233477696
1,5,6.217426220790993,5.0,44.21461187214612,138.0958904109589,False,28.905004295465773,9.738135700737216
1,6,13.75040487534255,6.0,46.57211538461539,166.93269230769232,False,27.217530153054337,9.82013098109802
1,7,-35.29949057150252,7.0,116.70892018779342,171.3661971830986,False,27.980917357806,9.777279145343998
1,8,58.17058468729429,8.0,232.19897959183675,193.6377551020408,False,27.24090299358579,9.214904335005048
1,9,80.64099813511139,9.0,281.2911392405063,224.20675105485236,False,27.326791257046743,11.086142396195203
1,10,65.82089840665147,10.0,267.5532994923858,253.1776649746193,False,21.73739384030501,11.988623621522928
1,12,-78.01260642922277,12.0,132.8790322580645,285.71774193548384,False,48.34608096925334,10.112659864304696
1,13,85.24093015350188,13.0,140.35570469798657,298.8120805369128,False,40.73552903272178,10.823185089223283
2,1,62.87047114673406,1.0,130.82985074626865,53.322388059701495,False,40.354639338609694,10.72384292939873
2,2,86.35660135609649,2.0,195.04511278195488,59.15413533834587,False,35.86740121454522,9.651265173688206
2,3,-60.43136089085965,3.0,329.4494382022472,83.76404494382022,False,30.03597980648172,11.41234199693888
2,4,-11.417134675997602,4.0,239.22598870056495,112.38983050847456,False,48.003065984972935,9.690374824330643
2,5,8.203019336285127,5.0,44.0,137.77631578947367,False,29.488240952231823,9.941633365933273
2,6,13.434451810861145,6.0,46.602739726027394,167.2785388127854,False,28.240353986142345,9.954876938121078
2,7,-34.75521319934681,7.0,116.4816513761468,171.73394495412845,False,28.574573446454263,9.820771055347985
2,8,58.006509527779215,8.0,232.085,193.71,False,27.789957816774997,9.213959221847384
2,9,80.40496051792823,9.0,281.23553719008265,224.2603305785124,False,27.675684401265144,11.18227052790216
2,10,57.81097869497012,10.0,274.9974293059126,257.91002570694087,False,43.963904590569214,11.958871732408788
