ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,123.81007751937985,94.47286821705427,0,1
2,1,1,124.6900826446281,93.7107438016529,0,1
3,1,1,126.93388429752066,93.43388429752066,0,1
4,1,1,102.95384615384616,95.76153846153846,0,1
5,1,1,108.12411347517731,96.37234042553192,0,1
6,1,1,109.05633802816901,86.53521126760563,0,1
6,2,1,114.86,103.06,0,2
7,1,1,110.98013245033113,84.15894039735099,0,1
7,2,1,117.15950920245399,101.15950920245399,0,2
8,1,1,109.37735849056604,84.27672955974843,0,1
8,2,1,115.69590643274854,101.42690058479532,0,2
9,1,1,116.45294117647059,84.26470588235294,0,1
9,2,1,122.81012658227849,102.41772151898734,0,2
10,1,1,117.67391304347827,84.44565217391305,0,1
10,2,1,124.52513966480447,102.40782122905028,0,2
11,1,1,116.54455445544555,81.72277227722772,0,1
11,2,1,122.61979166666667,99.40625,0,2
12,1,1,116.84433962264151,81.91981132075472,0,1
12,2,1,121.7609756097561,99.56585365853658,0,2
13,1,1,118.36322869955157,82.13452914798206,0,1
13,2,1,122.19431279620854,99.62085308056872,0,2
14,1,1,118.93191489361702,82.78297872340426,0,1
14,2,1,122.87826086956522,100.16956521739131,0,2
15,1,1,121.04382470119522,82.51394422310757,0,1
15,2,1,124.32444444444444,100.1511111111111,0,2
16,1,1,119.85382059800665,81.59800664451828,0,1
16,2,1,122.76865671641791,98.32462686567165,0,2
17,1,1,120.312693498452,82.52941176470588,0,1
17,2,1,123.66312056737588,97.76950354609929,0,2
18,1,1,121.2046783625731,84.85672514619883,0,1
18,2,1,126.34105960264901,97.70529801324503,0,2
19,1,1,121.78688524590164,85.04098360655738,0,1
19,2,1,127.21069182389937,97.48427672955975,0,2
20,1,1,121.50502512562814,85.85678391959799,0,1
20,2,1,126.79320113314448,97.57790368271955,0,2
21,1,1,128.2101167315175,73.26848249027238,0,1
21,2,1,124.74259681093395,95.70615034168564,0,2
21,3,1,110.22,97.332,0,3
22,1,1,129.24908424908426,71.52747252747253,0,1
22,2,1,125.446088794926,93.56236786469344,0,2
22,3,1,109.29166666666667,97.07575757575758,0,3
23,1,1,132.6326530612245,69.70068027210884,0,1
23,2,1,126.8273092369478,92.8714859437751,0,2
23,3,1,110.14336917562724,96.97491039426524,0,3
24,1,1,136.31152647975077,69.59190031152647,0,1
24,2,1,129.92962962962963,92.88333333333334,0,2
24,3,1,111.84193548387097,98.35806451612903,0,3
25,1,1,138.9106628242075,67.69164265129683,0,1
25,2,1,131.8114186851211,91.37889273356402,0,2
25,3,1,111.86186186186187,98.57357357357357,0,3
26,1,1,155.22633744855966,54.13168724279836,0,1
26,2,1,134.7783251231527,70.14778325123153,0,2
26,3,1,147.31741573033707,75.28932584269663,0,3
26,4,1,110.25961538461539,99.69951923076923,0,4
26,5,1,117.53763440860214,105.59408602150538,0,5
27,1,1,158.94758064516128,51.556451612903224,0,1
27,2,1,147.09214092140923,72.42276422764228,0,2
27,3,1,135.99099099099098,68.89189189189189,0,3
27,4,1,108.58333333333333,100.4407894736842,0,4
27,5,1,116.09693877551021,106.10204081632654,0,5
28,1,1,164.852,49.264,0,1
28,2,1,139.31140350877192,66.1798245614035,0,2
28,3,1,150.31185567010309,70.10567010309278,0,3
28,4,1,109.65714285714286,100.10816326530612,0,4
28,5,1,116.11316397228637,107.1039260969977,0,5
29,1,1,169.91240875912408,49.2992700729927,0,1
29,2,1,154.81204819277107,70.08192771084337,0,2
29,3,1,141.972,67.516,0,3
29,4,1,108.94095238095238,103.99428571428571,0,4
29,5,1,116.98109243697479,109.65546218487395,0,5
30,1,1,172.82993197278913,46.79251700680272,0,1
30,2,1,162.3468085106383,64.49574468085106,0,2
30,3,1,141.76678445229683,65.82685512367492,0,3
30,4,1,110.83922261484099,102.05123674911661,0,4
30,5,1,120.21247563352827,106.40545808966861,0,5
31,1,1,164.67958656330748,47.7390180878553,0,1
31,2,1,183.5253164556962,49.164556962025316,0,2
31,3,1,154.23465703971118,68.74729241877256,0,3
31,4,1,126.95081967213115,73.97540983606558,0,4
31,5,1,135.74213836477986,77.61320754716981,0,5
31,6,1,131.87761194029852,95.4955223880597,0,6
31,7,1,99.56951871657753,107.27272727272727,0,7
31,8,1,98.62300319488818,118.1373801916933,0,8
32,1,1,177.5121951219512,41.28780487804878,0,1
32,2,1,184.640350877193,48.038011695906434,0,2
32,3,1,154.26020408163265,50.066326530612244,0,3
32,4,1,126.13349514563107,73.53398058252426,0,4
32,5,1,153.31,68.67666666666666,0,5
32,6,1,136.45530726256985,75.37430167597765,0,6
32,7,1,134.85792349726776,94.09289617486338,0,7
32,8,1,96.8547215496368,108.3680387409201,0,8
32,9,1,98.03757225433526,117.80346820809248,0,9
