TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
1,1,114.73210144043,52.577075958252,53.0731391906738,1,0,2,3,True,0.014,-1.583
2,1,112.030075073242,52.7580261230469,54.3731536865234,1,0,2,3,True,0.03,-1.601
3,1,108.622543334961,54.2788772583008,57.077507019043,1,0,2,3,True,0.019,-1.019
4,1,106.780059814453,54.5372085571289,58.7478561401367,1,0,2,3,True,0.043,0.816
5,1,104.012199401855,62.0713958740234,62.5778579711914,1,0,2,3,True,0.021,1.157
6,1,102.856101989746,67.198127746582,64.4713516235352,1,0,2,3,True,0.043,0.282
7,1,101.073379516602,70.5931701660156,68.3365936279297,1,0,2,3,True,0.023,3.09
8,1,99.3407745361328,80.5904693603516,70.3785858154297,1,0,2,3,True,0.035,2.357
9,1,97.6943054199219,87.9553756713867,73.5143966674805,1,0,2,3,True,0.049,0.175
10,1,98.2922210693359,87.6819152832031,77.954460144043,1,0,2,3,True,0.05,-0.137
11,1,97.480354309082,88.2773818969727,82.48583984375,1,0,2,3,True,0.044,-0.155
12,1,97.0799026489258,88.372200012207,86.4579467773438,1,0,2,3,True,0.087,1.565
13,1,95.4073181152344,93.5592193603516,94.3310546875,1,0,2,3,True,,
14,3,86.0444869995117,113.117256164551,46.5913352966309,1,1,0,0,False,,
14,2,103.986740112305,74.8300476074219,51.5224800109863,1,1,0,0,False,,
