lable,NumberOfDivision
1.0,42.0
3.0,5111.0
4.0,784.0
5.0,18.0
6.0,404.0
8.0,171.0
9.0,19.0
12.0,319.0
13.0,NaN
15.0,NaN
16.0,NaN
17.0,NaN
18.0,5.0
19.0,170.0
22.0,NaN
27.0,NaN
30.0,NaN
31.0,NaN
32.0,23.0
33.0,5.0
34.0,114.0
36.0,NaN
38.0,NaN
40.0,NaN
42.0,30.0
43.0,NaN
47.0,NaN
49.0,213.0
50.0,41.0
51.0,NaN
52.0,NaN
53.0,NaN
54.0,NaN
56.0,NaN
57.0,20.0
58.0,5.0
60.0,3.0
61.0,3.0
62.0,169.0
67.0,NaN
68.0,5.0
70.0,NaN
71.0,2.0
72.0,NaN
74.0,2.0
75.0,NaN
76.0,NaN
78.0,NaN
79.0,NaN
81.0,NaN
82.0,NaN
83.0,NaN
84.0,35.0
85.0,2.0
86.0,6.0
87.0,NaN
88.0,35.0
89.0,9.0
90.0,NaN
92.0,2.0
95.0,NaN
97.0,9.0
98.0,NaN
99.0,7.0
101.0,12.0
102.0,220.0
103.0,33.0
105.0,NaN
106.0,NaN
107.0,NaN
108.0,3.0
109.0,23.0
112.0,14.0
114.0,16.0
117.0,6.0
118.0,NaN
119.0,NaN
120.0,5.0
121.0,NaN
122.0,2.0
123.0,NaN
124.0,48.0
126.0,49.0
127.0,4.0
128.0,2.0
130.0,NaN
132.0,NaN
133.0,45.0
134.0,NaN
135.0,NaN
136.0,NaN
137.0,6.0
138.0,21.0
139.0,NaN
140.0,NaN
142.0,NaN
144.0,NaN
145.0,NaN
146.0,NaN
147.0,5.0
148.0,62.0
149.0,2.0
150.0,5.0
151.0,19.0
152.0,18.0
153.0,99.0
154.0,6.0
156.0,4.0
157.0,NaN
158.0,88.0
159.0,NaN
160.0,NaN
161.0,264.0
162.0,4.0
165.0,2.0
166.0,NaN
167.0,NaN
169.0,53.0
170.0,16.0
173.0,17.0
174.0,5.0
175.0,NaN
176.0,NaN
177.0,NaN
178.0,3.0
179.0,21.0
181.0,2.0
184.0,8.0
185.0,NaN
186.0,NaN
187.0,NaN
189.0,NaN
190.0,26.0
191.0,61.0
192.0,4.0
193.0,20.0
194.0,75.0
195.0,17.0
196.0,5.0
197.0,29.0
198.0,NaN
199.0,NaN
200.0,14.0
201.0,NaN
202.0,78.0
203.0,98.0
204.0,24.0
205.0,NaN
206.0,NaN
