time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.911,0.7587,0.8689,0.8103,0.6038
2.0,0.8585,0.7317,0.8577,0.8345,0.602
3.0,0.9008,0.7639,0.881,0.8345,0.6189
4.0,0.8855,0.7494,0.9007,0.8474,0.6159
5.0,0.887,0.7599,0.8944,0.8302,0.6268
6.0,0.9541,0.7772,0.8959,0.8328,0.6407
7.0,0.9668,0.7763,0.8431,0.836,0.6477
8.0,0.8896,0.7818,0.9045,0.8144,0.6522
9.0,0.902,0.7802,0.903,0.797,0.6588
10.0,0.897,0.7939,0.9038,0.8098,0.6571
11.0,0.9252,0.8125,0.8968,0.8189,0.6703
12.0,0.9324,0.8121,0.9009,0.8274,0.6715
13.0,0.9511,0.7807,0.763,0.6636,0.6813
14.0,0.954,0.7739,0.7336,0.6432,0.6774
15.0,0.9293,0.6916,0.6707,0.6189,0.6143
16.0,0.9146,0.8553,0.7749,0.8014,0.5935
17.0,0.9162,0.8429,0.807,0.8268,0.6016
18.0,0.9212,0.8597,0.8561,0.8221,0.58
19.0,0.919,0.8108,0.8019,0.816,0.5805
20.0,0.9319,0.7361,0.7714,0.7221,0.5979
21.0,0.9217,0.7549,0.7326,0.7811,0.6025
22.0,0.9317,0.7035,0.7007,0.6342,0.6049
23.0,0.9108,0.6687,0.6994,0.6719,0.5841
24.0,0.8017,0.6816,0.6964,0.7354,0.55
25.0,0.77,0.6818,0.7546,0.7826,0.5405
26.0,0.7694,0.6397,0.6577,0.7472,0.5008
27.0,0.858,0.5866,0.6495,0.7727,0.4688
28.0,0.6759,0.4925,0.5817,0.7689,0.4259
29.0,0.6566,0.4354,0.5692,0.7389,0.4087
30.0,0.6086,0.3748,0.5137,0.759,0.3645
31.0,0.5741,0.3043,0.4903,0.7587,0.336
32.0,0.5329,0.4329,0.4487,0.778,0.2608
33.0,0.4672,0.3915,0.4344,0.7456,0.2323
34.0,0.5312,0.1503,0.5031,0.6708,0.2378
35.0,0.5272,0.0852,0.494,0.6622,0.2029
36.0,0.5456,0.6036,0.4978,0.5692,0.1908
37.0,0.5707,0.5942,0.4654,0.5279,0.1734
38.0,0.9025,0.68,0.7295,0.468,0.2016
39.0,0.9038,0.7141,0.7199,0.7273,0.1654
