lable,NumberOfDivision
1,3
2,0
3,6
4,13
5,10
6,6
7,5
8,2
9,0
10,3
11,9
12,8
13,1
14,1
15,7
16,0
17,20
18,1
19,4
20,0
21,15
22,13
23,1
24,0
25,11
26,1
27,5
28,0
29,4
30,5
31,7
32,0
33,1
34,8
35,11
36,2
37,15
38,2
39,22
40,6
41,17
42,2
43,3
44,15
45,4
46,11
47,10
48,1
49,0
50,13
51,16
52,1
53,13
54,15
55,2
56,3
57,1
58,1
59,14
60,6
61,10
62,5
63,2
64,0
65,1
66,0
67,1
68,0
69,0
