StepNumber,NumberOfCells
1,69
2,67
3,66
4,66
5,65
6,68
7,65
8,67
9,67
10,67
11,68
12,68
13,68
14,68
15,67
16,71
17,70
18,74
19,73
20,70
21,71
22,73
23,73
24,72
25,73
26,73
27,71
28,73
29,73
30,73
31,76
32,77
33,81
34,80
35,81
36,85
37,83
38,81
39,81
40,85
41,86
42,88
43,91
44,93
45,91
46,93
47,91
48,92
49,94
50,91
51,92
52,94
53,92
54,96
55,101
56,95
57,100
58,105
59,99
60,96
61,97
62,95
63,97
64,99
65,96
66,93
67,89
68,87
69,83
70,86
71,88
72,83
73,83
74,79
75,79
76,82
77,83
78,82
79,74
80,79
81,72
82,69
83,71
84,71
85,70
86,70
87,67
88,72
89,65
90,61
91,62
92,57
93,52
94,51
95,52
96,54
97,48
98,44
99,49
100,44
101,41
102,41
103,38
104,38
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
