Channel_data,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07Watershed,ExecutionTime_08IdentifySecondaryObjects,ExecutionTime_09TrackObjects,ExecutionTime_10MeasureObjectSizeShape,FileName_data,Frame_data,Group_Index,Group_Number,Height_data,ImageNumber,ImageSet_ImageSet,MD5Digest_data,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07Watershed,ModuleError_08IdentifySecondaryObjects,ModuleError_09TrackObjects,ModuleError_10MeasureObjectSizeShape,PathName_data,ProcessingStatus,Scaling_data,Series_data,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_data,Width_data
-1,106.0,106.0,112.0,0.0,0.0,1.28125,0.0,0.15625,0.015625,0.40625,0.5625,0.90625,2.015625,Object Predictions_yellow_T001.tif,0,1,1,1060,1,b'eLtcqMh2sxlNbgOU3AwM9Uoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADHhkuQ=',6482856b78f58f831b3f60fd3b1ea612,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T001.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.830595574072504e-08,3.8305956e-08,-13.564651660749416,0.001997259045596618,0,0,106,0,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T001.tif,536
-1,105.0,105.0,112.0,0.0,0.0,0.640625,0.0,0.609375,0.015625,0.40625,0.578125,0.6875,1.890625,Object Predictions_yellow_T002.tif,0,2,1,1060,2,b'eLtcqMh2sxlNbgOU3AyM9Eoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADIukuU=',557ad21368465f4ff5888dc9debf1f17,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T002.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.6474872899816546e-08,3.6474873e-08,-13.558964957572222,0.0020345214089114378,1,5,1,3,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T002.tif,536
-1,106.0,106.0,113.0,0.0,0.0,0.34375,0.0,0.5625,0.015625,0.453125,0.734375,0.796875,1.90625,Object Predictions_yellow_T003.tif,0,3,1,1060,3,b'eLtcqMh2sxlNbgOU3AyM9Uoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADJ7kuY=',297e54a678a3c5f99ca7b7821d5b5550,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T003.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.2073270261889775e-08,3.207327e-08,-13.560700507825038,0.0020816611457826176,0,3,0,8,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T003.tif,536
-1,110.0,110.0,116.0,0.0,0.0,0.234375,0.0,0.5,0.0,0.4375,0.5625,0.734375,2.515625,Object Predictions_yellow_T004.tif,0,4,1,1060,4,b'eLtcqMh2sxlNbgOU3AxM9Eoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADLIkuc=',772dc538fdbcda2f9c4a7d44904d6f18,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T004.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.711986096277542e-08,3.711986e-08,-13.569039693924474,0.0020784806847430645,1,3,4,9,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T004.tif,536
-1,111.0,111.0,119.0,0.0,0.0,0.25,0.0,0.078125,0.015625,0.46875,1.203125,0.703125,3.0,Object Predictions_yellow_T005.tif,0,5,1,1060,5,b'eLtcqMh2sxlNbgOU3AxM9Uoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADMVkug=',a31f40f7fd1fe36a63ce2bd295ad49a4,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T005.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.253419578186367e-08,3.2534196e-08,-13.567488450201317,0.0020816885025864338,1,1,0,11,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T005.tif,536
-1,111.0,111.0,117.0,0.0,0.0,0.203125,0.0,0.140625,0.015625,0.484375,0.671875,0.765625,2.34375,Object Predictions_yellow_T006.tif,0,6,1,1060,6,b'eLtcqMh2sxlNbgOU3AzM9Eoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADNikuk=',b10d0f7c4794da419ed2ac677be7e9ac,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T006.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.2073270261889775e-08,3.207327e-08,-13.572531272702225,0.002171257935770157,1,6,2,11,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T006.tif,536
-1,114.0,114.0,121.0,0.0,0.0,0.171875,0.0,0.09375,0.03125,0.453125,0.65625,0.8125,2.25,Object Predictions_yellow_T007.tif,0,7,1,1060,7,b'eLtcqMh2sxlNbgOU3AzM9Uoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADOvkuo=',df3dc43e54ee44a8ae6421ee683e3015,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T007.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.6874784115070725e-08,3.6874784e-08,-13.57183177180152,0.002184625983607573,1,3,0,16,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T007.tif,536
-1,112.0,112.0,120.0,0.0,0.0,0.28125,0.0,0.09375,0.015625,0.40625,0.609375,0.65625,2.59375,Object Predictions_yellow_T008.tif,0,8,1,1060,8,b'eLtcqMh2sxlNbgOU3Aws9Eoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADP8kus=',d4d0be7c77805d57655199506d95b70d,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T008.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.862443875846111e-08,3.862444e-08,-13.567504289881056,0.0022482217073783494,3,3,1,15,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T008.tif,536
-1,111.0,111.0,120.0,0.0,0.0,0.234375,0.0,0.109375,0.015625,0.453125,0.609375,0.75,1.90625,Object Predictions_yellow_T009.tif,0,9,1,1060,9,b'eLtcqMh2sxlNbgOU3Aws9Uoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADRJkuw=',d8ec9370e3584ae26044c3f65fb349e8,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T009.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.830595574072504e-08,3.8305956e-08,-13.57272169165542,0.002272424787116959,0,3,1,15,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T009.tif,536
-1,112.0,112.0,121.0,0.0,0.0,0.125,0.0,0.109375,0.015625,0.40625,0.578125,1.046875,2.21875,Object Predictions_yellow_T010.tif,0,10,1,1060,10,b'eLtcqMh2sxlNbgOU3AwN9Eoy08ApC+Z+YLiA3AVKes4oaRDEQKRDcMgAGeBQBdLAsLYDADHikuQ=',0a2b5a02702000c735db79b3e0750422,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T010.tif,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Desktop\mono-yellow-phase\segmentation,Done,255,0,3.830595574072504e-08,3.8305956e-08,-13.573363377120078,0.00229155840423841,0,2,1,15,file:///C:/Users/Administrator/Desktop/mono-yellow-phase/segmentation/Object%20Predictions_yellow_T010.tif,536
