CellNumber,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.0186793297673255,10665.4919573801,40,38.1230544127045,15357.4674660536
2,0.0120964571175924,10485.3546677564,42,-6.46811794879163,13356.2078340262
3,0.0116007255488606,20487.4958401336,2,41.2893121900925,20727.9442463629
4,0.021648393197099,14862.4580934856,13,107.213451475653,17084.0923857345
5,0.0100513399337575,14236.4586328024,9,20.0986923361132,14805.0494695241
6,0.0134099817312257,13094.9585917132,18,39.8343533443137,14837.8030612954
7,0.0122047937573709,9828.44869228456,34,52.0885545974499,12110.0002251922
8,0.0155667746856467,17673.8156896454,13,18.4034449556258,19577.42297779
9,0.0093957780055236,16705.9226069071,2,-0.404625085095176,16864.3718382627
10,0.0142987275940323,10318.2608404205,30,9.17206677120848,12742.8648497159
11,0.010050005162834,11355.2332357742,43,-22.5089578522944,14009.4797436239
12,0.01431553835233,8503.61386776736,16,20.8205843288251,9770.73285212471
13,0.0140362752689462,9800.48023050469,12,52.7585148364645,10525.1384985694
14,0.0112072153796047,7622.00962747052,15,-57.5741580656613,8372.12499723216
15,0.0128655456484247,8657.81991769865,15,41.1818685261183,9566.5281904957
16,0.0125714533218627,9000.23802499532,51,34.3635356981012,12734.389277547
17,0.0113378254203149,7162.11375860726,51,76.3807150728241,9403.7362011729
18,0.0165398001717413,9517.01821820208,7,81.3606410249122,10104.7704272764
19,0.014062489284041,8809.87281966276,5,219.820691866448,9073.62019524409
20,0.0129489347155744,10629.823159001,47,14.5531649099015,14356.3817493053
21,0.0125137741997897,9237.25703798275,47,4.2908618569088,12374.8303298983
22,0.0212803831183783,11856.4846628456,4,1.87180374377931,12439.9841764112
23,0.0139266440936868,9251.49517999595,39,-16.1306577591593,12280.0903771424
24,0.0136007038150099,10608.1230457642,43,-40.6124854738645,13867.098695226
25,0.0144867721768636,10365.2666212018,35,9.77821966013247,13415.7020460277
26,0.0173204264656097,12530.0447849707,31,39.0629918437048,16904.353106779
27,0.00975785948544061,9617.20731351865,2,140.320085672782,9711.97236751561
28,0.0142960635765721,7549.10835688987,34,-0.137470589635675,9671.89797270962
29,0.0102500048199384,8405.21000331484,15,-42.9163550960337,8813.30057102015
30,0.0181893277981537,11345.929496182,30,36.7123465914156,14927.885120187
31,0.0156463391191939,10118.6454161984,21,119.628069659744,11802.7222962157
32,0.0118229536537212,16436.6848485739,3,-14.1983219979884,16742.7394042916
33,0.0183109415525102,21147.8949079156,5,118.800165724329,22090.4356191336
34,0.00874674545708118,6716.16517350376,26,43.7426058964327,7466.32562320327
35,0.00921879304222533,7249.34802698582,26,66.2995207373298,8224.01606509147
36,0.00993387082333665,8331.97243194222,10,-21.1905762403272,8612.76887990042
37,0.0147459249035791,8131.68914754196,8,35.0391103263828,8665.31608006092
38,0.0176062349234616,9846.38583756551,17,-101.381747145268,11431.922095426
39,0.017615338858208,10765.4944125287,17,26.5578616872907,12428.2695256843
40,0.0173670164581345,10955.0876576105,2,139.39038675659,11148.6876355481
41,0.0123514834650864,11316.6022568236,2,74.180522134644,11458.1198380167
42,0.0179228433467564,10000.9058533764,2,-35.7815729071372,10183.4018285469
43,0.017364814661405,10769.9426470109,12,-20.5473268679731,11860.3554317501
44,0.00854280932142903,11730.4242447661,8,162.914909768147,12166.7084689671
45,0.00964672321527142,10258.1429329655,3,-15.3020919722791,10432.7327087187
46,0.0125445545210749,7806.43265388175,18,-24.4342410530606,8740.80776359193
47,0.00995513472777828,8446.06896828249,18,-123.29045037829,9211.75513545025
48,0.00956759664090138,9597.26446122166,12,-70.7005482771322,10226.7433924434
49,0.00816486569945803,7215.35815108863,12,4.47985856169907,7529.89229596381
50,0.0154451874810489,9356.79103761129,16,46.4048159871882,10627.3585225939
51,0.0139925713078715,9842.22293830968,16,-33.6010992411984,11017.816671337
52,0.0196548324321128,14721.0824001043,5,108.968528571847,15386.0968730075
53,0.010101111000365,11063.2267681022,2,-66.3066017399833,11176.1140977928
54,0.0106290270469736,9749.41579349278,11,11.7733810681582,10356.8965588707
55,0.010198687314036,9891.92673867759,11,39.2526738147426,10474.1684997204
56,0.0071339696067246,13432.2143458402,3,196.066854497098,13601.7357057786
57,0.00518708867190742,16555.3092736628,2,6.02770339236667,16641.6301105129
58,0.0178104205840949,11720.9710097464,9,-127.940133906176,12795.822007883
59,0.0119741013159365,13891.7836064712,8,14.6126138089003,14535.2365463995
60,0.0228231304326444,19872.4548821021,6,74.9825458875396,21272.5784802955
61,0.0186440320445986,16306.8949255452,8,-112.660050671925,17449.4941299516
62,0.00430447964099501,12384.276822685,8,48.3493054043247,12513.2740463221
63,0.0157000466026625,7978.56300816274,7,36.0029190303571,8509.74032559371
64,0.0142289932125822,8603.89604526011,7,78.4126261007332,9040.34523887765
65,0.0167591258582606,12174.0343443376,7,-6.38246212785556,13004.6515615907
66,0.0158232597128493,15019.8419573717,6,-115.470544224769,15801.3541698574
67,0.022297954891443,14606.3416529106,6,93.8985406921941,15665.5450654063
68,0.00418224088865404,7348.4437171177,4,-17.5080465721512,7495.66733741013
69,0.0125756707373008,7776.67186197403,4,103.319282825458,7846.07211628623
70,0.0102648934761542,11184.4951622054,4,42.4632260475337,11427.6326339721
71,0.00707634198073714,8410.51434357159,4,-17.3279540704571,8511.07338841193
