ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,111,154,158,31,147,17,152.0630631,23.93693694,1.15522906,118,0.813048613,11.88821221,1,0.720779221,0.865629194,15.79392234,16.40121947,5,2.13820612,2,9.192388155,9.195155297,29.41783348,40.14213562,0.940677966,152.0630631,23.93693694,0,160.4460373,20.93045648,3,4,92.91338583,22.01955647,2,1,1,2,0,0,nan,0,1,1,nan,0,0,0,0
1,2,146,221,214,46,197,33,205.0205479,39.17808219,1.126203141,157,0.751138418,13.63425735,1,0.660633484,0.887939274,16.97741854,16.2788206,5.099019514,2.40420532,2.236067977,10.78638743,11.20755354,76.47318812,45.45584412,0.929936306,205.0205479,39.17808219,0,13.41292858,37.03052378,3,6,73.93767705,55.10705684,1,2,2,3,0,0,nan,0,2,1,nan,0,0,0,0
1,4,152,392,371,56,343,42,357.0855263,48,2.493435901,210,0.971249046,13.91159268,1,0.387755102,0.401053021,31.46087293,29.15475947,3.16227766,1.688034013,1.414213562,8.295689925,7.489755587,74.30523855,69.01219331,0.723809524,357.0855263,48,0,40.30448787,39.51734579,8,5,71.35802469,53.7745973,5,4,4,5,0,0,nan,0,4,1,nan,0,0,0,0
1,7,88,187,133,87,122,70,127.0909091,78.31818182,1.598330426,101,0.956739601,10.58513486,1,0.470588235,0.625652858,19.85757477,17.49285568,2.828427125,1.624779227,1.414213562,4.91934955,5.777473793,-27.72560391,42.04163056,0.871287129,127.0909091,78.31818182,0,20.39885054,57.831539,3,9,100,59.84085786,1,7,7,8,0,0,nan,0,7,1,nan,0,0,0,0
1,8,135,256,392,86,376,70,382.8592593,77.95555556,1.647691632,175,0.826929445,13.11058117,1,0.52734375,0.606909679,19.27533456,17.69180601,4.123105626,1.921383275,2,11.53846154,10.83863038,30.65038515,52.87005769,0.771428571,382.8592593,77.95555556,0,43.04747397,25.7865481,9,6,100,34.81606066,5,8,8,9,0,0,nan,0,8,1,nan,0,0,0,0
1,10,200,960,519,112,487,82,500.34,98.24,3.819965517,331,0.978508996,15.95769122,1,0.208333333,0.261782468,47.11152224,41.10960958,2.828427125,1.561177081,1.414213562,10.56986493,9.714590702,49.76538625,97.98275606,0.604229607,500.34,98.24,0,7.89941415,55.84989979,19,3,56.27530364,75.23743587,20,10,10,11,0,0,nan,0,10,1,nan,0,0,0,0
1,11,95,135,230,101,221,86,224.7684211,92.92631579,1.144929257,104,0.823983091,10.99807968,1,0.703703704,0.873416409,14.66715637,14.03566885,4.123105626,1.995795599,2,7.761140001,8.310621836,-5.088913828,36.97056275,0.913461538,224.7684211,92.92631579,0,111.6543555,18.52202757,13,3,100,23.15445664,12,11,11,12,0,0,nan,0,11,1,nan,0,0,0,0
1,12,56,112,255,101,239,94,247.5357143,97.14285714,1.713798291,65,0.969687212,8.444016491,1,0.5,0.58349924,17.30566444,16.15549442,2.236067977,1.347073678,1,4.024922359,4.22863162,-69.73223028,34.72792206,0.861538462,247.5357143,97.14285714,0,29.85735609,23.15445664,11,6,100,34.57895463,13,12,12,13,0,0,nan,0,12,1,nan,0,0,0,0
1,13,46,78,219,115,213,102,214.9130435,108.6086957,1.290605895,51,0.914544905,7.653039857,1,0.58974359,0.774829871,12.45081255,12.36931688,2.828427125,1.393182772,1,5,5.036159255,13.64116588,27.3137085,0.901960784,214.9130435,108.6086957,0,38.48828837,18.52202757,11,6,100,34.57895463,12,13,13,14,0,0,nan,0,13,1,nan,0,0,0,0
1,14,61,120,330,130,320,118,324.3114754,123.295082,1.368176429,69,0.932780354,8.812923024,1,0.508333333,0.730899889,14.80145016,13.45362405,2.828427125,1.511979303,1.414213562,4.714951668,5.335113088,33.08555113,32.38477631,0.884057971,324.3114754,123.295082,0,92.10042617,12.82279429,15,5,100,74.050764,8,14,14,15,0,0,nan,0,14,1,nan,0,0,0,0
