ImageNumber,ObjectNumber,Children_IdentifySecondaryObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Watershed
1,1,1,152.06306306306305,23.936936936936938,0,1,2
1,2,1,205.0205479452055,39.178082191780824,0,2,3
1,3,1,168.02941176470588,37.470588235294116,0,3,4
1,4,1,357.0855263157895,48.0,0,4,5
1,5,1,410.2,56.4,0,5,6
1,6,1,427.1904761904762,66.64285714285714,0,6,7
1,7,1,127.0909090909091,78.31818181818181,0,7,8
1,8,1,382.85925925925926,77.95555555555555,0,8,9
1,9,1,408.55555555555554,80.11111111111111,0,9,10
1,10,1,500.34,98.24,0,10,11
1,11,1,224.76842105263157,92.92631578947369,0,11,12
1,12,1,247.53571428571428,97.14285714285714,0,12,13
1,13,1,214.91304347826087,108.6086956521739,0,13,14
1,14,1,324.3114754098361,123.29508196721312,0,14,15
1,15,1,331.7857142857143,133.71428571428572,0,15,16
1,16,1,62.01428571428571,137.71428571428572,0,16,17
1,17,1,34.034188034188034,150.05982905982907,0,17,18
1,18,1,41.0,137.0,0,18,19
1,19,1,468.6307692307692,144.2153846153846,0,19,20
1,20,1,449.51666666666665,153.71666666666667,0,20,21
1,21,1,189.60629921259843,165.93700787401573,0,21,22
1,22,1,94.06060606060606,190.56060606060606,0,22,23
1,23,1,491.5882352941176,212.83823529411765,0,23,24
1,24,1,513.5342465753424,218.84931506849315,0,24,25
1,25,1,446.7368421052632,260.5,0,25,26
1,26,1,78.70769230769231,303.4384615384615,0,26,27
1,27,1,188.84615384615384,322.71794871794873,0,27,28
1,28,1,103.01626016260163,346.5447154471545,0,28,29
1,29,1,312.3541666666667,338.5208333333333,0,29,30
1,30,1,217.24,344.1,0,30,31
1,31,1,228.77551020408163,344.85714285714283,0,31,32
1,32,1,338.0326086956522,354.92391304347825,0,32,33
1,33,1,67.20833333333333,372.7916666666667,0,33,34
1,34,1,109.45833333333333,383.5833333333333,0,34,35
1,35,1,75.47727272727273,388.0681818181818,0,35,36
1,36,1,121.3,390.4,0,36,37
1,37,1,260.40909090909093,402.15909090909093,0,37,38
1,38,1,301.2,431.46666666666664,0,38,39
1,39,1,315.6,449.8,0,39,40
1,40,1,251.8125,454.8125,0,40,41
1,41,1,213.6969696969697,459.57575757575756,0,41,42
1,42,1,236.6315789473684,458.8421052631579,0,42,43
1,43,1,198.85,468.8,0,43,44
