CellId,LifeHistory
1,11
2,13
3,4
4,5
5,5
6,3
7,10
8,6
9,10
10,4
11,6
12,7
13,6
14,5
15,10
16,10
17,7
18,10
19,10
20,6
21,5
22,8
23,8
24,7
25,7
26,6
27,6
28,6
29,2
30,4
31,6
32,4
33,4
34,4
35,4
36,2
37,2
38,2
39,2
40,1
41,1
