TimeStep,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,1,1,1,1,1,2
2,1,1,1,1,1,3
3,1,1,1,1,1,2
4,1,1,1,1,1,2
5,1,1,1,1,1,2
6,1,1,1,1,1,2
7,1,1,1,1,1,2
8,1,1,1,1,1,2
9,1,1,2,1,1,2
10,1,1,1,1,1,2
11,1,1,1,1,1,2
12,1,1,1,1,1,2
13,1,1,1,1,1,2
14,1,1,1,1,1,2
15,1,1,1,1,1,2
16,1,2,1,1,1,2
17,1,1,1,1,1,2
18,1,2,1,1,1,2
19,1,1,1,1,1,1
20,1,2,1,1,1,1
21,1,2,2,1,1,1
22,1,2,2,1,1,2
23,1,1,2,1,1,1
24,1,2,2,1,1,1
25,2,2,2,2,2,2
26,2,2,3,2,0,2
27,2,2,2,2,0,2
28,2,2,3,2,0,2
29,3,3,3,3,0,3
30,3,4,3,3,0,3
31,3,3,5,4,0,5
32,3,4,6,4,0,6
33,6,6,6,6,0,7
34,7,7,7,7,0,7
35,7,7,7,7,0,7
36,7,7,8,7,0,8
37,7,7,8,7,0,8
38,8,9,9,8,0,9
39,8,9,8,8,0,9
40,9,10,10,9,0,9
