CellLiniedivision,NumberOfDivision
0,0
1,4
2,3
3,4
4,3
5,3
6,7
7,3
8,4
9,5
10,6
11,0
12,0
13,2
14,3
15,0
16,5
17,2
18,2
19,4
20,0
21,4
22,3
23,3
24,4
25,4
26,4
27,2
28,4
29,3
30,7
31,3
32,7
33,4
34,0
35,4
36,4
37,3
38,3
39,1
40,0
41,2
42,0
43,2
44,4
45,0
46,2
47,3
48,2
49,4
50,5
51,5
52,0
53,3
54,0
55,2
56,3
57,2
58,2
59,3
60,4
61,1
62,5
63,2
64,4
65,3
66,3
67,3
68,2
69,1
70,5
71,3
72,0
73,4
74,4
75,3
76,0
77,0
78,5
79,2
80,0
81,3
82,0
83,5
84,2
85,2
86,3
87,2
88,3
89,3
90,4
91,3
92,4
93,2
94,2
95,1
96,3
97,2
98,2
99,3
100,3
101,3
102,2
103,1
104,3
105,3
106,2
107,3
108,4
109,3
110,4
111,4
112,1
113,4
114,5
115,7
116,5
117,5
118,2
119,6
120,0
121,1
122,5
123,0
124,4
125,1
126,0
127,0
128,3
129,0
130,0
131,0
132,0
133,0
134,2
135,1
136,1
137,0
138,2
139,0
140,0
141,2
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,6
150,0
151,0
152,2
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,3
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,2
175,0
176,0
177,3
178,0
179,0
180,5
181,2
182,0
183,0
184,0
185,0
186,0
187,0
188,3
189,0
190,3
191,0
192,1
193,1
194,1
195,0
196,2
197,1
198,0
199,0
200,3
201,3
202,0
203,3
204,4
205,2
206,0
207,0
208,0
209,3
210,2
211,0
212,2
213,2
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,2
224,2
225,0
226,0
227,0
228,0
229,3
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,2
243,3
244,1
245,2
246,0
247,2
248,1
249,1
250,1
251,0
252,2
253,0
254,0
255,2
256,2
257,3
258,0
259,1
260,5
261,2
262,1
263,0
264,1
265,1
266,1
267,1
268,0
269,2
270,1
271,0
272,1
273,0
274,0
275,2
276,1
277,3
278,4
279,3
280,0
281,0
282,0
283,1
284,4
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,1
293,5
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,0
307,5
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,2
350,1
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
