CellId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,50.8251571655273,58.78606414794922,0.125,13.0,0.021
2.0,41.3951683044434,54.4821662902832,0.534,23.0,0.014
3.0,41.7837867736816,43.64924494425457,0.043,12.0,0.009
4.0,38.1615180969238,47.95439671107701,0.06,35.0,0.011
5.0,51.7132186889648,61.62339859008789,0.049,20.0,0.017
6.0,43.3439292907715,50.7614631652832,0.023,16.0,0.016
7.0,29.627290725708,41.42228924786604,-0.081,54.0,0.013
8.0,20.6884479522705,20.6884479522705,0.0,1.0,0.0
9.0,23.677806854248,23.677806854248,0.0,1.0,0.0
10.0,32.4065933227539,32.4065933227539,0.0,1.0,0.0
11.0,26.7670402526855,26.7670402526855,0.0,1.0,0.0
12.0,29.5431518554688,29.5431518554688,0.0,1.0,0.0
13.0,24.4186878204346,24.4186878204346,0.0,1.0,0.0
14.0,27.4122486114502,27.4122486114502,0.0,1.0,0.0
15.0,31.5868434906006,31.5868434906006,0.0,1.0,0.0
16.0,26.806697845459,26.806697845459,0.0,1.0,0.0
17.0,31.84792137146,42.27994604368468,0.001,37.0,0.011
18.0,26.3718032836914,26.3718032836914,0.0,1.0,0.0
19.0,26.6323490142822,26.6323490142822,0.0,1.0,0.0
20.0,21.4869327545166,21.4869327545166,0.0,1.0,0.0
21.0,29.1448020935059,29.1448020935059,0.0,1.0,0.0
