TimeStep,CellId,Center_X,Center_Y,Orientation,MajorAxisLength,lable,parent
1,1,71.8862075805664,308.149780273438,-78.1152191162109,50.8251571655273,1,0
1,2,141.27522277832,-14.4574632644653,61.9104766845703,41.3951683044434,2,0
1,3,165.620788574219,287.853271484375,85.5029296875,41.7837867736816,3,0
1,4,199.530090332031,45.8518180847168,85.9554901123047,38.1615180969238,4,0
1,5,257.684753417969,63.9706611633301,78.8464660644531,51.7132186889648,5,0
1,6,371.55029296875,70.1801452636719,57.5569763183594,43.3439292907715,6,0
1,7,248.108596801758,234.170989990234,-61.0363159179688,29.627290725708,7,0
2,1,72.6038360595703,308.101379394531,-78.2659759521484,51.2895050048828,1,0
2,2,141.535995483398,-11.3104267120361,63.0502166748047,41.5268707275391,2,0
2,3,164.10986328125,288.947326660156,85.8255615234375,42.0446815490723,3,0
2,4,199.409210205078,47.4982604980469,86.3321228027344,38.0851745605469,4,0
2,5,257.80517578125,63.1674270629883,78.6844482421875,53.8182487487793,5,0
2,6,371.152801513672,71.8942413330078,57.7919006347656,44.9452018737793,6,0
2,7,244.583129882813,237.576782226563,-60.2474822998047,30.2443084716797,7,0
3,1,73.4240188598633,308.081848144531,-78.3345336914063,52.5076293945313,1,0
3,2,141.760192871094,-12.0471982955933,62.7244415283203,42.2733917236328,2,0
3,3,160.344039916992,291.12451171875,86.5528259277344,42.997241973877,3,0
3,4,199.577590942383,48.555362701416,86.5762786865234,38.5185508728027,4,0
3,5,258.222198486328,61.4236907958984,78.2666625976563,55.1483421325684,5,0
3,6,371.988525390625,69.8405532836914,57.4614868164063,45.6808738708496,6,0
3,7,244.826156616211,237.385009765625,-60.3243713378906,31.1022815704346,7,0
4,1,72.3350296020508,308.796020507813,-78.0367126464844,53.5856170654297,1,0
4,2,141.732849121094,-12.3487396240234,62.5716705322266,44.0005836486816,2,0
4,3,159.965515136719,291.662994384766,86.6461791992188,44.1986083984375,3,0
4,4,200.073440551758,45.1981811523438,85.5498199462891,39.4916114807129,4,0
4,5,258.143646240234,62.5629730224609,78.4875946044922,54.8888244628906,5,0
4,6,371.696868896484,71.6878356933594,57.7384185791016,46.2008171081543,6,0
4,7,244.871505737305,237.512756347656,-60.3550415039063,31.3803234100342,7,0
5,1,70.3895034790039,309.25048828125,-77.6396179199219,55.4945106506348,1,0
5,2,141.902709960938,-10.3422079086304,63.3218688964844,45.5950813293457,2,0
5,3,160.51123046875,291.125061035156,86.39892578125,42.7384071350098,3,0
5,4,200.074462890625,44.5496444702148,85.3388671875,40.6425361633301,4,0
5,5,258.283538818359,62.3221397399902,78.3963012695313,57.554859161377,5,0
5,6,371.412139892578,73.4116821289063,57.9700317382813,46.8585243225098,6,0
5,7,243.283401489258,239.080657958984,-59.9745788574219,31.1991786956787,7,0
6,1,71.3041534423828,309.364807128906,-77.735595703125,58.1881904602051,1,0
6,2,142.166854858398,-8.86319160461426,63.8787536621094,47.7652320861816,2,0
6,3,157.730880737305,292.876739501953,86.8818664550781,43.148063659668,3,0
6,4,201.145050048828,43.3242568969727,84.9076538085938,40.8354721069336,4,0
6,5,258.222045898438,63.3729629516602,78.5113677978516,55.6288375854492,5,0
6,6,370.996978759766,75.5611801147461,58.2907257080078,48.5324287414551,6,0
6,7,239.138534545898,243.312759399414,-59.0614776611328,31.35817527771,7,0
7,1,70.7904357910156,309.551361083984,-77.6599578857422,59.2282028198242,1,0
7,2,142.884979248047,-8.57309341430664,63.9399261474609,48.8387641906738,2,0
7,3,151.878768920898,295.985656738281,88.05615234375,43.8476943969727,3,0
7,4,201.534729003906,43.5402374267578,84.9462890625,41.5984992980957,4,0
7,5,258.419738769531,62.3402824401855,78.3425903320313,58.9051933288574,5,0
7,6,371.012817382813,75.1037216186523,58.1925354003906,49.6422996520996,6,0
7,7,241.738876342773,240.505249023438,-59.6950378417969,32.015510559082,7,0
8,1,72.5670318603516,309.337921142578,-77.9098968505859,59.8655891418457,1,0
8,2,143.133819580078,-7.34479999542236,64.3927612304688,50.4159088134766,2,0
8,3,151.581314086914,296.241424560547,88.1183624267578,43.1731796264648,3,0
8,4,201.617721557617,44.0102424621582,85.0690612792969,41.7509078979492,4,0
8,5,258.748626708984,61.2498016357422,78.031494140625,56.8389778137207,5,0
8,6,370.664093017578,76.5843887329102,58.4032440185547,50.228759765625,6,0
8,7,239.898361206055,242.420547485352,-59.2769165039063,31.8433971405029,7,0
9,1,72.445556640625,309.460235595703,-77.9335784912109,60.8837776184082,1,0
9,2,144.194686889648,-5.98054170608521,64.8692779541016,51.7143440246582,2,0
9,3,145.959701538086,299.104827880859,89.1288146972656,44.1948928833008,3,0
9,4,201.849365234375,43.6126556396484,84.9448852539063,43.5358810424805,4,0
9,5,259.417266845703,59.4044189453125,77.457275390625,60.1554107666016,5,0
9,6,369.149047851563,82.926628112793,59.3705749511719,51.260368347168,6,0
9,7,238.655654907227,243.638931274414,-58.9954376220703,32.3072509765625,7,0
10,1,71.2752990722656,309.781158447266,-77.7811431884766,64.2490463256836,1,0
10,2,144.535552978516,-6.1871542930603,64.7554931640625,53.7002868652344,2,0
10,3,143.866775512695,300.327911376953,89.5361175537109,44.0670967102051,3,0
10,4,201.086807250977,43.3672523498535,84.7607574462891,44.8755378723145,4,0
10,5,259.392395019531,59.7079048156738,77.382080078125,59.4301109313965,5,0
10,6,369.676574707031,81.9030532836914,59.1796112060547,52.7470207214355,6,0
10,7,241.415390014648,240.889190673828,-59.6706237792969,32.8105239868164,7,0
11,1,74.3238906860352,309.158599853516,-78.3138122558594,66.4745178222656,1,0
11,2,144.574417114258,-5.95769929885864,64.8292694091797,54.980541229248,2,0
11,3,142.947738647461,300.587188720703,89.6175537109375,45.2882194519043,3,0
11,4,201.345947265625,44.1162528991699,84.9441528320313,45.6707000732422,4,0
11,5,259.608215332031,58.704833984375,77.2498626708984,63.0395240783691,5,0
11,6,368.571929931641,86.4218521118164,59.8453063964844,54.1748161315918,6,0
11,7,242.355041503906,240.212753295898,-59.8554229736328,33.2898635864258,7,0
12,1,73.4317321777344,309.282257080078,-78.257568359375,65.0248794555664,1,0
12,2,144.417251586914,-5.32483768463135,65.0516815185547,55.8291473388672,2,0
12,3,138.472381591797,302.422119140625,-89.5561676025391,46.3090667724609,3,0
12,4,201.37907409668,45.8886871337891,85.4357604980469,43.6840324401855,4,0
12,5,260.378326416016,54.9501647949219,76.2962799072266,59.1884994506836,5,0
12,6,367.751770019531,89.8804550170898,60.3875274658203,54.480655670166,6,0
12,7,238.53727722168,243.65754699707,-58.9883117675781,32.6225090026855,7,0
13,1,75.8327560424805,308.878753662109,-78.7047119140625,66.6022109985352,1,0
13,2,145.1357421875,-6.19635963439941,64.7072143554688,58.49169921875,2,0
13,9,69.4856872558594,319.964477539063,-79.2054138183594,23.677806854248,3,3
13,8,254.523406982422,219.589828491211,67.3112945556641,20.6884479522705,3,3
13,4,202.099975585938,45.0248184204102,85.1665649414063,44.224609375,4,0
13,5,260.616058349609,53.6101570129395,76.0665588378906,64.8512649536133,5,0
13,6,367.260162353516,90.7852554321289,60.527099609375,54.642707824707,6,0
13,7,237.257705688477,244.925369262695,-58.7158508300781,33.3653984069824,7,0
14,11,38.1562232971191,312.521789550781,-74.5630645751953,26.7670402526855,1,1
14,10,74.6708984375,312.830291748047,-76.1400146484375,32.4065933227539,1,1
14,2,145.848037719727,-2.89550709724426,65.9362335205078,56.7831497192383,2,0
14,4,202.08203125,45.0899658203125,85.1759338378906,44.876148223877,4,0
14,5,260.492034912109,54.6687164306641,76.2231597900391,62.8365135192871,5,0
14,6,366.549743652344,94.9802780151367,61.1620788574219,56.2789077758789,6,0
14,7,237.027069091797,245.160278320313,-58.6544647216797,33.3212585449219,7,0
15,2,145.957489013672,-1.83214163780212,66.3976287841797,59.0727806091309,2,0
15,4,202.009872436523,45.1138038635254,85.1708984375,43.6126327514648,4,0
15,5,261.275421142578,50.8366622924805,75.4924926757813,67.9674606323242,5,0
15,6,365.977813720703,96.2283325195313,61.3576965332031,56.8530960083008,6,0
15,7,237.50114440918,244.554168701172,-58.8085327148438,33.7099647521973,7,0
16,2,146.924102783203,-2.03280234336853,66.3243713378906,62.1855316162109,2,0
16,4,202.185012817383,45.6762008666992,85.2953033447266,46.5913047790527,4,0
16,5,261.229797363281,51.1701316833496,75.48583984375,68.6378479003906,5,0
16,6,365.211975097656,99.3787307739258,61.8332824707031,56.3130035400391,6,0
16,7,238.122253417969,243.808395385742,-58.9942779541016,34.3420791625977,7,0
17,2,147.231628417969,-0.48212519288063,66.9318389892578,61.1877822875977,2,0
17,4,202.531143188477,44.7068023681641,85.0180358886719,47.0989723205566,4,0
17,5,261.390075683594,51.1068115234375,75.3479309082031,66.4677276611328,5,0
17,13,310.683227539063,194.293212890625,78.05224609375,24.4186878204346,6,6
17,12,388.108489990234,45.2225456237793,53.7790222167969,29.5431518554688,6,6
17,7,238.616058349609,243.39518737793,-59.0939178466797,34.2575950622559,7,0
18,2,147.512512207031,0.224176704883575,67.1888275146484,66.1330261230469,2,0
18,4,202.594619750977,44.4759368896484,84.9597625732422,47.4114570617676,4,0
18,5,261.258453369141,51.7429351806641,75.39208984375,68.1441802978516,5,0
18,7,239.147171020508,242.824996948242,-59.2425994873047,34.3785285949707,7,0
19,2,147.9072265625,1.25530529022217,67.5648345947266,65.5518951416016,2,0
19,4,202.111724853516,44.4350891113281,84.9209442138672,51.2100257873535,4,0
19,5,262.025299072266,48.4598274230957,74.8521575927734,74.7305450439453,5,0
19,7,235.745178222656,246.205123901367,-58.5303497314453,36.6030540466309,7,0
20,2,148.220504760742,2.75048398971558,68.1694030761719,66.0773162841797,2,0
20,4,201.794998168945,44.5817451477051,84.9318084716797,51.8341484069824,4,0
20,5,261.676513671875,50.3909187316895,75.0903472900391,72.5223846435547,5,0
20,7,231.887252807617,249.942672729492,-57.5955963134766,35.839225769043,7,0
21,2,149.496658325195,12.5784044265747,72.2446136474609,65.7117538452148,2,0
21,4,202.130004882813,42.3540115356445,84.2637786865234,51.6561851501465,4,0
21,15,262.491821289063,62.8082885742188,74.5520629882813,31.5868434906006,5,5
21,14,262.714996337891,27.1492977142334,73.1078796386719,27.4122486114502,5,5
21,7,232.119964599609,249.880035400391,-57.6510467529297,35.7267646789551,7,0
22,2,149.845977783203,28.5983505249023,78.6801452636719,57.3821220397949,2,0
22,4,202.250350952148,42.1039848327637,84.1662445068359,50.4996376037598,4,0
22,7,233.164520263672,248.481903076172,-57.9603424072266,35.6834602355957,7,0
23,2,150.538925170898,33.886157989502,80.7777252197266,56.4774475097656,2,0
23,4,202.270309448242,42.6971969604492,84.3068695068359,52.2021903991699,4,0
23,7,233.987930297852,247.722946166992,-58.1578216552734,36.0864295959473,7,0
24,17,144.424575805664,-2.36546087265015,65.9851989746094,31.84792137146,2,2
24,16,151.139892578125,80.3620529174805,-82.5718536376953,26.806697845459,2,2
24,4,202.308654785156,42.354320526123,84.2244415283203,51.3990440368652,4,0
24,7,229.051330566406,252.094818115234,-57.1468200683594,37.3159637451172,7,0
25,17,143.882553100586,-1.84952425956726,66.1027679443359,32.4397430419922,2,2
25,4,202.448852539063,43.1338348388672,84.4309387207031,52.9135589599609,4,0
25,7,233.115600585938,248.16291809082,-58.0899658203125,39.1537551879883,7,0
26,17,143.634582519531,-1.69550311565399,66.1283111572266,32.325569152832,2,2
26,4,202.760131835938,42.684196472168,84.3136749267578,53.9369277954102,4,0
26,7,232.72868347168,248.230850219727,-58.0258483886719,37.7828483581543,7,0
27,17,143.578887939453,-1.59987151622772,66.2214660644531,32.975227355957,2,2
27,4,203.273483276367,44.1386451721191,84.6844940185547,52.6606407165527,4,0
27,7,230.695785522461,250.104751586914,-57.5609741210938,37.6879920959473,7,0
28,17,143.877716064453,-0.979340553283691,66.4843139648438,33.2523460388184,2,2
28,4,201.813568115234,48.1229133605957,85.7440948486328,55.2436027526855,4,0
28,7,229.751190185547,251.048767089844,-57.3354339599609,38.9390525817871,7,0
29,17,144.059341430664,-0.635076880455017,66.6087493896484,33.6503448486328,2,2
29,4,201.055633544922,51.2915267944336,86.577880859375,57.6364288330078,4,0
29,7,229.925659179688,250.875335693359,-57.3832397460938,39.1784553527832,7,0
