CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.00754342740401626,10.767786026001,35,0.0472946912050247,21.8149223327637
2,-0.0176918767392635,11,12,-0.282618194818497,11.102520942688
3,0.0219407640397549,12,14,-0.12983413040638,14.4614877700806
4,NaN,13.8636207580566,1,NaN,NaN
5,-0.00395270204171538,7.15541696548462,2,0.281626373529434,7.11324214935303
6,NaN,9,1,NaN,NaN
7,0.00464100437238812,12.6587219238281,43,0.211639642715454,24.582706451416
8,-0.00213144766166806,25.9772472381592,11,0.274878293275833,25.5899333953857
9,-0.0491601414978504,23.084623336792,14,-0.969302237033844,25.6375026702881
10,-0.00367295742034912,14.5521373748779,32,-0.205358818173409,41.2833824157715
11,-0.00203689653426409,29.9989185333252,45,-0.155168101191521,35.9942893981934
12,-0.0203938484191895,36.6174774169922,15,0.514351427555084,31.7451038360596
13,-0.0611040592193604,31.3049545288086,8,0.902793884277344,23.3654136657715
14,-0.0455870851874352,15.6283760070801,14,-0.0865478515625,13.7684030532837
15,NaN,18.2537670135498,1,NaN,NaN
16,-0.00301880156621337,20.8580627441406,105,0.00922115240246058,23.7462196350098
17,-0.122112482786179,26.160831451416,3,-0.69647216796875,22.4205913543701
18,-0.00405253004282713,13.8918886184692,73,-0.192352995276451,43.2528038024902
19,0.0180206727236509,8,15,-1.16261398792267,20.089729309082
20,-0.03498674929142,16.5469017028809,5,0.756026208400726,15.3088779449463
21,-0.0317320339381695,35.8467559814453,26,-0.458113461732864,33.7438201904297
22,-0.0314220897853374,31.3720893859863,16,-0.152273818850517,30.257345199585
23,-0.0229032393544912,30.8842182159424,53,-0.150065869092941,30.2710494995117
24,NaN,13.4350271224976,1,NaN,NaN
25,-0.0103380940854549,30.3578624725342,86,0.045024074614048,27.052734375
26,0.00569116044789553,14.7580471038818,54,0.11265055090189,20.3322887420654
27,-0.0138800404965878,21.8866939544678,9,0.494827836751938,22.7670497894287
28,0.0320449769496918,5,7,0.468372166156769,6.25433778762817
29,-0.0339392945170403,19.7989883422852,7,0.486194431781769,13.9006547927856
30,0,14,6,0.660671651363373,13.5
31,-0.00189325388055295,35.4634666442871,34,0.184228032827377,39.2894401550293
32,0.0146626234054565,13.4350271224976,12,0.315819621086121,14.3262586593628
33,-0.0612032264471054,45.2166786193848,22,-0.486881136894226,17.6717662811279
34,0.000968166452366859,16.6000003814697,17,-0.601976573467255,20.8748397827148
35,NaN,8.87520313262939,1,NaN,NaN
36,-0.00518737826496363,12.7279224395752,31,0.204282701015472,16.7262573242188
37,-0.301974684000015,29.1140327453613,2,0.724995911121368,20.4405002593994
38,-0.00184842990711331,19,19,-0.0628298074007034,16.9489421844482
39,-0.0417587123811245,19.1983451843262,10,0.156953945755959,17.4200096130371
40,0.0013262404827401,28.298454284668,60,0.0744222030043602,26.4374046325684
41,-0.00158106489107013,10.1192865371704,5,0.668676733970642,10.3609552383423
42,-0.0313572660088539,31.3575630187988,27,-0.486059874296188,22.8216228485107
43,0.0164047703146935,15.5316066741943,18,-0.0949797481298447,21.0034046173096
44,0.00872577913105488,18.8679618835449,7,0.57607889175415,19.9866485595703
45,0.0145011739805341,13,18,0.0528451427817345,22.9653186798096
46,-0.0385123565793037,12.600001335144,10,0.419698089361191,13.8963317871094
47,0.0351201705634594,9,2,0.0383504219353199,9.5
48,0.0127933602780104,9,52,-0.130848422646523,29.9277305603027
49,0,11,2,0.0884806290268898,11
50,-0.00563529273495078,18.5824565887451,51,-0.282350242137909,29.4361934661865
51,-0.0321988761425018,46.9543991088867,21,-0.382051020860672,28.8254680633545
52,-0.0692130699753761,11.3137073516846,2,0.0961507186293602,10.2530479431152
53,0.00643510837107897,21.0190372467041,20,-0.008514404296875,24.2888965606689
54,-0.02818913012743,11.3137073516846,15,-0.0374403223395348,12.0412912368774
55,0.0103055285289884,27.6490592956543,9,0.531892001628876,29.0881519317627
56,-0.0486499480903149,24.6918792724609,12,-1.30154085159302,26.1254787445068
57,-0.036348469555378,13.8000011444092,10,0.3779296875,10.7512111663818
58,NaN,18.3412075042725,1,NaN,NaN
59,-0.0221911873668432,23.0765724182129,24,-0.224358454346657,18.8629856109619
60,-0.0743811950087547,10,2,0.323771148920059,9
61,-0.00687947683036327,14.5343418121338,27,0.232304319739342,21.3718948364258
62,-0.0771760940551758,29.9633102416992,4,1.02421057224274,25.6766834259033
63,NaN,10,1,NaN,NaN
64,NaN,9.48683071136475,1,NaN,NaN
65,0.0135786831378937,23.0200595855713,16,-0.26951852440834,26.6632766723633
66,NaN,14,1,NaN,NaN
67,NaN,10,1,NaN,NaN
68,0.00181277596857399,10.2859125137329,45,6.73647300573066e-05,25.8331737518311
69,4.85579184896778e-05,8.97381782531738,40,0.272928863763809,18.4886665344238
70,0.0572352670133114,6.10170221328735,6,0.137010365724564,8.93954944610596
71,0.0212632026523352,21.3821601867676,2,-0.005859375,22.0863628387451
72,-0.037677388638258,22.344575881958,11,0.266583055257797,18.0984001159668
73,NaN,8,1,NaN,NaN
74,0.0170686580240726,10,17,-0.240232586860657,22.1988430023193
75,-0.0140768541023135,22.3132743835449,43,-0.144724771380424,25.4875068664551
76,NaN,11.6417102813721,1,NaN,NaN
77,NaN,14.8222789764404,1,NaN,NaN
78,-0.00559333944693208,11,8,-0.0194956455379725,11.1910066604614
79,0.0371906347572803,6.26099014282227,2,0.21006266772747,6.63049507141113
80,-0.0211800467222929,11,3,0.298719614744186,9.66666698455811
81,NaN,12.3624486923218,1,NaN,NaN
82,-0.0139070218428969,7.60263013839722,6,0.561014831066132,7.63524198532104
83,0.0278140176087618,15,3,0,16.3333339691162
84,NaN,9.20315647125244,1,NaN,NaN
85,0.00646998314186931,10.7331256866455,13,-0.244650810956955,25.1185474395752
86,NaN,7,1,NaN,NaN
87,NaN,9.1923885345459,1,NaN,NaN
88,-0.0993964448571205,11.5539770126343,4,-0.173657730221748,9.86638832092285
89,NaN,11.1791315078735,1,NaN,NaN
90,0.200595498085022,7.27606868743896,2,-0.345036834478378,10.2788171768188
91,NaN,8,1,NaN,NaN
92,-0.0607738494873047,12,2,0.045257568359375,11
93,-0.00888067856431007,11.9503679275513,5,0.380680352449417,13.3330965042114
94,0.0060612759552896,8.53814792633057,4,-0.0840250626206398,8.20637893676758
95,NaN,11.698805809021,1,NaN,NaN
96,0.0495874620974064,8,3,-0.00642903661355376,9.66666698455811
97,-0.0392686165869236,21.9203109741211,13,-0.189709782600403,19.7605323791504
98,0.0695570930838585,8,8,-1.75999450683594,17.3185405731201
99,NaN,6,1,NaN,NaN
100,NaN,12.0747671127319,1,NaN,NaN
101,-0.0133103532716632,28.2799186706543,2,0.02312215231359,27.7264175415039
102,0.0273982919752598,6,7,-0.201857790350914,7.55420923233032
103,-0.00474161934107542,10.4290313720703,29,-0.135677650570869,25.3580322265625
104,-0.0493700504302979,22.56077003479,14,-0.257414311170578,22.1692714691162
