lable,NumberOfDivision
1,4
2,7
3,1
4,2
5,9
6,4
7,2
8,2
9,5
10,6
11,6
12,5
13,0
14,0
15,0
16,5
17,0
18,0
19,1
20,5
21,5
22,3
23,0
24,9
25,4
26,1
27,4
28,3
29,7
30,3
31,3
32,1
33,6
34,0
35,6
36,4
37,3
38,6
39,4
40,0
41,9
42,12
43,0
44,7
45,0
46,0
47,0
48,6
49,6
50,12
51,6
52,0
53,5
54,7
55,2
56,8
