StepNumber,NumberOfCells
1,56
2,53
3,52
4,52
5,54
6,52
7,53
8,54
9,53
10,54
11,55
12,56
13,56
14,58
15,60
16,62
17,60
18,60
19,60
20,60
21,60
22,61
23,60
24,60
25,60
26,61
27,59
28,59
29,60
30,59
31,59
32,60
33,61
34,63
35,61
36,61
37,62
38,62
39,62
40,63
41,63
42,63
43,64
44,64
45,64
46,63
47,63
48,65
49,66
50,69
51,71
52,71
53,70
54,71
55,71
56,74
57,75
58,75
59,75
60,75
61,75
62,77
63,77
64,78
65,78
66,79
67,79
68,79
69,80
70,79
71,80
72,81
73,81
74,81
75,79
76,79
77,81
78,80
79,80
80,81
81,82
82,82
83,81
84,80
85,81
86,80
87,80
88,80
89,82
90,82
91,83
92,83
93,82
94,85
95,86
96,87
97,89
98,90
99,89
100,91
101,93
102,92
103,94
104,96
105,100
106,97
107,102
108,101
109,103
110,102
111,103
112,103
113,105
114,105
115,105
116,105
117,105
118,105
119,107
120,104
121,105
122,103
123,102
124,102
125,103
126,103
127,105
128,105
129,107
130,106
131,106
132,106
133,108
134,105
135,103
136,100
137,102
138,106
139,108
140,106
141,108
142,108
143,110
144,109
145,111
146,107
147,108
148,111
149,111
150,110
151,110
152,110
153,108
154,108
155,109
156,108
157,106
158,107
159,102
160,102
161,102
162,102
163,102
164,100
165,97
166,97
167,94
168,93
169,94
170,92
171,93
172,94
173,92
174,95
175,95
176,96
