2	0	9	0
3	4	4	0
4	8	21	0
5	11	21	0
6	21	21	0
7	22	22	0
8	22	28	4
9	22	28	4
10	23	26	0
11	23	25	7
12	26	28	0
13	27	27	0
14	27	27	10
15	28	28	0
16	29	32	8
17	29	33	0
18	29	29	0
19	29	33	0
20	29	33	15
21	29	33	0
22	29	33	0
23	30	31	0
24	30	30	0
25	32	32	0
26	33	36	16
27	33	33	0
28	33	33	0
29	34	37	17
30	34	35	0
31	34	34	0
32	34	35	17
33	34	35	0
34	34	35	0
35	34	34	20
36	34	35	0
37	34	39	0
38	34	35	22
39	35	35	0
40	35	35	0
41	35	39	0
42	36	39	0
43	36	39	0
44	36	36	0
45	36	38	0
46	36	39	0
47	36	38	0
48	36	39	0
49	36	39	0
50	36	39	0
51	36	39	0
52	37	37	0
53	37	37	0
54	37	39	0
55	37	38	0
56	38	38	0
57	38	39	0
58	39	39	0
59	39	39	0
60	39	39	0
61	39	39	0
62	39	39	0
