TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis,parent
1,1,-1.108006905,1,113.8695652,50.83188406,FALSE,57.93242625,9.287798077,0
2,1,-1.107332613,1,111.0596591,51.23579545,FALSE,59.37226799,9.428485858,0
3,1,-1.106900545,1,107.3777778,53.22777778,FALSE,61.62581334,9.458153123,0
4,1,-1.104203285,1,105.6322751,53.47883598,FALSE,64.17615315,9.669231652,0
5,1,-1.095675854,1,103.2468514,60.33501259,FALSE,68.51857197,9.901597991,0
6,1,-1.0987075,1,101.8752998,65.85611511,FALSE,70.5173281,10.13303648,0
7,1,-1.099429191,1,100.0451306,69.28266033,FALSE,74.79211029,9.834876089,0
8,1,-1.100605813,1,98.29295154,79.32378855,FALSE,76.98738549,10.08017773,0
9,1,-1.099651908,1,97.31919192,85.55555556,FALSE,83.4614066,10.45108615,0
10,1,-1.095479957,1,97.024,86.944,FALSE,85.98350539,10.36269313,0
11,1,-1.098087207,1,96.49142857,86.94095238,FALSE,90.29969283,10.57309883,0
12,1,-1.093581476,1,96.05981308,87.10654206,TRUE,93.08967594,10.54489774,0
13,2,-0.934420065,1,104.5159236,70.99681529,FALSE,53.38670957,9.016346985,1
13,3,-1.195881768,1,84.88214286,110.5035714,FALSE,47.74842179,7.718811675,1
14,2,-0.908863822,1,103.3054662,73.95498392,FALSE,54.41974047,9.233061723,1
14,3,-1.158418361,1,84.75985663,112.4587814,FALSE,49.32162906,7.749930967,1
15,2,-0.873450918,1,101.1272189,79.48816568,FALSE,60.87303347,9.288896991,1
15,3,-1.10626607,1,85.58823529,114.7058824,FALSE,54.25061038,8.470819296,1
16,2,-0.869079462,1,100.0940171,80.9031339,FALSE,64.52751256,9.171351848,1
16,3,-1.09309115,1,85.36482085,115.4039088,FALSE,55.64570225,8.40670648,1
17,2,-0.877214045,1,97.36125654,88.42146597,FALSE,71.8106231,8.357238726,1
17,3,-1.050693179,1,86.13855422,118.9277108,FALSE,63.62664328,8.588685648,1
18,2,-0.879463588,1,95.70304569,89.85279188,FALSE,74.06478205,8.340511521,1
18,3,-1.036396446,1,86.26086957,118.1242236,FALSE,65.59481454,8.285853111,1
19,2,-0.914135879,1,93.06060606,96.71328671,FALSE,85.12563993,8.450575395,1
19,3,-1.021438741,1,87.57593123,120.2808023,FALSE,75.25474583,8.525692561,1
20,2,-0.922647641,1,91.04625551,99.50440529,FALSE,89.0249213,8.76367343,1
20,3,-1.019467103,1,86.60335196,121.622905,FALSE,77.72303314,8.796404963,1
21,2,-0.951951487,1,88.82744283,104.4802495,FALSE,100.6961438,9.356166598,1
21,3,-0.999539061,1,88.90886076,120.0050633,FALSE,85.78969461,9.456900189,1
