CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,57.93242625,73.89636144,12,-1.100638521
2,1,53.38670957,91.26603301,14,-0.931724163
3,1,47.74842179,93.11201978,18,-1.037753605
4,1,108.9909384,120.4207737,4,-0.987726294
5,1,48.98117491,65.99570852,8,-1.304825981
6,1,38.01496128,48.98709268,7,-0.845470239
7,1,131.4695861,134.3655633,2,-0.986173543
8,1,109.395475,128.5244788,5,-1.052419025
9,1,47.62131234,55.31151776,6,-0.681723093
10,1,100.0295156,111.4549759,4,-0.905544913
11,1,55.01880704,67.51198016,6,-1.130010565
12,1,50.18619865,62.49364404,6,-1.134735066
13,1,41.42372897,48.48850542,6,-0.828500618
14,1,113.5115049,,1,-0.869342868
15,1,43.78623333,,1,-0.93429455
16,1,133.9011241,140.6609361,3,-0.906507624
17,1,126.2533708,127.7459476,2,-0.858887336
18,1,73.60446151,75.66632733,2,-0.785593253
19,1,59.01369704,65.0215702,3,-0.797174599
20,1,33.5268431,35.89498031,3,-1.143897973
21,1,28.29696802,30.17759324,3,-0.790346652
22,1,51.13043227,52.20079933,2,-1.175745254
23,1,90.80658199,95.54170177,2,-0.933344184
24,1,40.99171388,41.40385312,2,-1.008767201
25,1,38.90721334,39.85867922,2,-1.220634074
26,1,41.36692723,43.52739852,2,-0.717755435
27,1,43.35152456,44.46145081,2,-0.531052952
28,1,72.52668111,,1,-1.246107947
29,1,89.15025394,,1,-0.887598213
30,1,30.0981052,,1,-0.557309087
31,1,31.8848844,,1,-0.557937489
