StepNumber,NumberOfCells
1,42
2,45
3,44
4,42
5,43
6,45
7,46
8,44
9,45
10,47
11,46
12,47
13,46
14,46
15,46
16,49
17,48
18,48
19,49
20,48
21,48
22,49
23,48
24,49
25,51
26,31
27,49
28,54
29,53
30,54
31,52
32,51
33,55
34,54
35,52
36,51
37,54
38,55
39,53
40,58
41,50
42,52
43,53
44,52
45,52
46,52
47,53
48,54
49,52
50,51
51,52
52,53
53,52
54,52
55,53
56,53
57,55
58,57
59,58
60,58
61,59
62,60
63,59
64,57
65,58
66,58
67,59
68,55
69,56
70,56
71,55
72,56
73,56
74,56
75,57
76,60
77,60
78,59
79,57
80,62
81,65
82,64
83,64
84,63
85,63
86,65
87,65
88,64
89,64
90,64
91,65
92,66
93,66
94,64
95,63
96,64
97,67
98,67
99,67
100,70
101,72
102,74
103,76
104,75
105,79
106,81
107,78
108,81
109,82
110,85
111,86
112,91
113,91
114,89
115,90
116,90
117,90
118,90
119,91
120,92
121,96
122,97
123,96
124,95
125,95
126,100
127,98
128,104
129,106
130,108
131,109
132,115
133,114
134,122
135,128
136,132
137,132
138,133
139,120
140,130
141,128
142,130
143,133
144,138
145,140
146,147
147,150
148,146
149,150
150,150
151,153
152,159
153,168
154,179
155,188
156,191
157,194
158,199
159,209
160,217
161,217
162,221
163,225
164,240
165,236
166,229
167,244
168,246
169,248
170,255
171,253
172,256
173,255
174,265
175,274
176,274
177,295
178,301
179,311
180,328
181,331
182,331
183,351
184,344
185,364
186,422
187,436
188,432
189,424
190,442
191,443
192,450
193,457
194,460
195,462
196,470
197,482
198,495
199,527
200,522
201,548
202,546
203,565
204,585
205,601
206,627
207,633
208,645
209,652
210,707
211,682
212,687
213,721
214,724
215,728
216,746
217,771
218,790
219,779
220,797
221,794
222,842
223,856
224,876
225,887
226,915
227,918
228,932
229,992
230,982
231,1037
232,1027
233,1022
234,1082
235,1080
236,1110
237,1109
238,1104
239,1152
240,1188
241,1167
242,1237
243,1198
244,1227
245,1241
246,1211
247,1226
248,1217
249,1268
250,1298
251,1322
252,1288
253,1411
254,1346
255,1410
256,1396
257,1447
258,1454
259,1546
260,1472
261,1547
262,1482
263,1522
264,1607
265,1622
266,1576
267,1605
268,1609
269,1696
270,1644
271,1641
272,1662
273,1709
274,1778
275,1848
276,1859
277,1855
278,1796
279,1857
