TimeStep,Cell_lable,Orientation
1,1,90
1,2,87.1375961303711
1,3,90
1,4,7.43140935897827
1,5,16.3895416259766
1,6,63.4349517822266
1,7,9.46232128143311
2,1,87.6140594482422
2,2,85.0302581787109
2,3,90
2,4,4.23639488220215
2,5,13.2405204772949
2,6,62.5924263000488
2,7,15.9453954696655
3,1,86.633544921875
3,2,84.0938491821289
3,3,14.036244392395
3,4,6.91122722625732
3,5,90
3,6,69.8636932373047
3,7,22.9321002960205
4,1,82.8749847412109
4,2,88.0250701904297
4,3,19.7988777160645
4,4,12.2004690170288
4,5,86.633544921875
4,6,70.5599670410156
4,7,29.7448825836182
4,8,82.8749847412109
5,1,86.5663681030273
5,2,4.89909267425537
5,3,29.0546054840088
5,4,14.9314165115356
5,5,77.6192398071289
5,6,75.9637603759766
5,7,30.650671005249
5,8,75.9637603759766
5,9,26.5650501251221
6,1,10.3048458099365
6,2,9.92624473571777
6,3,23.6293773651123
6,4,90
6,5,81.8698959350586
6,6,75.0685806274414
6,7,26.5650501251221
6,8,76.3286972045898
6,9,26.5650501251221
6,10,75.2564392089844
6,11,23.4985656738281
6,12,73.6104583740234
6,13,30.9637546539307
7,1,90
7,2,90
7,3,90
7,4,9.46232223510742
7,5,69.1455383300781
7,6,73.7798080444336
7,7,11.3099327087402
7,8,69.9047698974609
7,9,26.5650501251221
7,10,90
7,11,33.1113433837891
7,12,80.1341857910156
7,13,36.8698921203613
8,3,6.58194494247437
8,6,24.6235637664795
8,7,90
8,8,11.8886575698853
8,12,69.775146484375
8,13,66.8014068603516
8,14,69.4439544677734
8,15,1.6846843957901
8,16,90
8,17,3.36646056175232
8,18,67.0679016113281
8,19,35.5376739501953
8,20,38.1572265625
8,21,80.5376739501953
8,22,80.9097213745117
9,6,36.1581840515137
9,7,90
9,8,90
9,12,39.4006614685059
9,23,88.315315246582
9,24,8.13010215759277
9,25,22.2490253448486
9,26,90
9,27,72.6459732055664
9,28,26.5650501251221
9,29,67.2490234375
9,30,67.8905487060547
9,31,69.4439544677734
9,32,79.5625228881836
9,33,79.5085296630859
10,6,33.2748832702637
10,7,86.8201675415039
10,8,90
10,12,37.9987335205078
10,23,85.3645401000977
10,24,90
10,25,14.6208744049072
10,26,83.5169219970703
10,27,90
10,28,35.9097213745117
10,29,72.0720825195313
10,30,86.9872131347656
10,31,75.9637603759766
10,32,81.6743469238281
10,33,80.5376739501953
10,34,66.0375137329102
11,6,32.1522941589355
11,7,84.5596694946289
11,8,2.20259809494019
11,12,38.6598091125488
11,23,87.5104446411133
11,24,81.3843536376953
11,25,1.97493398189545
11,26,81.085075378418
11,27,90
11,28,39.1736602783203
11,29,78.690071105957
11,30,3.81407499313354
11,31,81.6341094970703
11,32,75.9637603759766
11,33,73.0091781616211
11,34,68.9624862670898
11,35,30.9637546539307
12,6,24.5377292633057
12,7,88.4518432617188
12,8,5.57219743728638
12,12,29.7448825836182
12,23,4.76364183425903
12,24,72.8014602661133
12,25,71.5650482177734
12,26,67.7509765625
12,27,3.27048826217651
12,28,34.9920234680176
12,29,87.2736892700195
12,30,90
12,31,85.6012878417969
12,32,63.4349517822266
12,33,69.1455383300781
12,34,68.5522689819336
12,35,23.6293773651123
12,36,84.2894058227539
12,37,33.6900634765625
12,38,79.3803482055664
12,39,84.2894058227539
12,40,81.8698959350586
13,6,6.34019184112549
13,7,3.0940580368042
13,8,85.2363510131836
13,12,33.6900634765625
13,23,10.0079793930054
13,24,55.3048477172852
13,25,62.7446708679199
13,26,57.0947570800781
13,27,14.3493328094482
13,28,19.6538238525391
13,29,14.036244392395
13,30,14.8264789581299
13,31,12.0114784240723
13,32,70.5599670410156
13,33,71.565055847168
13,34,66.8014068603516
13,35,13.2405204772949
13,36,78.690071105957
13,37,29.0546054840088
13,38,79.6951522827148
13,39,11.3099327087402
13,40,74.0546035766602
13,41,68.1985931396484
13,42,11.3099327087402
13,43,21.2505054473877
13,44,67.3801345825195
14,6,75.0685806274414
14,7,90
14,8,74.0546035766602
14,12,40.3645362854004
14,23,4.57392168045044
14,24,45
14,25,48.9451904296875
14,26,45
14,27,7.59464263916016
14,28,17.5255680084229
14,29,16.6992435455322
14,30,14.036244392395
14,31,11.8886575698853
14,32,75.9637603759766
14,33,75.9637603759766
14,34,78.1113433837891
14,35,80.5376739501953
14,36,6.34019184112549
14,37,23.4985656738281
14,38,5.44033193588257
14,39,17.65012550354
14,40,72.2553253173828
14,41,41.6335334777832
14,42,6.34019136428833
14,43,39.2894096374512
14,44,69.775146484375
14,45,8.13010215759277
14,46,17.1027297973633
14,47,74.0546035766602
15,6,77.47119140625
15,7,78.690071105957
15,8,76.9081115722656
15,12,36.1581840515137
15,23,1.84761035442352
15,24,39.4724578857422
15,25,32.47119140625
15,26,28.7397975921631
15,27,4.96974086761475
15,28,9.46232223510742
15,29,8.42696857452393
15,30,90
15,31,32.7352294921875
15,32,78.3106307983398
15,33,81.2538375854492
15,34,71.5650482177734
15,35,80.5376739501953
15,36,11.3099327087402
15,37,32.0053825378418
15,38,13.4957342147827
15,39,40.6012916564941
15,40,75.579231262207
15,41,32.2756462097168
15,42,5.19442939758301
15,43,32.2756462097168
15,44,71.5650482177734
15,45,6.34019136428833
15,46,20.5560455322266
15,47,78.690071105957
15,48,45
15,49,12.5288076400757
15,50,84.8055725097656
16,6,79.2156982421875
16,7,75.9637603759766
16,8,73.3007583618164
16,12,37.1847076416016
16,23,88.6360702514648
16,24,52.6960525512695
16,25,52.4314079284668
16,26,14.036244392395
16,27,12.8042669296265
16,28,4.96974086761475
16,29,4.51398801803589
16,30,10.0079803466797
16,31,50.1944274902344
16,32,77.2756423950195
16,33,78.690071105957
16,34,72.7585372924805
16,35,75.9637603759766
16,36,18.8531589508057
16,37,48.9909172058105
16,38,23.4985675811768
16,39,54.8658103942871
16,40,81.1193466186523
16,41,27.7585411071777
16,42,90
16,43,35.5376777648926
16,44,79.5085296630859
16,45,90
16,46,15.2551202774048
16,47,81.8698959350586
16,48,77.0053787231445
16,49,90
16,50,67.8336563110352
16,51,30.9637546539307
16,52,81.4692306518555
17,6,80.7889709472656
17,7,69.1455383300781
17,8,72.6459732055664
17,12,40.1559982299805
17,23,11.3099327087402
17,24,59.3493309020996
17,25,62.2414588928223
17,26,21.8014068603516
17,27,11.76828956604
17,28,3.81407499313354
17,29,2.72631096839905
17,30,11.3099327087402
17,31,59.4207763671875
17,32,80.7538833618164
17,33,80.5376739501953
17,34,77.1957321166992
17,35,77.47119140625
17,36,12.9946165084839
