ImageNumber,ObjectNumber,Children_IdentifySecondaryObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Watershed
1,1,1,130.93251533742333,53.015337423312886,0,1,1
1,2,1,195.15444015444015,58.83783783783784,0,2,2
1,3,1,329.6168582375479,83.66283524904215,0,3,3
1,4,1,239.35919540229884,112.0,0,4,4
1,5,1,44.21461187214612,138.0958904109589,0,5,5
1,6,1,46.57211538461539,166.93269230769232,0,6,6
1,7,1,116.70892018779342,171.3661971830986,0,7,7
1,8,1,232.19897959183675,193.6377551020408,0,8,8
1,9,1,281.2911392405063,224.20675105485233,0,9,9
1,10,1,267.5532994923858,253.1776649746193,0,10,10
1,11,1,283.3956043956044,262.7637362637363,0,11,11
1,12,1,132.8790322580645,285.71774193548384,0,12,12
1,13,1,140.35570469798657,298.81208053691273,0,13,13
2,1,1,130.82985074626865,53.322388059701495,0,1,1
2,2,1,195.04511278195488,59.15413533834587,0,2,2
2,3,1,329.44943820224717,83.76404494382022,0,3,3
2,4,1,239.22598870056498,112.38983050847457,0,4,4
2,5,1,44.0,137.77631578947367,0,5,5
2,6,1,46.602739726027394,167.2785388127854,0,6,6
2,7,1,116.48165137614679,171.73394495412845,0,7,7
2,8,1,232.085,193.71,0,8,8
2,9,1,281.23553719008265,224.2603305785124,0,9,9
2,10,1,274.9974293059126,257.91002570694087,0,10,10
2,11,1,133.130081300813,285.80216802168025,0,11,11
2,12,1,140.38698630136986,298.97945205479454,0,12,12
3,1,1,130.8830409356725,53.441520467836256,0,1,1
3,2,1,195.2753623188406,59.38405797101449,0,2,2
3,3,1,329.47955390334573,83.92565055762081,0,3,3
3,4,1,239.15642458100558,112.49162011173185,0,4,4
3,5,1,43.95670995670996,137.58008658008657,0,5,5
3,6,1,46.64888888888889,167.52444444444444,0,6,6
3,7,1,116.54838709677419,171.87557603686636,0,7,7
3,8,1,232.12437810945275,193.79601990049753,0,8,8
3,9,1,281.2409638554217,224.31726907630522,0,9,9
3,10,1,275.321608040201,258.213567839196,0,10,10
3,11,1,133.608,285.776,0,11,11
3,12,1,140.1919191919192,299.07744107744105,0,12,12
4,1,1,126.14285714285714,51.16386554621849,0,1,1
4,2,1,142.66981132075472,59.39622641509434,0,2,2
4,3,1,195.27272727272728,59.60363636363636,0,3,3
4,4,1,329.5367647058824,84.18014705882354,0,4,4
4,5,1,239.24309392265192,112.90331491712708,0,5,5
4,6,1,44.20762711864407,137.76694915254237,0,6,6
4,7,1,46.896995708154506,167.83261802575106,0,7,7
4,8,1,116.50678733031674,172.32579185520362,0,8,8
4,9,1,232.27184466019418,194.16504854368932,0,9,9
4,10,1,281.375,224.59375,0,10,10
4,11,1,267.15458937198065,253.3719806763285,0,11,11
4,12,1,283.88832487309645,263.4568527918782,0,12,12
4,13,1,134.13246753246753,285.99480519480517,0,13,13
4,14,1,139.99,299.3066666666667,0,14,14
5,1,1,131.1082621082621,53.806267806267805,0,1,1
5,2,1,195.34782608695653,59.710144927536234,0,2,2
5,3,1,329.4686346863469,84.15867158671587,0,3,3
5,4,1,241.1969696969697,103.26262626262626,0,4,4
5,5,1,236.9526627218935,124.59763313609467,0,5,5
5,6,1,44.168067226890756,137.65546218487395,0,6,6
5,7,1,46.747933884297524,167.55371900826447,0,7,7
5,8,1,116.40178571428571,172.44196428571428,0,8,8
5,9,1,232.30434782608697,194.231884057971,0,9,9
5,10,1,281.3307392996109,224.72762645914398,0,10,10
5,11,1,275.2322738386308,258.4474327628362,0,11,11
5,12,1,134.4362244897959,285.890306122449,0,12,12
5,13,1,139.84666666666666,299.45,0,13,13
6,1,1,126.70384615384616,51.81923076923077,0,1,1
6,2,1,144.29591836734693,60.19387755102041,0,2,2
6,3,1,195.76491228070176,60.02105263157895,0,3,3
6,4,1,329.45390070921985,84.60992907801419,0,4,4
6,5,1,241.25252525252526,103.22222222222223,0,5,5
6,6,1,236.98850574712642,124.88505747126437,0,6,6
6,7,1,44.14522821576764,137.61825726141078,0,7,7
6,8,1,46.99186991869919,167.6788617886179,0,8,8
6,9,1,116.58823529411765,172.61990950226243,0,9,9
6,10,1,232.45192307692307,194.51923076923077,0,10,10
6,11,1,281.40697674418607,224.77906976744185,0,11,11
6,12,1,275.32530120481925,258.6313253012048,0,12,12
6,13,1,134.72613065326632,286.07035175879395,0,13,13
6,14,1,139.62091503267973,299.781045751634,0,14,14
7,1,1,132.06925207756234,54.54570637119114,0,1,1
7,2,1,195.94097222222223,60.114583333333336,0,2,2
7,3,1,329.3131672597865,84.51601423487544,0,3,3
7,4,1,239.24,113.46666666666667,0,4,4
7,5,1,43.942622950819676,137.45901639344262,0,5,5
7,6,1,46.983870967741936,167.6008064516129,0,6,6
7,7,1,116.4424778761062,172.75221238938053,0,7,7
7,8,1,232.45192307692307,194.51923076923077,0,8,8
7,9,1,281.3759689922481,225.0077519379845,0,9,9
7,10,1,275.2216867469879,258.7180722891566,0,10,10
7,11,1,134.88395061728394,286.1259259259259,0,11,11
7,12,1,139.7557003257329,299.7752442996743,0,12,12
8,1,1,132.31043956043956,54.752747252747255,0,1,1
8,2,1,196.08783783783784,60.1722972972973,0,2,2
8,3,1,329.31010452961675,84.69686411149826,0,3,3
8,4,1,239.24543080939947,113.39164490861619,0,4,4
8,5,1,44.019762845849804,137.40711462450594,0,5,5
8,6,1,47.26819923371647,167.68582375478928,0,6,6
8,7,1,116.42608695652174,172.9217391304348,0,7,7
8,8,1,232.42380952380952,194.60476190476192,0,8,8
8,9,1,281.4280155642023,225.16342412451363,0,9,9
8,10,1,275.0817307692308,258.75240384615387,0,10,10
8,11,1,135.15724815724815,286.1818181818182,0,11,11
8,12,1,139.928338762215,299.8338762214984,0,12,12
9,1,1,132.68194070080864,55.102425876010784,0,1,1
9,2,1,196.32,60.24,0,2,2
9,3,1,329.26223776223776,84.77272727272727,0,3,3
9,4,1,239.15885416666666,114.05208333333333,0,4,4
9,5,1,43.992217898832685,137.28793774319067,0,5,5
9,6,1,47.34230769230769,167.77692307692308,0,6,6
9,7,1,116.46052631578948,173.0701754385965,0,7,7
