CellNumber,GrowthRate,BirthLength,LifeHistory
1,0.278890461745471,39,5
2,0.0958940241505937,42,4
3,0.134200277542313,38,5
4,0.127446124814395,62,3
5,0.111923157587085,44,6
6,0.126567451807532,44,5
7,0.113563818069399,40,5
8,0.116102231422739,48,4
9,0.138629436111989,43,6
10,0.0884380418436951,40,7
11,0.116072171252754,65,2
12,0.0764751926382491,32,9
13,0.108626994066182,37,7
14,0.0940007258491471,40,6
15,0.0984952970195589,44,6
16,0.0373858040690237,40,10
17,0.044351401145609,37,13
18,0.103243294480173,37,6
19,0.0870766735670541,48,5
20,0.0715393268446413,40,8
21,0.0915179683895013,41,7
22,0.0874184371199372,43,5
23,0.0832861116321345,43,5
24,-0.00641166179844382,40,9
25,0.226680320214501,42,5
26,0.0730178553542283,49,4
27,0.0975406412690274,35,6
28,0.0702795773675778,38,6
29,0.0792238839590399,41,4
30,0.0971644974479459,40,5
31,0.0979096450637412,38,6
32,0.0753364179596002,36,8
33,0.105371277590111,33,8
34,0.0850814514843008,37,5
35,0.0788812840744876,38,7
36,0.0736387920465066,36,7
37,0.0925876337806496,35,7
38,0.105104470596435,33,7
39,NaN,39,1
40,0.0841180591553033,40,5
41,0.0939892415133231,33,7
42,0.100128976738155,34,7
43,0.0778929533523447,42,6
44,0.0725810987378737,32,6
45,0.0979096450637412,38,6
46,0.0514630135510372,35,5
47,0.0637230624071975,31,5
48,0.109826400376747,41,4
49,0.0924367563765214,38,5
50,0.108829517814461,44,5
51,-0.0923400258665121,68,5
52,0.0784143897137605,38,5
53,0.0736998850551612,35,5
54,0.107194541375821,29,4
55,0.0743811837714032,32,4
56,0.081707486010995,36,4
57,0.0970780072204787,42,3
58,0.127664084085369,30,4
59,0.0987552720477241,29,4
60,0.111048148842846,43,4
61,0.108532252618914,33,3
62,0.0989128716649599,32,3
63,0.108111554234818,29,3
64,0.151841206899111,31,3
65,0.0540672212702757,36,2
66,0.062520356981334,31,2
67,0.117783035656383,32,2
68,0.121360857004267,31,2
69,0,34,2
70,0.194156014440958,28,2
71,0.0816780310142673,47,2
72,0.0779615414697119,37,2
73,0.141078598259905,33,2
74,NaN,33,1
75,NaN,32,1
76,NaN,33,1
77,NaN,35,1
78,NaN,38,1
79,NaN,34,1
