TimeStep,CellNumber,Orientation
1,1,62.3281109547809
1,2,-81.6073172286181
1,3,-73.2368190274621
1,4,88.1720063562913
1,5,-79.7887778980094
1,6,86.0183811923821
1,7,89.208048507899
2,1,63.3519643545213
2,2,-84.8159972027509
2,3,-78.3709190951961
2,4,86.4052898011919
2,5,-75.3626774419136
2,6,86.8467052062823
2,7,88.7454743809814
3,1,69.9663375204043
3,2,-81.7290514095866
3,3,-88.3687693656765
3,4,86.2547337347082
3,5,-66.8702223485592
3,6,86.4043887435852
3,7,-74.7196396316566
4,1,69.8517444141878
4,2,-77.2466424625152
4,3,87.2874391718019
4,5,-60.2701825174312
4,6,82.5398196460111
4,7,-70.6530463667985
4,8,87.4665197719153
4,9,81.8375338348496
5,1,86.0098212085441
5,3,79.8794134162127
5,5,-58.4874161366428
5,6,86.6780676128091
5,7,-64.6529964209446
5,8,-83.5107710152559
5,9,77.7541310477496
6,5,-62.1961843988129
6,8,-78.9138496808796
6,9,79.8906199280054
6,10,-66.4160296103859
6,11,74.711192320293
6,12,-81.6075553069288
6,13,80.7972682058685
6,14,71.9509876986285
6,15,-80.2599650828426
6,16,76.3966311634693
6,17,-64.7672228594538
6,18,-62.8339574845735
7,8,89.2153956774889
7,9,70.1793548593876
7,10,-56.78324803937
7,11,73.4434550035206
7,12,-79.6935812031558
7,13,73.0036261767977
7,14,78.6020007916491
7,15,88.1130473726586
7,16,-89.2121660927836
7,17,-61.9009987025817
7,18,88.9334981916812
7,19,-53.5725814634412
7,20,-81.0625877487124
8,9,68.1374833893382
8,10,-65.0158997464241
8,12,-75.8789046784772
8,13,69.758999566377
8,14,81.9844580699812
8,15,88.5896059958403
8,16,-87.3771294966684
8,17,-56.4431647497426
8,18,-87.4173301554145
8,19,-52.3166617350835
8,20,-87.671282513081
8,21,69.4715848176057
8,22,79.4711835237689
8,23,-79.033525377445
8,24,71.4445872686991
9,9,68.2501645145252
9,10,-63.1266362265253
9,12,-68.1828895395059
9,13,69.9744390087625
9,14,80.213142298593
9,15,-89.7100522475552
9,16,-86.6355405728965
9,17,-53.8116234699898
9,18,-89.8969104339071
9,19,-51.1845271712917
9,20,-89.7971399265785
9,21,70.3882678473945
9,22,78.6606565973755
9,23,-80.4099486395959
9,24,70.9012501333514
10,10,-55.5809072563119
10,12,-74.8974279543462
10,13,73.4370141350643
10,14,80.8353673418375
10,15,82.8523126774362
10,16,-87.2799181692064
10,17,-56.0622598821208
10,18,85.9235289417408
10,19,-52.589663052968
10,20,85.9726612618251
10,21,77.0559948811358
10,22,79.3064087544745
10,23,-88.4178081785113
10,24,86.564422651273
10,25,82.4181671746025
10,26,63.1519800638535
11,10,-51.3686749647199
11,12,-86.788313499133
