2	0	6	0
3	0	11	0
4	7	9	2
5	7	8	2
6	10	14	4
7	10	15	4
8	12	16	3
9	12	14	3
10	15	20	6
11	15	18	6
12	15	20	9
13	15	24	9
14	16	19	7
15	16	21	7
16	17	22	8
17	17	30	8
18	19	20	11
19	19	19	11
20	20	23	14
21	20	28	14
22	21	28	10
23	21	27	10
24	21	24	18
25	21	23	18
26	21	24	12
27	21	30	12
28	22	27	15
29	22	26	15
30	23	30	16
31	23	30	16
32	24	28	20
33	24	30	20
34	25	29	24
35	25	26	24
36	25	30	13
37	25	30	26
38	25	30	26
39	25	30	13
40	27	30	35
41	27	30	35
42	27	30	29
43	27	30	29
44	28	30	28
45	28	30	23
46	28	30	23
47	28	30	28
48	29	30	32
49	29	30	32
50	29	30	21
51	29	30	21
52	30	30	34
53	30	30	34
54	30	30	34
