2	0	31	0
3	0	26	0
4	0	32	0
5	0	27	0
6	0	27	0
7	0	29	0
8	9	9	0
9	22	22	0
10	26	30	0
11	27	52	3
12	27	51	3
13	27	27	0
14	28	70	6
15	28	49	6
16	28	53	5
17	28	53	5
18	30	53	7
19	30	51	7
20	32	54	2
21	32	62	2
22	33	56	4
23	33	51	4
24	33	36	0
25	38	43	0
26	45	46	0
28	48	48	0
29	50	72	15
30	50	68	15
31	52	71	12
32	52	72	12
33	52	70	23
34	52	69	23
35	52	70	19
36	52	72	19
37	53	72	11
38	53	72	11
39	54	72	16
40	54	72	16
41	54	72	18
42	54	70	18
43	54	72	17
44	54	72	17
45	55	72	20
46	55	72	20
47	56	56	0
48	57	69	22
49	57	70	22
50	63	72	21
51	63	72	21
52	69	72	30
53	69	72	30
54	70	72	48
55	70	72	48
56	70	72	34
57	70	72	34
58	71	72	14
59	71	72	14
60	71	72	49
61	71	72	49
62	71	72	33
63	71	72	33
64	71	72	42
65	71	72	42
66	71	72	35
67	71	72	35
68	72	72	31
69	72	72	31
