TimeStep,CellLifeId,Center_X,Center_Y,Orientation,Major_axis,Minor_axis,lable,parent,height,width
1,1,362.333099365234,304.683197021484,61.4211120605469,31.3535537719727,7.31302785873413,1,0,15.6767768859863,3.65651392936707
1,2,367.156219482422,276.485321044922,-73.5362548828125,30.6648063659668,8.47243976593018,2,0,15.3324031829834,4.23621988296509
2,1,362.963134765625,304.704528808594,59.7794494628906,34.0448760986328,8.11793041229248,1,0,17.0224380493164,4.05896520614624
3,1,361.021148681641,305.836944580078,57.9931030273438,37.3797264099121,7.1593656539917,1,0,18.6898632049561,3.57968282699585
4,1,361.232299804688,304.596069335938,54.6683959960938,39.4867362976074,8.07606220245361,1,0,19.7433681488037,4.03803110122681
5,1,361.811767578125,304.737121582031,51.0499572753906,41.6956214904785,7.92637968063354,1,0,20.8478107452393,3.96318984031677
6,1,359.861999511719,305.184356689453,51.0852966308594,44.8613739013672,7.81594514846802,1,0,22.4306869506836,3.90797257423401
7,1,359.069061279297,305.388031005859,49.2736968994141,48.0410003662109,7.72086095809937,1,0,24.0205001831055,3.86043047904968
8,8,352.081420898438,313.509063720703,45.8082580566406,20.7884387969971,7.66253900527954,1,1,10.3942193984985,3.83126950263977
8,7,366.341552734375,297.143249511719,48.7117919921875,20.0317821502686,7.73895835876465,1,1,10.0158910751343,3.86947917938232
9,8,350.342041015625,315.063812255859,48.2300720214844,21.963888168335,7.62237977981567,1,1,10.9819440841675,3.81118988990784
9,7,365.760894775391,296.726593017578,48.8217010498047,22.6613063812256,7.78863048553467,1,1,11.3306531906128,3.89431524276733
10,8,349.788330078125,315.388397216797,52.0364227294922,24.5811786651611,7.88280963897705,1,1,12.2905893325806,3.94140481948853
10,7,365.110137939453,296.589935302734,46.2682495117188,23.6018619537354,8.23707294464111,1,1,11.8009309768677,4.11853647232056
11,8,349.5537109375,316.057495117188,55.7803039550781,25.4023895263672,7.79209756851196,1,1,12.7011947631836,3.89604878425598
11,7,364.886810302734,297.057342529297,-49.5981292724609,23.2902393341064,7.93182563781738,1,1,3.96591281890869,11.6451196670532
12,8,350.777648925781,315.949157714844,59.2899017333984,22.4724941253662,7.81104040145874,1,1,11.2362470626831,3.90552020072937
13,8,347.092010498047,313.706115722656,59.2351837158203,12.3515577316284,6.61027956008911,1,1,6.17577886581421,3.30513978004456
