StepNumber,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,6
15,7
16,7
17,7
18,7
19,7
20,8
21,8
22,12
23,13
24,15
25,15
26,15
27,17
28,15
29,18
30,25
31,23
32,26
33,29
34,36
35,37
