TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
132,54,54,-57.6408722242399,494.697612176622,236.627645027349,20,6.1765292961712
132,67,67,22.6092317352755,649.660647891647,326.896203822491,12,5.97216726532153
132,69,69,38.6787468136507,660.492570317042,333.720993419926,14,5.32447600642367
132,70,70,25.356041114576,716.764046969278,332.787711086979,19,5.86483382539313
132,79,79,-87.2717075203197,801.977599693694,79.5511335078399,16,5.12501326769197
132,222,45,4.71540633453011,386.971103246375,457.55169234088,33,6.75829955492502
132,242,19,-89.6238714636391,190.936564634219,74.0500215474434,18,5.22187145713619
132,249,6,53.4709393238858,63.7306072547633,587.945837684788,30,6.40285747741606
132,251,18,89.1306137267763,181.922586141153,75.5728171648562,21,6.33269757378222
132,253,41,45.5210542765583,370.280323560687,853.406753980815,20,6.4661898702039
132,254,104,-22.5668561724555,491.197522419954,856.396864731069,28,6.917476793623
132,257,49,67.6256912840265,416.467641594168,781.740327886965,28,6.5055109762458
132,258,49,-62.8500521789049,419.103068061944,808.333252718607,27,6.16907131657953
132,260,78,-2.85987734166121,812.43,66.05,18,6.8187255593623
132,264,48,-81.1741434442247,405.089352169872,829.985124863738,28,6.23331945071339
132,268,64,-46.7952948505453,619.230128302821,697.5547577287,33,6.58305283729399
132,271,39,-47.4030041763475,363.474903661439,807.652286109983,29,7.46692152519158
132,272,39,-70.5490127439085,377.82007367403,778.274072934338,31,7.7237888280361
132,273,75,17.1821899470418,825.93,547.55,26,7.14531993728503
132,274,75,34.2940698754051,800.298641964726,534.855201420145,27,6.74489035948963
132,277,68,10.2954945266557,647.438050452467,443.460637576788,40,6.69665688689835
132,278,68,26.0177922293556,678.491349769155,461.948657874266,38,7.2692433650035
132,280,85,40.5750050127061,861.755221463587,600.670222434019,33,7.38215427262196
132,281,85,-0.679303864108756,894.43,609.55,36,7.35991794644918
132,282,14,29.4388572889595,151.93,520.55,33,6.68297066944832
132,283,14,-60.5165984211212,150.85742055647,545.425587386869,32,6.92779732025908
