StepNumber,NumberOfCells
1,88
2,89
3,89
4,87
5,88
6,88
7,86
8,85
9,89
10,90
11,88
12,87
13,85
14,86
15,87
16,87
17,88
18,88
19,88
20,88
21,88
22,89
23,89
24,89
25,89
26,91
27,90
28,90
29,90
30,91
31,93
32,95
33,94
34,95
35,95
36,98
37,98
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,101
46,101
47,100
48,103
49,106
50,108
51,110
52,113
53,116
54,115
55,120
56,121
57,121
58,122
59,123
60,125
61,126
62,126
63,127
64,127
65,128
66,129
67,129
68,131
69,133
70,135
71,136
72,139
73,139
74,141
75,140
76,141
77,141
78,142
79,142
80,143
81,142
82,146
83,146
84,149
85,148
86,149
87,149
88,151
89,154
90,158
91,157
92,161
93,165
94,167
95,169
96,170
97,171
98,173
99,177
100,181
101,187
102,192
103,196
104,203
105,208
106,216
107,224
108,227
109,232
110,237
111,241
112,246
113,249
114,250
115,252
116,255
117,256
118,257
119,259
120,259
121,261
122,262
123,268
124,270
125,279
126,281
127,283
128,283
129,286
130,290
131,295
132,299
133,307
134,311
135,318
136,324
137,333
138,343
139,357
140,365
141,372
142,382
143,391
144,405
145,417
146,423
147,435
148,445
149,454
150,460
151,463
152,464
153,470
154,480
155,483
156,489
157,494
158,494
159,505
160,514
161,513
162,518
163,528
164,539
165,538
166,548
167,560
168,576
169,592
170,602
171,624
172,650
173,666
174,680
175,686
176,721
