time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.8998,0.7752,0.9197,0.7851,0.547
2.0,0.8773,0.7606,0.9089,0.763,0.5408
3.0,0.885,0.7562,0.8201,0.7614,0.538
4.0,0.8629,0.7563,0.8531,0.7874,0.542
5.0,0.966,0.7621,0.8413,0.759,0.5557
6.0,0.9015,0.7527,0.8934,0.769,0.5581
7.0,0.9164,0.76,0.8514,0.7461,0.5674
8.0,0.9014,0.7504,0.877,0.7399,0.5591
9.0,0.9347,0.7572,0.8482,0.7805,0.5246
10.0,0.9332,0.764,0.8716,0.7948,0.5239
11.0,0.9303,0.7751,0.7049,0.5883,0.4873
12.0,0.9232,0.7527,0.679,0.5515,0.4921
13.0,0.8971,0.8021,0.8843,0.8357,0.491
14.0,0.9296,0.7949,0.876,0.804,0.5689
15.0,0.9243,0.7301,0.8129,0.8379,0.5089
16.0,0.9234,0.7381,0.7741,0.7467,0.5027
17.0,0.9202,0.7347,0.7956,0.7711,0.4357
18.0,0.8869,0.617,0.7721,0.7275,0.4393
19.0,0.9024,0.714,0.7788,0.7139,0.4468
20.0,0.742,0.7208,0.7665,0.6884,0.3475
21.0,0.7169,0.5713,0.6339,0.6012,0.3563
22.0,0.9072,0.6088,0.6848,0.7251,0.2397
23.0,0.9117,0.5919,0.7043,0.72,0.2416
24.0,0.927,0.7008,0.6513,0.7194,0.2344
25.0,0.9322,0.5744,0.6573,0.6909,0.1849
26.0,0.914,0.6653,0.6769,0.7234,0.1882
27.0,0.9457,0.7578,0.7087,0.7282,0.2044
28.0,0.9429,0.7559,0.6911,0.7132,0.1187
29.0,0.9136,0.6983,0.7085,0.7197,0.1979
30.0,0.9416,0.7263,0.6903,0.71,0.0816
31.0,0.9318,0.7051,0.654,0.6342,0.0935
32.0,0.9343,0.7117,0.6616,0.6441,0.0958
33.0,0.9479,0.6408,0.6157,0.6332,0.1034
34.0,0.922,0.6909,0.6398,0.5309,0.1134
35.0,0.9272,0.6897,0.6326,0.6844,0.1069
36.0,0.953,0.6718,0.6553,0.674,0.1038
37.0,0.9086,0.6872,0.7035,0.6557,0.0538
38.0,0.9285,0.6592,0.6672,0.6261,0.0564
39.0,0.8989,0.67,0.6569,0.6424,0.056
40.0,0.884,0.6673,0.6299,0.627,0.0566
