CellId,lable,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
1.0,1.0,30.743215937951877,35.51845804944881,-0.12,18.0,0.012
2.0,2.0,17.760590926877956,23.69592069827886,-0.28,21.0,0.017
3.0,3.0,30.05264476620851,38.022184669902174,0.134,25.0,0.014
4.0,4.0,17.565871014934512,32.889022665923065,0.396,45.0,0.028
5.0,5.0,35.16829708565708,30.174562699125826,-0.063,43.0,0.005
6.0,6.0,50.87549772337253,55.75516364563665,1.237,6.0,0.035
7.0,7.0,19.42103459036932,32.14378928620127,0.205,43.0,0.013
8.0,8.0,21.149754406371304,25.628661123392487,0.13,21.0,0.012
9.0,9.0,35.1267481752771,38.62887914541243,0.254,8.0,0.015
10,10.0,14.57491615502404,14.57491615502404,0.0,1,NaN
11.0,11.0,20.928818293293325,21.026790208039454,0.212,6.0,0.003
12.0,12.0,23.448406212169555,23.573556766435836,0.147,2.0,0.004
13.0,13.0,22.793394934204304,22.816981191930402,0.03,85.0,0.007
14.0,14.0,27.02909707191429,30.688086342770546,0.163,12.0,0.019
15.0,15.0,42.640631455545645,42.40618923141199,0.276,2.0,-0.004
16.0,16.0,28.047106678157714,34.63469436260825,0.314,21.0,0.013
17.0,17.0,21.13673561492082,30.188366120230416,-0.013,32.0,0.025
18.0,18.0,26.02022387111,33.167993625706295,0.192,22.0,0.016
19.0,19.0,29.236138024161946,37.25304412957973,0.112,22.0,0.015
20.0,20.0,22.44643526404386,33.3538337768905,0.089,31.0,0.017
21.0,21.0,25.958494014028933,32.76889070145445,0.073,25.0,0.013
22.0,22.0,33.003956096898584,40.65841941271921,0.031,19.0,0.013
23.0,23.0,21.8318148578737,31.765504330894352,0.627,5.0,0.127
24,24.0,43.22424893404481,43.22424893404481,0.0,1,NaN
25.0,26.0,45.688380567573205,49.81400517765415,0.186,9.0,0.011
26.0,27.0,23.65242633437263,34.817187301924335,0.182,32.0,0.015
27.0,28.0,39.01752334892048,46.62105885958989,0.285,15.0,0.013
28.0,29.0,21.89382529736504,22.238146073425824,0.118,43.0,0.0
29.0,30.0,21.641987442161845,32.049477269544006,0.321,33.0,0.017
30.0,31.0,23.60089165604022,34.504401218390726,-0.029,33.0,0.016
31.0,32.0,24.13296326476298,26.52303912673671,0.206,13.0,0.011
32.0,33.0,19.961183569785995,33.627325845557195,0.079,36.0,0.019
33.0,34.0,18.67058599628874,30.65574716379123,0.132,36.0,0.02
34.0,35.0,26.698250758874376,27.420291579200445,0.015,112.0,-0.0
35.0,36.0,26.23734640652123,35.2640863989856,0.1,22.0,0.019
36.0,37.0,4.899296620841422,5.3565884570708135,0.248,3.0,0.033
37.0,38.0,26.217297949737866,34.27977670951853,2.208,3.0,0.145
38.0,39.0,30.78301597637151,30.70688418710099,0.094,16.0,0.0
39.0,41.0,27.22604984098621,46.297686998762,-0.028,43.0,0.015
40.0,42.0,22.001273311246653,22.10922135842926,0.126,43.0,0.001
41.0,43.0,39.88430709322952,42.64661780588363,0.482,6.0,0.015
42.0,44.0,35.509920639405394,40.60717539095474,0.344,14.0,0.012
43.0,45.0,34.27393447994727,41.942162683480795,0.013,18.0,0.016
44.0,46.0,34.6699464679761,44.16955077929146,-0.068,22.0,0.016
45.0,47.0,20.69387161011659,28.567863339934082,-0.263,25.0,0.016
46.0,48.0,17.01864607268776,16.44798773617544,0.044,24.0,-0.002
47.0,49.0,20.96175058041769,26.383559518127054,0.005,19.0,0.016
48.0,50.0,38.30756943895562,52.681301552417814,0.196,5.0,0.064
49.0,52.0,22.58965547015986,28.86002780367924,0.228,27.0,0.025
50.0,53.0,26.04832201684616,26.213867191702196,1.062,4.0,0.004
51.0,54.0,26.95984142383057,32.214069559197,0.138,18.0,0.013
52.0,55.0,18.63143912066894,29.089850352735414,0.153,40.0,0.015
53.0,56.0,19.067685092079262,32.559356868409985,0.056,43.0,0.017
54.0,57.0,22.97855596764134,32.69063351914474,-0.032,27.0,0.017
55.0,58.0,39.373248313341286,41.1179037274374,0.293,3.0,0.018
56.0,59.0,40.49741502753387,64.08340508285457,-0.021,40.0,0.018
57.0,60.0,29.679934712831923,42.98814550264551,0.361,29.0,0.015
58,62.0,52.43204022341805,52.43204022341805,0.0,1,NaN
59.0,63.0,18.635896165204144,18.150898655466268,0.26,11.0,-0.002
60.0,64.0,27.08194594186804,30.68770584390781,0.021,12.0,0.032
61.0,65.0,19.91272733911624,32.99458515801655,-2.479,2.0,0.28
62.0,66.0,16.079246583005357,16.515401455920674,0.123,43.0,0.001
63.0,67.0,27.350159347244777,30.57347906263151,0.255,14.0,0.01
64.0,68.0,25.2769046907089,29.45559327311475,-0.01,84.0,0.005
