ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,105.24186046511628,47.18604651162791,0,1
2,1,1,102.54098360655738,43.39754098360656,0,1
3,1,1,98.65151515151516,40.13257575757576,0,1
4,1,1,96.58545454545454,38.96,0,1
5,1,1,93.24092409240924,40.43894389438944,0,1
6,1,1,92.19745222929936,41.93312101910828,0,1
7,1,1,91.6734693877551,42.56851311953353,0,1
8,1,1,91.32303370786516,43.949438202247194,0,1
9,1,1,91.08717948717948,42.86923076923077,0,1
10,1,1,91.25692695214106,39.97984886649874,0,1
11,1,1,90.36556603773585,41.216981132075475,0,1
12,1,1,89.58294930875576,38.73271889400922,0,1
13,1,1,80.09387755102041,31.889795918367348,0,1
13,2,1,100.94396551724138,44.05172413793103,0,2
14,1,1,80.82926829268293,32.28861788617886,0,1
14,2,1,98.63385826771653,44.07086614173228,0,2
15,1,1,83.82264150943396,31.845283018867924,0,1
15,2,1,97.82375478927203,43.0919540229885,0,2
16,1,1,84.74087591240875,32.06934306569343,0,1
16,2,1,97.18014705882354,43.029411764705884,0,2
17,1,1,84.87908496732027,32.75816993464052,0,1
17,2,1,93.31832797427653,42.868167202572344,0,2
18,1,1,84.80182926829268,34.07012195121951,0,1
18,2,1,92.03039513677811,43.80243161094225,0,2
19,1,1,85.90229885057471,36.60344827586207,0,1
19,2,1,89.25945945945946,45.53243243243243,0,2
20,1,1,85.8954081632653,39.88520408163265,0,1
20,2,1,77.56521739130434,45.71739130434783,0,2
20,3,1,102.18134715025907,52.09326424870466,0,3
21,1,1,85.6896551724138,39.8183908045977,0,1
21,2,1,74.13861386138613,44.613861386138616,0,2
21,3,1,101.84905660377359,52.117924528301884,0,3
22,1,1,73.33082706766918,38.39473684210526,0,1
22,2,1,103.87096774193549,46.46774193548387,0,2
22,3,1,73.15137614678899,46.5045871559633,0,3
22,4,1,102.33183856502242,54.17040358744394,0,4
23,1,1,72.50331125827815,39.99337748344371,0,1
23,2,1,72.23015873015873,48.28968253968254,0,2
23,3,1,106.6745283018868,49.40094339622642,0,3
23,4,1,104.55731225296442,56.72727272727273,0,4
24,1,1,73.0,40.845659163987136,0,1
24,2,1,72.47011952191235,49.0996015936255,0,2
24,3,1,106.01408450704226,51.12676056338028,0,3
24,4,1,103.83461538461539,58.511538461538464,0,4
25,1,1,76.18666666666667,40.088,0,1
25,2,1,69.44771241830065,47.66339869281046,0,2
25,3,1,107.9251968503937,51.074803149606296,0,3
25,4,1,100.75585284280936,57.71571906354515,0,4
26,1,1,75.8473282442748,36.80916030534351,0,1
26,2,1,67.74426229508197,44.07868852459016,0,2
26,3,1,108.21513944223108,48.05577689243028,0,3
26,4,1,99.31832797427653,54.266881028938904,0,4
27,1,1,62.72522522522522,34.74324324324324,0,1
27,2,1,65.77118644067797,43.16949152542373,0,2
27,3,1,93.04347826086956,38.13913043478261,0,3
27,4,1,110.68367346938776,48.75170068027211,0,4
27,5,1,97.84180790960453,54.08474576271186,0,5
28,1,1,62.96969696969697,36.58008658008658,0,1
28,2,1,65.23756906077348,44.63259668508287,0,2
28,3,1,95.28225806451613,39.99193548387097,0,3
28,4,1,100.65942028985508,48.06521739130435,0,4
28,5,1,121.53801169590643,53.760233918128655,0,5
28,6,1,84.73988439306359,54.57225433526011,0,6
28,7,1,108.93782383419689,57.09844559585492,0,7
29,1,1,63.48106060606061,33.82954545454545,0,1
29,2,1,50.55,37.51,0,2
29,3,1,100.02307692307693,37.72692307692308,0,3
29,4,1,75.83854166666667,44.208333333333336,0,4
29,5,1,101.74050632911393,45.51898734177215,0,5
29,6,1,124.04117647058824,52.98235294117647,0,6
29,7,1,82.12307692307692,51.753846153846155,0,7
29,8,1,109.4688995215311,54.55980861244019,0,8
30,1,1,64.57664233576642,37.215328467153284,0,1
30,2,1,50.21395348837209,40.306976744186045,0,2
30,3,1,101.5523465703971,40.24548736462094,0,3
30,4,1,77.8391959798995,46.61306532663317,0,4
30,5,1,99.52439024390245,49.23170731707317,0,5
30,6,1,123.68852459016394,55.86338797814208,0,6
30,7,1,80.31818181818181,55.61616161616162,0,7
30,8,1,109.30909090909091,57.94090909090909,0,8
31,1,1,66.76699029126213,37.7831715210356,0,1
31,2,1,66.46695095948827,43.79317697228145,0,2
31,3,1,106.49044585987261,40.5828025477707,0,3
31,4,1,97.03333333333333,50.45,0,4
31,5,1,123.55837563451777,56.192893401015226,0,5
31,6,1,77.42857142857143,57.29017857142857,0,6
31,7,1,108.95141700404858,58.62348178137652,0,7
32,1,1,68.42721518987342,40.424050632911396,0,1
32,2,1,66.61522633744856,45.617283950617285,0,2
32,3,1,108.68501529051987,42.90214067278288,0,3
32,4,1,96.72486772486772,52.68783068783069,0,4
32,5,1,124.38308457711443,58.44278606965174,0,5
32,6,1,77.15021459227468,59.738197424892704,0,6
32,7,1,109.98106060606061,60.89393939393939,0,7
33,1,1,65.02826855123675,42.97879858657244,0,1
33,2,1,54.171270718232044,35.530386740331494,0,2
33,3,1,111.1096256684492,42.25133689839572,0,3
33,4,1,78.34736842105264,41.136842105263156,0,4
33,5,1,95.33333333333333,51.76995305164319,0,5
33,6,1,125.72522522522523,58.950450450450454,0,6
33,7,1,74.39382239382239,59.18532818532819,0,7
33,8,1,110.69759450171821,60.508591065292094,0,8
34,1,1,55.44719101123596,42.17752808988764,0,1
34,2,1,53.60526315789474,35.78947368421053,0,2
34,3,1,112.04797979797979,42.78787878787879,0,3
34,4,1,78.73056994818653,41.46632124352332,0,4
34,5,1,96.42635658914729,45.13953488372093,0,5
34,6,1,95.48695652173913,52.243478260869566,0,6
34,7,1,126.22950819672131,59.81147540983606,0,7
