TimeStep,NumberOfCells
1,66
2,70
3,71
4,70
5,77
6,77
7,74
8,77
9,75
10,77
11,78
12,77
13,74
14,75
15,79
16,79
17,81
18,85
19,84
20,85
21,82
22,83
23,86
24,85
25,84
26,85
27,88
28,87
29,86
30,91
31,92
32,88
33,93
34,93
35,96
36,94
37,93
38,99
39,99
40,102
41,100
42,99
43,100
44,107
45,104
46,100
47,107
48,104
49,105
50,108
51,110
52,109
53,112
54,112
55,122
56,120
57,115
58,122
59,119
60,122
61,125
62,127
63,125
64,128
65,127
66,129
67,126
68,130
69,130
70,138
71,137
72,143
73,134
74,140
75,139
76,145
77,147
78,151
79,152
80,152
81,157
82,152
83,149
84,158
85,156
86,162
87,166
88,169
89,161
90,178
91,182
92,183
93,180
94,181
95,187
96,184
97,195
98,199
99,192
100,196
101,205
102,199
103,210
104,200
105,212
106,205
107,221
108,225
109,218
110,225
111,227
112,229
113,228
114,223
115,226
116,221
117,236
118,232
119,233
120,226
121,246
122,247
123,256
124,242
125,236
126,237
127,250
128,257
129,256
130,260
131,274
132,289
133,282
134,296
135,282
136,284
137,287
138,285
139,288
140,290
141,312
142,313
143,310
144,312
145,314
146,295
147,286
148,296
149,302
150,295
151,319
152,312
153,321
154,324
155,354
156,328
157,321
158,314
159,300
160,319
161,338
162,328
163,314
164,338
165,352
166,392
167,394
168,390
169,422
170,440
171,448
172,463
173,460
174,463
175,471
176,481
