TimeStep,NumberOfCells
1,41
2,42
3,43
4,45
5,45
6,44
7,44
8,46
9,44
10,45
11,46
12,46
13,46
14,46
15,47
16,46
17,47
18,46
19,46
20,48
21,45
22,47
23,48
24,48
25,47
26,35
27,46
28,48
29,48
30,51
31,50
32,51
33,49
34,48
35,51
36,48
37,50
38,51
39,52
40,55
41,48
42,51
43,50
44,50
45,49
46,55
47,47
48,50
49,52
50,50
51,51
52,50
53,52
54,51
55,55
56,54
57,56
58,55
59,59
60,53
61,59
62,54
63,60
64,59
65,57
66,61
67,62
68,58
69,57
70,56
71,56
72,54
73,55
74,60
75,60
76,60
77,60
78,62
79,62
80,63
81,62
82,62
83,65
84,63
85,63
86,61
87,61
88,67
89,72
90,68
91,69
92,68
93,62
94,65
95,64
96,70
97,66
98,72
99,67
100,68
101,70
102,75
103,72
104,78
105,68
106,78
107,75
108,83
109,87
110,89
111,90
112,96
113,95
114,97
115,96
116,96
117,93
118,99
119,100
120,95
121,85
122,81
123,85
124,93
125,95
126,97
127,91
128,100
129,110
130,104
131,108
132,113
133,113
134,116
135,126
136,123
137,120
138,123
139,118
140,121
141,124
142,131
143,138
144,135
145,126
146,126
147,121
148,136
149,147
150,148
151,144
152,151
153,147
154,162
155,163
156,158
157,177
158,183
159,186
160,110
161,106
162,101
163,109
164,103
165,121
166,130
167,142
168,153
169,140
170,131
171,134
172,146
173,166
174,145
175,164
176,164
177,172
178,173
179,172
180,155
181,175
182,186
183,193
184,199
185,213
186,207
187,216
188,230
189,220
190,222
191,238
192,242
193,263
194,272
195,286
196,275
197,289
198,281
199,281
200,285
201,301
202,313
203,320
204,311
205,327
206,355
207,341
208,335
209,346
210,350
211,389
212,374
213,385
214,405
215,415
216,420
217,452
218,442
219,472
220,470
221,464
222,481
223,503
224,498
225,536
226,498
227,496
228,546
229,571
230,579
231,631
232,612
233,616
234,626
235,645
236,648
237,676
238,701
239,697
240,677
241,749
242,755
243,780
244,750
245,760
246,790
247,790
248,791
249,782
250,786
251,747
252,827
253,802
254,776
255,839
256,662
257,841
258,858
259,931
260,869
261,914
262,954
263,934
264,1011
265,999
266,1007
267,1033
268,1039
269,1088
270,1063
271,1092
272,1067
273,1102
274,1090
275,1158
276,1121
277,1158
278,1129
279,1173
