lable,NumberOfDivision
1.0,NaN
2.0,3.0
3.0,NaN
4.0,NaN
5.0,2.0
6.0,NaN
7.0,NaN
8.0,2.0
9.0,NaN
10.0,3.0
11.0,NaN
12.0,NaN
13.0,NaN
14.0,NaN
15.0,NaN
16.0,9.0
18.0,NaN
19.0,NaN
20.0,12.0
21.0,NaN
22.0,NaN
23.0,2.0
24.0,NaN
25.0,NaN
26.0,NaN
27.0,13.0
28.0,NaN
29.0,288.0
30.0,19.0
31.0,NaN
32.0,NaN
33.0,12.0
34.0,NaN
35.0,4.0
36.0,7.0
37.0,NaN
38.0,NaN
39.0,22.0
40.0,NaN
41.0,NaN
42.0,NaN
43.0,29.0
44.0,NaN
49.0,44.0
51.0,4.0
52.0,2.0
57.0,16.0
58.0,NaN
59.0,10.0
60.0,NaN
61.0,2.0
62.0,NaN
63.0,2.0
64.0,2.0
65.0,NaN
66.0,NaN
67.0,NaN
68.0,NaN
70.0,3.0
71.0,NaN
73.0,232.0
76.0,NaN
77.0,8.0
78.0,101.0
81.0,NaN
82.0,3.0
83.0,NaN
84.0,10.0
85.0,7.0
86.0,6.0
89.0,NaN
90.0,NaN
94.0,NaN
95.0,NaN
96.0,2.0
97.0,NaN
98.0,NaN
99.0,3.0
100.0,4.0
102.0,3.0
105.0,NaN
106.0,NaN
107.0,NaN
108.0,41.0
109.0,2.0
113.0,NaN
114.0,3.0
115.0,NaN
118.0,NaN
119.0,28.0
120.0,5.0
126.0,353.0
127.0,NaN
130.0,NaN
132.0,11.0
134.0,NaN
135.0,NaN
136.0,NaN
139.0,NaN
140.0,3.0
146.0,27.0
148.0,2.0
149.0,NaN
150.0,104.0
151.0,2.0
152.0,NaN
154.0,35.0
156.0,39.0
159.0,166.0
160.0,NaN
162.0,NaN
163.0,412.0
165.0,NaN
168.0,NaN
169.0,58.0
172.0,6.0
173.0,26.0
174.0,NaN
175.0,338.0
178.0,2.0
179.0,NaN
180.0,2.0
184.0,NaN
185.0,NaN
187.0,9.0
188.0,NaN
192.0,394.0
193.0,6.0
195.0,152.0
196.0,202.0
197.0,NaN
198.0,NaN
200.0,102.0
201.0,NaN
202.0,NaN
203.0,3.0
204.0,NaN
206.0,61.0
207.0,NaN
208.0,NaN
209.0,NaN
211.0,NaN
213.0,64.0
214.0,NaN
215.0,NaN
216.0,308.0
218.0,26.0
219.0,8.0
222.0,NaN
223.0,NaN
229.0,NaN
230.0,3.0
232.0,7.0
233.0,NaN
234.0,NaN
237.0,20.0
239.0,NaN
240.0,NaN
241.0,2.0
243.0,2.0
244.0,NaN
245.0,297.0
246.0,222.0
247.0,162.0
249.0,NaN
250.0,NaN
251.0,14.0
252.0,3.0
254.0,2.0
258.0,NaN
260.0,NaN
262.0,14.0
263.0,NaN
264.0,NaN
265.0,4.0
266.0,NaN
