TimeStep,NumberOfCells
2,3
3,4
4,5
5,3
6,5
7,6
8,11
9,12
10,10
11,13
12,13
13,13
14,13
15,13
16,14
17,15
18,15
19,18
20,15
21,22
22,25
23,29
24,34
25,35
26,35
27,35
28,32
29,33
30,36
31,45
32,51
33,61
34,69
35,71
36,74
37,76
38,77
39,77
40,78
41,78
42,80
43,88
44,106
45,119
46,138
47,145
48,152
49,153
50,156
51,155
52,154
53,155
54,160
55,172
56,189
57,202
58,208
59,226
60,244
61,247
62,257
63,262
64,265
65,267
66,287
67,301
68,308
69,322
70,336
71,338
72,366
73,384
74,397
75,410
76,419
77,433
78,466
79,476
80,493
81,507
82,513
83,529
84,530
85,525
86,533
87,528
88,542
89,552
90,566
91,566
92,587
93,589
94,583
95,574
96,569
97,566
98,557
99,545
100,544
101,549
102,553
103,577
104,598
105,601
106,604
107,611
108,603
109,598
110,573
111,561
112,542
113,544
114,542
115,551
116,560
117,575
118,602
119,606
120,623
121,622
122,610
123,593
124,589
125,569
126,559
127,549
128,551
129,560
130,588
131,610
132,627
133,641
134,635
135,633
136,625
137,612
138,590
139,577
140,568
141,565
142,570
143,590
144,615
145,621
146,630
147,643
148,665
149,652
150,654
151,655
152,651
153,635
154,617
155,611
156,598
