CellNumber,GrowthRate,BirthLength,LifeHistory
98,0.00985812,18,82
99,0.02376277,22,24
100,0.020184061,23,32
102,0.022978117,16,43
103,-0.018832713,11,25
104,0.016495704,32,23
105,0.063853203,18,9
106,0.021623181,23,31
107,0.023353077,15,43
108,0.023933463,20,32
109,0.019083973,22,31
110,0.018146192,21,43
111,0.025047622,19,38
112,0.023226117,28,13
113,0.019816768,26,16
114,0.016542333,24,39
115,0.02635553,20,35
116,0.020754199,26,18
117,0.022193778,24,18
118,0.018800145,25,26
119,0.023793514,22,32
120,0.013714149,26,41
121,0.011211929,19,58
122,0.004545956,27,9
123,-0.002868953,22,112
124,0.019019526,17,51
125,0.023465113,10,59
126,0.027827552,15,38
127,0.025541281,18,21
128,0.024634957,19,36
129,0.026686895,18,28
130,0.020897024,18,38
131,0.025396866,16,39
132,0.022142111,22,28
133,0.013680933,22,39
134,0.021133348,21,36
135,0.02100446,21,34
136,0,6,2
138,0.015492266,15,61
139,0.025441101,16,35
140,0.025441101,16,35
141,-0.020726511,14,28
142,0.028559775,8,63
143,0.018879849,21,31
144,0.017287843,20,35
145,0.029906269,13,41
146,0.026796628,17,29
147,0.024779616,21,28
148,0.025515595,20,31
150,0.023581264,20,39
151,0.027725887,20,26
152,0.027751024,5,69
153,0.02043494,20,24
154,0.025049316,23,32
155,0.02420851,18,36
156,0.024920525,18,35
157,0.023763129,19,40
158,0.021050783,22,40
159,0.028954892,15,34
160,0.024022386,19,35
161,0.028956754,16,26
162,0.019986278,20,29
163,0.005715841,17,11
164,0.022930217,18,30
165,0,6,2
166,0.021722471,36,36
167,0.018978147,26,25
168,0.017734437,17,52
169,0.01278587,18,46
170,0.02256671,17,33
171,0.02348552,18,35
172,0,5,2
173,0.024948804,19,12
174,0.035793228,12,36
175,0.026316148,19,37
176,0.025779702,20,18
177,0.023973506,9,25
178,0.017666355,18,37
179,0.024814682,19,31
180,0.028636663,18,28
181,0.024197203,18,34
182,0.020779989,17,67
183,0.026868036,20,32
184,0.023816877,21,33
185,0.020780509,18,33
186,0.023219347,21,23
187,0.024162184,18,33
188,0.017535982,18,32
