CellNumber,AverageVelocity,AverageLength,AverageOrientation
1,0.0117574546771569,30.7333333333333,-0.67845375237637
2,0.117910939666725,30.2058823529412,-0.999378374036652
3,0.298975413858706,25.1111111111111,1.20687598127924
4,0.00327078830418436,41.5,0.193804137436427
5,-0.0405432256372925,51.12,0.122435823857013
6,0.022186598797496,30.45,1.31957789942139
7,0.0360919433071568,36.8481012658228,-1.09786897128055
8,0.00304067068353498,28.7941176470588,-0.277535537185811
9,-0.116065900196639,39.1666666666667,1.08662823369258
10,-0.0232335593202392,24.8695652173913,-0.586242320898102
11,0.0489939857003478,29.2592592592593,-0.261421267434885
12,-0.14575158473896,28.1860465116279,-1.24931103357393
13,0.0624190436658777,27.1515151515152,-0.572998130415263
14,-0.0011949721941228,25.0526315789474,-0.0368273750994303
15,0.0231450117015773,30.1428571428571,-0.265567922648068
16,-0.196666217772369,44.2641509433962,-0.913875137108012
17,0.0132207532309114,20.031914893617,0.228097532884478
18,-0.218986246572369,35.8,0.805386568419911
19,0.152265094302717,37.2142857142857,0.596754301867347
20,0.10528960179024,30.9444444444444,-1.01405434554541
21,0.00544715693236377,18.625,-0.317821288252165
22,0.0236020570854786,21.5263157894737,-0.926853046241946
23,-0.0347975839574268,27.5714285714286,1.00411791546533
24,-0.141269060796352,29.7037037037037,-0.976453355122725
25,-0.0536609831974677,27.4,-0.995768388321075
26,0.265208697244433,26.8709677419355,0.582255186888349
27,-0.0245729037190448,27.7948717948718,-0.913073173870142
28,0.099287196356651,31.4285714285714,-1.02879488345632
29,-0.330455723284204,30.3050847457627,0.995908690984146
30,-0.32823376792935,20.4444444444444,0.51253266055394
31,0.0628389829841206,23.6875,-0.675339930461503
32,0.0951352678242428,51.6,0.173873751818008
33,-0.221666297724469,31.2142857142857,-0.0737739069185021
34,-0.132792762441101,24.4571428571429,0.0959148078591268
35,0.133032628109224,33.5434782608696,1.43444577332632
36,-0.0826930847542314,24.027027027027,0.00324686166602764
37,-0.21891343125016,23.2459016393443,0.317190449724199
38,0.143564043184125,27.9166666666667,0.200093661698069
39,0.17115178078973,25.25,1.00557546442332
40,0.1227568919779,35.5,-1.17513965954542
41,0.133588773965035,33,0.466723687065348
42,0.00207178262423604,25.4285714285714,1.32641350415831
43,-0.114032896684549,29.3611111111111,0.042531161655778
44,-0.174634104827148,27.1428571428571,1.33085930455099
45,0.0490607539634564,27.6111111111111,-0.509616591674407
46,0.0148502750329271,32.3,0.515862539366375
47,-0.034551725921915,42.359375,-0.0572369622834938
48,-0.0798693994962684,28.2558139534884,0.844162305722433
49,-0.0661875080197802,31.7708333333333,0.370984608941083
50,0.14922632211133,25.59375,0.436546375674826
51,-0.0838437246013817,27.75,0.040754937296588
52,-0.0578293437561039,30.3,0.637244145266146
53,-0.0524305749553642,27.6969696969697,-0.88416252882684
54,-0.116996974844346,26.9130434782609,-1.27927388154876
