ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
11,1,334,1222,114,56,67,30,90.62275449101796,41.134730538922156,3.2184424211114178,434,0.9890910344918175,20.62188177498708,1,0.2733224222585925,0.3107093025621605,59.10272687527604,51.42956348249516,4.0,1.9879742201791388,2.0,8.815179954044776,8.706159774544753,64.17172059452,116.22539674441617,0.7695852534562212,90.62275449101796,41.134730538922156,0,0.0,0.0,0,0.0,0.0,0.0,0,1,16.638307015762827,1.5506234656925613,nan,26.799314417426388,1,11,0.620848233525843,10.0,1,-0.8996814064179404,1.2629356671272873
12,1,336,1323,115,54,66,27,90.11309523809524,38.82142857142857,3.4371186872609045,448,0.9900996856980493,20.683531783305643,1,0.25396825396825395,0.29094136426138845,61.332267721458024,53.225933528685054,4.0,1.9508508607838004,2.0,9.24345993342936,8.608964746813601,63.95341486993474,120.46803743153546,0.75,90.11309523809524,38.82142857142857,0,0.0,0.0,0,0.0,0.0,0.0,0,1,18.078230716708457,2.368779970132186,nan,29.168094387558575,1,12,0.6197947139261722,11.0,1,-0.5096592529227166,-2.3133019674935866
13,1,172,279,96,36,65,27,79.18023255813954,31.156976744186046,2.1789988220677787,202,0.9782073631023358,14.798554040663838,1,0.6164874551971327,0.45892636098400535,33.443910889351166,30.14962686336267,3.605551275463989,1.8462789936198922,2.0,6.941202878303552,6.943970321813174,84.63964720179881,68.62741699796952,0.8514851485148515,79.18023255813954,31.156976744186046,0,0.0,25.093886569812685,2,0.0,0.0,0.0,0,1,31.373137073823788,13.351827896991837,nan,42.51992228455041,1,13,0.7378455883307952,12.0,1,-10.932862679955704,-7.664451827242523
13,2,181,434,115,52,84,38,100.61878453038673,44.19889502762431,2.41952056057302,239,0.9708466933028581,15.180789096653193,1,0.41705069124423966,0.4133050226128965,33.47584111173082,31.04834939252005,3.605551275463989,1.8431196640447576,2.0,8.221921916437786,8.024201577357141,70.00960226921048,74.18376618407356,0.7573221757322176,100.61878453038673,44.19889502762431,0,0.0,25.093886569812685,1,0.0,0.0,0.0,0,2,6.280915433329456,11.801976656207998,nan,40.97007104376657,1,13,0.15330496807339736,12.0,1,10.505689292291493,5.377466456195741
14,1,172,297,98,36,65,27,79.97674418604652,31.523255813953487,2.401202334252738,198,0.9831813367383601,14.798554040663838,1,0.5791245791245792,0.4164580326010733,35.26497897299597,32.2490309931942,3.1622776601683795,1.7746548382036016,2.0,5.939696961966999,6.440514766047477,82.18402987201783,72.04163056034263,0.8686868686868687,79.97674418604652,31.523255813953487,0,0.0,22.79458344938769,2,0.0,0.0,0.0,0,1,30.501929644362217,0.8766932931993545,nan,43.39661557774976,1,14,0.7028642496259804,13.0,1,0.7965116279069804,0.3662790697674403
14,2,196,416,115,52,83,39,98.89795918367346,44.234693877551024,2.275885453989071,233,0.9786988048515133,15.797308339337176,1,0.47115384615384615,0.43938942456319335,36.05002241993418,32.57299494980466,3.605551275463989,1.8963557648330311,2.0,7.273238618387272,7.401118715512559,72.54391426401841,74.87005768508881,0.8412017167381974,98.89795918367346,44.234693877551024,0,0.0,22.79458344938769,1,0.0,0.0,0.0,0,2,7.806385676036987,1.7211976735828218,nan,42.691268717349395,1,14,0.1828567271617424,13.0,2,-1.7208253467132693,0.03579884992671367
15,1,194,396,102,37,66,26,82.84020618556701,31.015463917525775,2.666575593095576,231,0.9879280258384171,15.716503163191918,1,0.4898989898989899,0.3750128076583493,40.96043742034017,35.6931365951495,3.1622776601683795,1.771231112228094,2.0,6.17154761789942,6.345327800129599,80.06710350940773,80.62741699796952,0.8398268398268398,82.84020618556701,31.015463917525775,0,0.0,18.496072859843828,2,0.0,2.2222222222222223,0.0,0,1,28.380536385830357,2.908138104144225,nan,46.304753681893985,1,15,0.6129076202586015,14.0,1,2.8634619995204957,-0.5077918964277117
15,2,217,518,115,51,78,37,96.94009216589862,42.986175115207374,2.583925442087248,257,0.9854047009842741,16.622063085174787,1,0.4189189189189189,0.3870080706323392,41.61751004988779,37.36308338453881,3.605551275463989,1.8636618670719483,2.0,6.924653036227241,7.084465903443889,74.30952994308869,83.94112549695429,0.8443579766536965,96.94009216589862,42.986175115207374,0,0.0,18.496072859843828,1,0.0,2.0618556701030926,0.0,0,2,10.105349031625348,2.3220771647847287,nan,45.013345882134125,1,15,0.2244967316601137,14.0,2,-1.957867017774845,-1.2485187623436502
16,1,201,444,103,38,66,26,83.49253731343283,31.26865671641791,2.835412499806518,243,0.9888677314249986,15.99753570059363,1,0.4527027027027027,0.3526823698732504,42.72144132909586,37.107950630558946,3.1622776601683795,1.7625791668020325,2.0,6.039776409981483,6.356831283062591,79.72134794021369,84.6274169979695,0.8271604938271605,83.49253731343283,31.26865671641791,0,0.0,17.673328558889484,2,0.0,0.0,0.0,0,1,27.70167678499952,0.6997445918287104,nan,47.004498273722696,1,16,0.5893409737868814,15.0,1,0.6523311278658213,0.25319279889213675
16,2,221,532,115,51,77,37,96.55203619909503,43.1764705882353,2.747747173048582,265,0.9869716852015357,16.774562271083887,1,0.41541353383458646,0.36393450234743246,43.30607911084008,38.3275357934736,3.605551275463989,1.8426089681244306,2.0,7.10220824228435,6.967690092385284,74.78699095862889,87.35533905932738,0.8339622641509434,96.55203619909503,43.1764705882353,0,0.0,17.673328558889484,1,0.0,0.0,0.0,0,2,10.379665982466376,0.43220342482075635,nan,45.44554930695488,1,16,0.22839785503215154,15.0,2,-0.38805596680359145,0.19029547302792338
