TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
1,1,1,16.3803476867769,29.8792884207903,774.838699181332,12,5.66763688918414
1,2,2,8.59686559607134,42.5,778,14,5.41277489133089
1,3,3,24.2623355738432,58.7054575710796,588.544163201918,14,5.42755898261829
1,4,4,43.3766483493614,69.9497813502451,595.383458977867,14,5.27492355990512
1,5,5,9.03600278118346,76,360,20,3.89880985528476
1,6,6,13.9776955971453,76.5,368,14,4.73860687396664
1,7,7,9.08568807548889,81.5789557080128,549.006273358859,18,5.97052328848197
1,8,8,61.7542804559433,89.3229100236143,369.296163879849,7,3.29280095720726
1,9,9,46.4236426064344,91.6377718173505,359.844660330898,9,4.18918556292894
1,10,10,43.1882111715301,94.9734043450166,374.093664190311,8,3.97858941242785
1,11,11,37.0153487090529,99.3979710555644,365.298474263869,10,4.58225211730348
1,12,12,23.862923953481,143.297725055451,499.457257965275,14,5.29003091859729
1,13,13,24.784353371286,143.209602083113,508.546054004583,15,3.93570512506541
1,14,14,15.6796594165889,158.383476792374,245.346264544039,18,5.65903259886722
1,15,15,32.1221547702739,158,506,12,5.33938864517685
1,16,16,26.7569535836003,159.5,517,15,4.7142016636663
1,17,17,47.6247383893971,220.130626793568,234.336991742288,18,6.15818635555969
1,18,18,50.7238676174986,220.683470769891,292.612948005448,15,4.99536683565385
1,19,19,45.96173651438,225.140562134717,47.3475693038813,16,4.38592152674724
1,20,20,27.0298414834756,227.545545497023,32.3907699505055,14,4.66570916271832
1,21,21,69.3054031607939,227.532261319805,435.17669331354,16,5.7304122439239
1,22,22,41.5853293108718,233.210249316931,292.079835423415,20,4.17785161858412
1,23,23,40.7857690897907,232.173383717874,43.8785786632261,12,4.14753359357547
1,24,24,33.7556246854963,234.5,304,16,5.17273114889936
1,25,25,-34.4940638187383,236.412092433616,58.2168395752285,14,4.89309491489155
1,26,26,50.0187566626023,236.233745171433,450.142536798711,14,5.44848135747476
1,27,27,48.3368398981248,238.794092049154,38.9588421947656,11,4.07760556077461
1,28,28,-47.5624333756777,249.337393209593,46.6309934660196,13,5.43852750128067
1,29,29,38.9947398864574,262.073977346128,366.20322638763,15,6.65807450524155
1,30,30,41.6973443051752,262.667402126601,834.873334507661,14,4.19225683738718
1,31,31,43.3137322977392,272.293199437322,845.520807801381,13,4.55451520774376
1,32,32,37.1498307484089,275.801950713373,376.101470494576,14,5.74228611442164
1,33,33,67.9429142892894,336.036594919354,263.187765095883,22,5.86434364622659
1,34,34,-11.1725319693995,338.490524080019,140.403117974206,9,4.70572710452884
1,35,35,-12.5384291778709,343.5,129.5,18,5.28271009874051
1,36,36,20.3661185902507,348.674008866028,546.531256024526,14,5.85406314321093
1,37,37,-23.2833163618009,348.302360975738,137.540719240454,11,4.48608749012324
1,38,38,9.61366920069331,363.416498013218,552.492978111282,14,5.52388325797807
1,39,39,31.3653860218238,394.81282035955,581.166685757494,15,6.03582518837897
1,40,40,53.2859357203897,399.300274569265,495.898096508486,15,5.79982885058469
1,41,41,51.5270631523511,397.297476491002,783.419621400201,9,4.14431449748378
1,42,42,39.8502362017881,404.179608462772,419.383860994206,14,5.43979161518896
