StepNumber,NumberOfCells
1,87
2,88
3,89
4,86
5,84
6,88
7,88
8,89
9,87
10,87
11,89
12,90
13,88
14,90
15,89
16,93
17,93
18,89
19,92
20,92
21,91
22,91
23,94
24,93
25,91
26,94
27,96
28,95
29,95
30,91
31,92
32,90
33,91
34,96
35,95
36,96
37,96
38,97
39,97
40,98
41,98
42,101
43,100
44,102
45,104
46,103
47,101
48,102
49,106
50,107
51,109
52,116
53,118
54,117
55,120
56,123
57,124
58,125
59,125
60,129
61,130
62,130
63,129
64,133
65,133
66,132
67,140
68,140
69,137
70,137
71,144
72,143
73,141
74,138
75,139
76,140
77,141
78,142
79,141
80,140
81,144
82,144
83,148
84,152
85,156
86,158
87,160
88,160
89,165
90,168
91,165
92,169
93,168
94,175
95,178
96,178
97,186
98,190
99,190
100,197
101,205
102,207
103,210
104,218
105,219
106,229
107,231
108,236
109,242
110,240
111,244
112,249
113,249
114,252
115,254
116,258
117,261
118,262
119,264
120,266
121,268
122,272
123,279
124,285
125,286
126,291
127,295
128,300
129,301
130,308
131,313
132,322
133,339
134,351
135,348
136,358
137,371
138,383
139,389
140,397
141,412
142,424
143,440
144,440
145,446
146,455
147,465
148,473
149,480
150,487
151,493
152,493
153,503
154,513
155,515
156,520
157,521
158,537
159,548
160,558
161,563
162,574
163,575
164,591
165,597
166,606
167,631
168,656
169,666
170,688
171,708
172,717
173,743
174,746
175,785
176,812
