ImageNumber,ObjectNumber,Children_FilteredNuclei_Count,Children_IdentifySecondaryObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,1,288.84107468123864,303.39253187613843,0,1
2,1,1,1,245.146835443038,244.0434599156118,0,1
2,2,1,1,263.0,202.0,0,2
2,3,1,1,258.2142857142857,282.9107142857143,0,3
2,4,1,1,256.9387755102041,295.55102040816325,0,4
3,1,1,1,251.87377584330795,207.45266594124047,0,1
3,2,1,1,263.17052023121386,250.39884393063585,0,2
3,3,1,1,240.00564573041638,285.136203246295,0,3
4,1,1,1,254.9478672985782,185.9218009478673,0,1
4,2,1,1,268.7230769230769,187.0,0,2
4,3,1,1,243.23333333333332,200.525,0,3
4,4,1,1,269.16129032258067,207.20430107526883,0,4
4,5,1,1,251.5966386554622,231.7436974789916,0,5
4,6,1,1,262.6794871794872,219.02564102564102,0,6
4,7,1,1,267.57142857142856,249.18207282913164,0,7
4,8,1,1,244.541214057508,284.8555910543131,0,8
4,9,1,1,248.0,284.0,0,9
5,1,1,1,256.52,211.9683870967742,0,1
5,2,1,1,242.97413793103448,281.2655172413793,0,2
6,1,1,1,251.89830508474577,179.13182674199624,0,1
6,2,1,1,237.47457627118644,189.9406779661017,0,2
6,3,1,1,261.11607142857144,218.59821428571428,0,3
6,4,1,1,240.3,207.85,0,4
6,5,1,1,222.97587719298247,238.13815789473685,0,5
6,6,1,1,247.19101123595505,235.95880149812734,0,6
6,7,1,1,267.559902200489,256.22249388753056,0,7
6,8,1,1,239.77540106951872,276.58288770053474,0,8
6,9,1,1,246.16251354279524,299.64463705308776,0,9
7,1,1,1,251.61103810775296,184.34296977660972,0,1
7,2,1,1,220.0073664825046,233.5672191528545,0,2
7,3,1,1,259.79802955665025,228.935960591133,0,3
7,4,1,1,247.38197424892704,244.23175965665237,0,4
7,5,1,1,279.7007874015748,242.4251968503937,0,5
7,6,1,1,235.05263157894737,255.58646616541353,0,6
7,7,1,1,268.6389891696751,298.84115523465704,0,7
7,8,1,1,261.6687898089172,281.18471337579615,0,8
7,9,1,1,229.2573221757322,297.9037656903766,0,9
7,10,1,1,244.42926829268293,297.4439024390244,0,10
7,11,1,1,230.0,306.0,0,11
7,12,1,1,76.0,467.0,0,12
8,1,1,1,253.64360313315927,185.78328981723237,0,1
