Channel_img,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06RescaleIntensity,ExecutionTime_07CorrectIlluminationCalculate,ExecutionTime_08CorrectIlluminationApply,ExecutionTime_09EnhanceEdges,ExecutionTime_10Watershed,ExecutionTime_11IdentifySecondaryObjects,ExecutionTime_12TrackObjects,ExecutionTime_13MeasureObjectSizeShape,ExecutionTime_14MeasureObjectNeighbors,ExecutionTime_15SaveImages,FileName_img,Frame_img,Group_Index,Group_Number,Height_img,ImageNumber,ImageSet_ImageSet,MD5Digest_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05ColorToGray,ModuleError_06RescaleIntensity,ModuleError_07CorrectIlluminationCalculate,ModuleError_08CorrectIlluminationApply,ModuleError_09EnhanceEdges,ModuleError_10Watershed,ModuleError_11IdentifySecondaryObjects,ModuleError_12TrackObjects,ModuleError_13MeasureObjectSizeShape,ModuleError_14MeasureObjectNeighbors,ModuleError_15SaveImages,PathName_img,ProcessingStatus,Scaling_img,Series_img,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_img,Width_img
-2,58.0,58.0,58.0,0.0,0.0,0.125,0.0,0.03125,0.015625,0.03125,0.0,0.0,0.15625,0.203125,0.25,0.15625,0.109375,0.03125,TestSchnitz-01-p-011.tif,0,11,1,538,11,b'eLtreVRJG03JQzolG+qVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAkHkl1A==',8e80a8b9d3e6528203be65ba62543d7c,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-011.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02609088644385338,0.026090886,-12.362013158702766,0.9706552441633107,29,5,34,2,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-011.tif,472
-2,67.0,67.0,67.0,0.0,0.0,0.109375,0.0,0.0625,0.0625,0.03125,0.015625,0.015625,0.140625,0.203125,0.25,0.171875,0.125,0.046875,TestSchnitz-01-p-012.tif,0,12,1,538,12,b'eLtreVRJG03JQzolG+mVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAkjEl1Q==',6c7ca2614a98967a7624a59d44161831,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-012.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02464381977915764,0.02464382,-12.360896361146974,0.95904659864374,40,2,39,8,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-012.tif,472
-2,61.0,61.0,61.0,0.0,0.0,0.078125,0.0,0.015625,0.015625,0.046875,0.0,0.015625,0.15625,0.1875,0.25,0.1875,0.109375,0.046875,TestSchnitz-01-p-013.tif,0,13,1,538,13,b'eLtreVRJG03JQzolG+uVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAk+kl1g==',8e275cf8dedfc31c8286455e2d7f322e,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-013.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.025502821430563927,0.025502821,-12.574835206908666,0.9663507626574152,40,7,25,7,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-013.tif,472
-2,89.0,89.0,89.0,0.0,0.0,0.140625,0.0,0.03125,0.03125,0.03125,0.0,0.015625,0.140625,0.21875,0.296875,0.234375,0.140625,0.046875,TestSchnitz-01-p-014.tif,0,14,1,538,14,b'eLtreVRJG03JQzolm+iVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAlaEl1w==',6ccc0f6d7384d7b19d52732a13a05162,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-014.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.026342207565903664,0.026342208,-12.303976737834795,0.9584065174175636,38,6,60,8,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-014.tif,472
-2,85.0,85.0,85.0,0.0,0.0,0.15625,0.0,0.0625,0.03125,0.03125,0.015625,0.015625,0.15625,0.21875,0.3125,0.21875,0.140625,0.046875,TestSchnitz-01-p-015.tif,0,15,1,538,15,b'eLtreVRJG03JQzolm+qVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAl1kl2A==',78bac577356bcdb2b6599060a8948899,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-015.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02520323544740677,0.025203235,-12.403101054688133,0.9527660681367969,61,5,48,6,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-015.tif,472
-2,81.0,81.0,81.0,0.0,0.0,0.109375,0.0,0.046875,0.03125,0.03125,0.0,0.015625,0.140625,0.1875,0.28125,0.1875,0.140625,0.03125,TestSchnitz-01-p-016.tif,0,16,1,538,16,b'eLtreVRJG03JQzolm+mVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAmREl2Q==',00886f6efc3897e8c4f00c53aaeed4a0,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-016.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02519116923213005,0.02519117,-12.602413950363083,0.9732303659261873,54,9,40,7,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-016.tif,472
-2,75.0,75.0,75.0,0.0,0.0,0.125,0.0,0.03125,0.03125,0.03125,0.0,0.015625,0.15625,0.21875,0.359375,0.203125,0.109375,0.03125,TestSchnitz-01-p-017.tif,0,17,1,538,17,b'eLtreVRJG03JQzolm+uVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAmskl2g==',228958e8c4b5bc777d54135370cba0cb,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-017.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.027729222550988197,0.027729223,-12.335195323272615,0.9764797766113463,55,5,50,7,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-017.tif,472
-2,89.0,89.0,89.0,0.0,0.0,0.140625,0.0,0.015625,0.03125,0.046875,0.0,0.015625,0.140625,0.203125,0.28125,0.234375,0.140625,0.03125,TestSchnitz-01-p-018.tif,0,18,1,538,18,b'eLtreVRJG03JQzolW+iVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAnIEl2w==',ba8a4f61c38765287e762036333133c2,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-018.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02585705928504467,0.02585706,-12.38791507971236,0.9722112232465824,53,3,52,7,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-018.tif,472
-2,86.0,86.0,86.0,0.0,0.0,0.125,0.0,0.015625,0.03125,0.046875,0.0,0.015625,0.125,0.21875,0.265625,0.203125,0.125,0.046875,TestSchnitz-01-p-019.tif,0,19,1,538,19,b'eLtreVRJG03JQzolW+qVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAnjkl3A==',ccf28a95714fa37b4bf232fe77d88fc6,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-019.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02448880299925804,0.024488803,-12.640068077804361,0.9734265832074358,62,1,49,7,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-019.tif,472
-2,116.0,116.0,116.0,0.0,0.0,0.140625,0.0,0.015625,0.03125,0.03125,0.015625,0.015625,0.15625,0.203125,0.328125,0.265625,0.140625,0.03125,TestSchnitz-01-p-020.tif,0,20,1,538,20,b'eLtreVRJG03JQzklGxnolWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJB6JdQ=',3ae6a348271d22dea7c72f15ffac1f20,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-020.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.022449307143688202,0.022449307,-12.684847400280741,0.9727299147703387,61,3,76,8,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-020.tif,472
