TimeStep,NumberOfCells
1,79
2,81
3,83
4,83
5,82
6,85
7,85
8,84
9,83
10,80
11,77
12,82
13,79
14,76
15,75
16,72
17,73
18,79
19,75
20,67
21,64
22,75
23,69
24,66
25,66
26,65
27,62
28,62
29,69
30,70
31,67
32,64
33,62
34,56
35,65
36,56
37,64
38,61
39,60
40,57
41,64
42,64
43,57
44,61
45,61
46,58
47,64
48,52
49,65
50,61
51,63
52,64
53,53
54,53
55,54
56,55
57,55
58,48
59,57
60,57
61,58
62,53
63,54
64,53
65,62
66,56
67,53
68,61
69,60
70,66
71,61
72,61
73,59
74,63
75,65
76,64
77,62
78,57
79,56
80,57
81,51
82,38
83,49
84,50
85,43
86,43
87,51
88,52
89,42
90,55
91,56
92,70
93,64
94,57
95,63
96,50
97,68
98,63
99,41
100,48
101,40
102,57
103,73
104,56
105,57
106,73
107,59
108,70
109,61
110,53
111,61
112,53
