Cell_lable,NumberOfDivision
0,0
1,0
2,5
3,11
4,5
5,5
6,6
7,5
8,3
9,1
10,1
11,3
12,2
13,0
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
