Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,5,5,6,6,5,6
2,5,5,6,6,5,6
3,5,5,6,6,5,6
4,6,6,6,6,5,6
5,6,6,6,6,6,6
6,6,6,6,6,6,6
7,6,6,6,6,6,6
8,6,6,6,6,6,6
9,6,6,6,6,6,6
10,6,6,6,6,6,7
11,6,6,6,6,6,6
12,6,6,6,6,6,6
13,6,6,6,6,6,6
14,6,6,6,6,6,6
15,6,6,6,6,6,6
16,6,6,6,6,6,6
17,6,6,6,6,6,6
18,6,6,6,6,6,6
19,6,6,6,6,6,6
20,6,6,6,6,6,6
21,6,6,6,6,6,6
22,6,6,6,6,6,6
23,6,6,6,6,6,7
24,6,6,6,6,6,6
25,6,6,6,6,6,6
26,6,6,6,6,6,6
27,6,6,6,6,6,7
28,6,6,6,6,6,9
29,6,6,7,6,6,10
30,6,6,7,8,6,10
31,6,6,8,6,6,11
32,6,6,9,7,6,10
33,7,7,10,9,7,11
34,10,10,12,10,9,13
35,11,10,12,10,10,13
36,11,10,12,11,10,13
37,12,12,12,11,10,13
38,12,12,12,12,12,12
39,12,12,12,12,12,13
40,12,12,12,12,12,13
41,12,12,12,12,12,13
42,12,12,12,12,12,13
43,12,12,12,12,12,13
44,12,12,12,12,13,13
45,12,12,12,12,12,12
46,12,12,12,12,12,13
47,12,12,12,12,11,13
48,12,12,12,12,11,12
49,12,12,12,12,11,13
50,12,12,12,12,11,12
51,12,12,12,12,11,13
52,12,12,13,13,11,13
53,12,12,13,12,11,16
54,13,13,15,13,11,17
55,17,17,18,16,12,20
56,17,17,19,16,14,21
57,19,19,21,20,15,22
58,20,20,22,20,17,22
59,21,20,22,20,19,22
60,22,22,22,20,19,22
61,22,22,22,22,20,22
62,22,22,22,20,19,22
63,22,22,22,22,19,22
64,22,22,23,21,19,23
65,22,23,23,22,19,23
66,23,23,23,23,20,23
67,23,24,23,23,20,23
68,23,23,23,22,20,23
69,23,23,23,23,20,23
70,23,24,23,23,20,24
71,23,24,24,23,20,26
72,23,23,28,25,20,31
73,26,24,30,25,21,32
