time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.9505,0.7676,0.7989,0.7809,0.5512
2.0,0.9355,0.6283,0.8128,0.7598,0.5446
3.0,0.9602,0.7815,0.7869,0.7945,0.553
4.0,0.9356,0.7434,0.8506,0.8248,0.5351
5.0,0.9503,0.7517,0.8536,0.8275,0.5425
6.0,0.9516,0.7509,0.8412,0.8232,0.5282
7.0,0.9636,0.7671,0.838,0.8356,0.54
8.0,0.9321,0.7643,0.8429,0.8161,0.5444
9.0,0.9478,0.7571,0.8609,0.8114,0.5397
10.0,0.9323,0.7519,0.8095,0.8043,0.5372
11.0,0.9667,0.7492,0.8541,0.822,0.5481
12.0,0.9749,0.7642,0.8208,0.8157,0.5469
13.0,0.9686,0.7605,0.8254,0.8179,0.5433
14.0,0.8774,0.7529,0.815,0.8197,0.5491
15.0,0.8687,0.7502,0.8124,0.8085,0.5531
16.0,0.9724,0.7435,0.8305,0.8004,0.5477
17.0,0.9303,0.7395,0.8111,0.7861,0.5658
18.0,0.9626,0.7405,0.8033,0.7923,0.5569
19.0,0.9593,0.7374,0.8058,0.7697,0.5671
20.0,0.8801,0.7402,0.8029,0.7766,0.5625
21.0,0.9638,0.7432,0.7867,0.7962,0.5597
22.0,0.9553,0.7454,0.8054,0.7922,0.5619
23.0,0.8755,0.7354,0.7919,0.7992,0.5679
24.0,0.9567,0.7351,0.7702,0.7956,0.5708
25.0,0.9503,0.7282,0.7585,0.775,0.5639
26.0,0.898,0.7331,0.7456,0.7818,0.583
27.0,0.9037,0.7338,0.7789,0.7654,0.5821
28.0,0.892,0.7291,0.7371,0.7558,0.5748
29.0,0.899,0.7378,0.7264,0.7481,0.5814
30.0,0.898,0.7447,0.7424,0.7473,0.5884
31.0,0.8774,0.7401,0.7449,0.7242,0.5863
32.0,0.9246,0.7618,0.7497,0.6888,0.5979
33.0,0.8977,0.7417,0.7111,0.6856,0.5995
34.0,0.9505,0.7471,0.7284,0.6959,0.5583
35.0,0.8179,0.7221,0.7279,0.7359,0.5368
36.0,0.8891,0.6907,0.7384,0.7199,0.5444
37.0,0.9472,0.6933,0.7515,0.7596,0.519
38.0,0.9466,0.7155,0.7698,0.7607,0.5274
39.0,0.9561,0.7132,0.7652,0.75,0.5269
40.0,0.9545,0.7124,0.7669,0.7657,0.5286
41.0,0.9522,0.7146,0.781,0.7449,0.5344
42.0,0.9441,0.7149,0.7246,0.7553,0.5313
43.0,0.9277,0.7083,0.7396,0.7636,0.5324
44.0,0.9464,0.7169,0.7429,0.7464,0.5175
45.0,0.9377,0.7294,0.7346,0.7475,0.5145
46.0,0.9437,0.7011,0.7396,0.7511,0.5231
47.0,0.9478,0.7237,0.7514,0.7379,0.5097
48.0,0.9505,0.7241,0.7429,0.7543,0.5052
49.0,0.907,0.7352,0.7408,0.7527,0.5203
50.0,0.9577,0.736,0.7435,0.7477,0.5195
51.0,0.9566,0.743,0.7521,0.7504,0.5291
52.0,0.9545,0.7353,0.7439,0.748,0.5308
53.0,0.9557,0.7422,0.7262,0.7343,0.5309
54.0,0.929,0.7579,0.7514,0.7404,0.5222
55.0,0.9534,0.7447,0.7279,0.7384,0.5082
56.0,0.9582,0.745,0.7207,0.7224,0.5058
57.0,0.8995,0.7267,0.7249,0.7423,0.5073
58.0,0.9495,0.7343,0.7292,0.7282,0.5031
59.0,0.9006,0.7205,0.7498,0.7423,0.5126
60.0,0.9513,0.7249,0.7333,0.7473,0.506
61.0,0.9536,0.7347,0.735,0.7353,0.5079
62.0,0.9503,0.6944,0.7291,0.7594,0.4966
63.0,0.9432,0.7408,0.745,0.7587,0.5024
64.0,0.9391,0.7132,0.7247,0.7375,0.5014
65.0,0.9058,0.7311,0.7222,0.7467,0.5076
66.0,0.9317,0.7251,0.7264,0.7541,0.4902
67.0,0.9397,0.7395,0.7175,0.7587,0.4894
68.0,0.9259,0.7167,0.7216,0.7536,0.4934
69.0,0.9404,0.7008,0.7243,0.7491,0.4962
70.0,0.8981,0.7213,0.7125,0.7518,0.5049
71.0,0.91,0.7232,0.6982,0.742,0.5059
72.0,0.9338,0.7227,0.6983,0.7144,0.514
73.0,0.9244,0.6982,0.697,0.7207,0.5147
