TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis
1,1,-10.758829187920394,1.0,250.2267365661861,195.1913499344692,True,43.0012322819349,31.277088677673287
1,2,2.2623257095173748,2.0,261.9520153550864,234.0326295585413,True,66.8398257476433,10.996070619849448
1,4,-7.863123001501787,4.0,229.79651162790697,244.6308139534884,False,41.6664586597847,11.000746222520052
1,5,-16.29774317829566,5.0,242.46468401486987,262.4460966542751,True,36.93366949837188,9.70500155241822
1,8,27.62504939064278,8.0,229.37692307692308,287.5230769230769,False,42.6824846904981,11.96686655406137
2,2,1.1106603861872155,1.0,244.31007751937983,193.74031007751935,False,25.83981834331216,13.130692265580178
2,3,4.386785011870598,2.0,260.77470355731225,210.57312252964428,False,28.30345566318977,11.781647808900678
2,4,5.9398030885921225,1.0,245.8479381443299,225.3737113402062,False,49.4004122806736,10.53833927094775
2,5,-0.1155274276064464,2.0,263.2867647058824,244.0514705882353,False,32.0453189642557,11.049540360019314
2,6,-4.955879408703056,4.0,231.38520408163265,257.53826530612247,False,48.04954221135125,10.712717579399094
2,7,-45.0,5.0,247.66666666666663,248.33333333333331,False,2.309401076758504,1.3333333333333333
2,9,-12.167424796193275,5.0,244.1795665634675,278.8482972136223,False,43.577759472841045,9.799634362811895
2,11,26.693436961583345,8.0,229.1953488372093,301.8488372093023,False,46.80723134036285,12.055489185704962
3,1,-23.392657722393384,1.0,253.9894736842105,187.98684210526315,True,45.85887573727205,28.776288201413987
3,2,4.349315736901745,2.0,264.49407114624506,208.74703557312253,False,30.08811287254624,11.082390773145896
3,3,5.881379671762294,1.0,250.8671586715867,229.6678966789668,False,38.00273067540531,9.39203784660394
3,4,-14.351026851463084,2.0,267.85273159144896,248.729216152019,False,50.880251927071406,10.903505154093653
3,5,-7.599825370184153,4.0,234.71527777777777,251.90046296296296,False,53.01605745086649,10.804209892731828
3,6,-1.8797583061350545,5.0,247.6246418338109,280.1661891117478,False,49.38475605821109,9.44702225544924
3,7,-68.68181254805798,8.0,248.31041456016175,302.1860465116279,True,61.184582550619005,50.12051669273355
4,1,36.594360061367176,1.0,251.82152974504248,176.9872521246459,False,41.27369674067429,27.53917195084833
4,2,9.159895268915983,1.0,245.3037037037037,196.45925925925928,False,17.20368613865745,10.503496745063853
4,3,9.16140799490018,2.0,263.8215767634855,210.7219917012448,True,31.755918364985227,9.952913474270796
4,4,8.53009646267247,1.0,250.4858044164038,225.6813880126183,False,44.620553221826185,9.353734710659438
4,5,-12.652071832116643,4.0,231.1761006289308,245.56394129979037,False,60.49239014979279,10.617423430256924
4,6,-19.9929926832976,2.0,266.4260485651214,252.3200883002208,False,59.12867307543839,10.455747850202105
4,7,3.1017227056209524,5.0,244.83116883116884,278.8857142857143,False,57.45560337897316,8.995613646753423
4,8,-29.477685001166027,8.0,263.0656028368794,298.2695035460993,False,67.12915146880033,11.278201178886707
4,9,19.91928415982837,8.0,230.87128712871288,301.03762376237626,False,56.2571739927991,11.934768248114551
5,1,-9.64811820708526,1.0,248.8249075215783,181.31565967940813,False,48.38263746677201,32.5522606577753
5,2,9.55310447349444,2.0,259.1363636363636,199.63636363636363,False,10.190285881065757,8.762143205401236
5,3,6.614074196413294,2.0,260.8684210526316,219.68421052631575,False,34.246421703603374,8.708406289967892
5,4,-15.01864110167836,4.0,222.9179104477612,238.1026119402985,False,69.00380290307511,10.5726528358659
5,5,13.53671610545534,1.0,247.37992831541217,235.83512544802863,False,48.20698931670271,7.748358228506792
5,6,-25.35968607132254,2.0,267.77189409368634,255.62321792260693,True,70.17789027421992,10.092469026567432
5,7,11.180013583719948,5.0,239.82561307901904,276.5286103542234,True,69.5054243348153,7.7765365081694835
5,8,-31.309464338124094,8.0,262.4397993311037,299.66889632107024,False,75.54145436580004,10.754684286651484
5,9,14.076557660998208,8.0,229.076171875,299.92578125,False,61.54160845706604,11.182272098231936
6,1,-17.948597299794628,1.0,250.56565656565652,182.07449494949492,True,54.56429930321944,29.667750784830687
6,2,-12.058221375483354,2.0,258.2040816326531,199.07142857142856,False,15.532271235560732,8.502131667590445
6,3,-16.98615735796712,4.0,219.78313253012047,234.02925989672977,True,81.00806114455936,11.561038170960508
6,4,14.792206919678904,2.0,259.4494382022472,227.57865168539325,True,36.54435235949656,6.90299414553192
6,5,12.184233547493813,1.0,246.67708333333331,240.79166666666663,True,43.92292215921768,6.448312061287746
6,6,-26.22184950794651,2.0,279.6703296703297,242.4065934065934,False,33.417767576917775,10.72793450772704
6,7,7.202031124765047,5.0,234.27777777777777,253.67777777777775,True,29.67970155818908,5.37871955569392
6,9,-28.18062157892548,8.0,268.82764227642275,298.87642276422764,True,87.30128762666084,9.896192607707633
6,10,-23.16766953150432,2.0,261.61146496815286,280.8471337579618,False,29.13659670588251,7.233287417898694
6,11,15.1414510759461,8.0,229.23135755258127,298.2428298279159,False,70.21277098855174,10.07997587129715
6,13,16.621619868031726,5.0,244.71584699453555,297.2021857923497,False,34.41354736904106,7.347134428568612
7,1,-4.086183777528036,1.0,247.7472118959108,170.65799256505576,False,29.453213002820103,11.799163410508411
7,3,5.684910719602352,1.0,247.1261261261261,200.74324324324328,False,41.9337348516376,7.393712632883377
7,4,-9.339569913086404,4.0,230.44578313253007,203.5261044176707,False,34.046469062355875,9.5929656392734
7,5,-0.6111745769088819,2.0,263.39230769230767,202.07692307692307,False,20.948497448259147,8.395249726713887
7,7,0.6923956387311699,2.0,263.9767441860465,228.53488372093025,False,10.683232834013308,6.006077841977875
7,8,-32.94183927489376,4.0,213.4022988505747,244.1235632183908,False,44.15222922096906,10.340177603228302
7,9,20.928952264425945,1.0,240.88785046728967,235.9813084112149,False,22.681872858969925,6.355409812074752
7,10,-1.719656255596489,2.0,279.1929824561403,240.9429824561404,False,35.664759875251015,8.543479763505754
7,11,-5.065008347925388,2.0,263.61538461538464,239.80769230769232,False,9.108891086212976,4.531121468178871
7,12,23.602868570267,5.0,231.0,249.28571428571428,False,10.937295081301102,3.4118737413620277
7,14,24.85659708806299,1.0,247.0,252.0540540540541,False,9.939651938935114,4.895649159353577
7,15,7.459288534325774,5.0,233.78571428571428,261.85714285714283,False,10.3149489128578,3.541271584521267
