TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,width,height
1,1,1,81.8698959350586,1142.84997558594,120.449989318848,15.5563497543335,5.23259115219116,15.5563497543335,5.23259115219116
1,2,2,26.5650501251221,28.6999988555908,136.100006103516,26.3856010437012,6.70820379257202,26.3856010437012,6.70820379257202
1,3,3,49.3987045288086,389.005889892578,381.423553466797,27.7670993804932,6.61637926101685,27.7670993804932,6.61637926101685
1,4,4,68.1985855102539,1065.63793945313,460.844818115234,22.8405265808105,6.49933624267578,22.8405265808105,6.49933624267578
1,5,5,50.1944274902344,52.5081825256348,568.409790039063,21.2541255950928,5.88969755172729,5.88969755172729,21.2541255950928
1,6,6,53.1301002502441,136.859985351563,583.47998046875,12.2000017166138,5.19999980926514,12.2000017166138,5.19999980926514
1,7,7,26.5650501251221,122.099998474121,635.300048828125,10.2859125137329,4.91934967041016,4.91934967041016,10.2859125137329
1,8,8,33.6900672912598,233.307632446289,644.038452148438,21.6333084106445,5.8243522644043,21.6333084106445,5.8243522644043
1,9,9,33.6900634765625,309.230712890625,666.153869628906,11.6487045288086,5.54700183868408,5.54700183868408,11.6487045288086
1,10,10,90,66,706,10,4,4,10
1,11,11,90,67,716,22,6,6,22
1,12,12,26.5650501251221,1160.50012207031,722.000061035156,20.5718250274658,5.81377696990967,20.5718250274658,5.81377696990967
2,1,1,90,1144,123,8,4,8,4
2,2,2,29.7448806762695,29.5307693481445,134.946151733398,26.9155349731445,6.82191038131714,26.9155349731445,6.82191038131714
2,3,3,56.3099365234375,393.384582519531,384.576934814453,12.4807548522949,4.99230194091797,12.4807548522949,4.99230194091797
2,4,4,69.4439544677734,1066.89721679688,461.226043701172,19.3117904663086,5.73501634597778,19.3117904663086,5.73501634597778
2,5,5,52.1250152587891,53.1230926513672,567.015380859375,21.4002151489258,5.6131706237793,5.6131706237793,21.4002151489258
2,11,11,5.71059322357178,67.5297012329102,714.703002929688,23.2838687896729,6.06972694396973,23.2838687896729,6.06972694396973
2,12,12,18.4349479675293,1161.09997558594,721.200012207031,15.4951591491699,5.3758716583252,15.4951591491699,5.3758716583252
3,2,2,28.07248878479,29.8598594665527,133.325256347656,26.8823528289795,6.94117641448975,26.8823528289795,6.94117641448975
3,4,4,63.4349517822266,1067.5,459.000030517578,20.1246089935303,6.26099014282227,20.1246089935303,6.26099014282227
3,5,5,45,53.5000076293945,566.000061035156,21.9203109741211,6.36396026611328,6.36396026611328,21.9203109741211
3,11,11,3.3664608001709,69.0017242431641,712.970764160156,24.3109188079834,6.98792123794556,24.3109188079834,6.98792123794556
3,12,12,26.5650501251221,1161.40014648438,719.200073242188,19.6773986816406,5.36656284332275,19.6773986816406,5.36656284332275
3,13,13,75.9637603759766,1143.55895996094,117.735313415527,10.9141025543213,5.57831907272339,10.9141025543213,5.57831907272339
3,14,14,47.7263107299805,390.927642822266,380.020355224609,25.4942970275879,6.59219264984131,25.4942970275879,6.59219264984131
3,15,15,90,236.5,643,9,6,6,9
3,16,16,26.5650501251221,310.299957275391,664.400085449219,11.1803398132324,6.26099014282227,6.26099014282227,11.1803398132324
3,17,17,90,69,703.5,14,5,5,14
4,2,2,28.3007564544678,30.9839477539063,128.529815673828,27.2946033477783,6.63739776611328,27.2946033477783,6.63739776611328
4,4,4,63.4349517822266,1068.00012207031,453.500030517578,23.25510597229,6.70820379257202,23.25510597229,6.70820379257202
4,5,5,48.3664588928223,54.4482498168945,560.379272460938,21.4257354736328,6.809730052948,6.809730052948,21.4257354736328
4,11,11,9.46232128143311,69.3243255615234,709.054016113281,25.3174438476563,7.56235313415527,25.3174438476563,7.56235313415527
4,12,12,26.5650501251221,1162.90002441406,714.200073242188,21.466251373291,5.81377649307251,21.466251373291,5.81377649307251
4,16,16,26.5650501251221,311.200012207031,659.60009765625,10.7331256866455,6.26099014282227,6.26099014282227,10.7331256866455
4,17,17,90,69,698.5,14,5,5,14
4,18,18,33.6900634765625,1165,365.499969482422,12.2034044265747,4.71495151519775,12.2034044265747,4.71495151519775
4,19,19,49.3987007141113,390.717651367188,373.670593261719,29.0686836242676,7.37563562393188,29.0686836242676,7.37563562393188
4,20,20,45,138.000030517578,574.500061035156,10.6066017150879,4.94974756240845,10.6066017150879,4.94974756240845
4,21,21,33.6900634765625,235.615371704102,636.576904296875,21.6333084106445,5.8243522644043,21.6333084106445,5.8243522644043
4,22,22,82.8749847412109,326.538452148438,1032.30773925781,9.17857074737549,3.7210419178009,3.7210419178009,9.17857074737549
