TimeStep,Cell_lable,Orientation
1,1,90
1,2,26.5650501251221
1,3,56.3099365234375
1,4,11.3099327087402
1,5,80.5376739501953
1,6,77.9052429199219
1,7,36.8698959350586
1,8,26.5650501251221
1,9,7.12501668930054
1,10,30.256441116333
1,11,78.3106307983398
1,12,8.42696857452393
2,1,90
2,2,26.5650501251221
2,3,63.4349517822266
2,4,10.4914770126343
2,5,78.690071105957
2,6,77.0053787231445
2,7,38.6598091125488
2,8,28.6104621887207
2,9,9.46232128143311
2,10,30.256441116333
2,11,73.3007583618164
2,12,7.85331344604492
2,13,77.47119140625
3,1,90
3,2,26.5650501251221
3,3,63.4349517822266
3,4,11.3099327087402
3,5,84.8055725097656
3,6,75.9637603759766
3,7,38.6598091125488
3,8,28.6104621887207
3,9,11.3099327087402
3,10,30.2564353942871
3,11,71.5650482177734
3,12,90
3,13,77.47119140625
4,1,90
4,2,24.4439544677734
4,3,65.224853515625
4,4,11.3099327087402
4,5,78.690071105957
4,6,75.9637603759766
4,7,36.8698959350586
4,8,28.3007583618164
4,9,11.3099327087402
4,10,29.9816398620605
4,11,71.5650482177734
4,12,7.12501668930054
4,13,75.9637603759766
5,1,3.01278758049011
5,2,23.7494945526123
5,3,65.224853515625
5,4,12.0947570800781
5,5,75.9637603759766
5,6,74.7448806762695
5,7,36.8698959350586
5,8,29.7448825836182
5,9,9.46232128143311
5,10,29.9816398620605
5,11,71.5650482177734
5,12,77.9052429199219
5,13,75.9637603759766
5,14,33.6900672912598
6,1,3.01278734207153
6,2,23.4985656738281
6,3,63.4349517822266
6,4,11.3099327087402
6,5,75.9637603759766
6,6,75.9637603759766
6,7,36.8698959350586
6,8,30.256441116333
6,9,10.3048467636108
6,10,29.2488269805908
6,11,69.4439544677734
6,12,78.690071105957
6,13,75.9637603759766
6,14,32.0053825378418
7,1,3.36646056175232
7,2,23.1985893249512
7,3,65.224853515625
7,4,11.3099327087402
7,5,75.9637603759766
7,6,71.565055847168
7,7,35.5376777648926
7,8,28.6104621887207
7,9,11.3099327087402
7,10,23.9624900817871
7,11,70.0168914794922
7,12,77.0053787231445
7,13,75.9637603759766
7,14,26.5650501251221
7,15,38.6598091125488
8,1,3.36646056175232
8,2,22.1663455963135
8,3,64.9831008911133
8,4,11.6893701553345
8,5,71.565055847168
8,6,72.8972702026367
8,7,33.6900634765625
8,8,28.6104621887207
8,9,7.12501668930054
8,10,23.1985893249512
8,11,71.5650482177734
8,12,77.0053787231445
8,13,75.9637603759766
8,14,29.0546054840088
8,15,38.6598091125488
9,1,4.76364183425903
9,2,22.4794368743896
9,3,63.4349517822266
9,4,11.3099327087402
9,5,71.5650482177734
9,6,71.565055847168
9,7,35.5376777648926
9,8,28.6104621887207
9,9,8.74616241455078
9,10,23.1985893249512
9,11,69.4439544677734
9,12,77.9052429199219
9,13,75.9637603759766
9,14,90
9,15,45
10,1,6.11550283432007
10,2,22.1094493865967
10,3,65.5560455322266
10,4,13.4957342147827
10,5,69.4439544677734
10,6,71.565055847168
10,7,33.6900672912598
10,8,29.7448806762695
10,9,8.13010215759277
10,10,21.8014106750488
10,11,69.4439544677734
10,12,77.9052429199219
10,13,80.5376739501953
10,14,24.4439544677734
10,15,45
11,1,3.01278734207153
11,2,23.1985912322998
11,3,65.224853515625
11,4,13.4957342147827
11,5,68.1985931396484
11,6,70.0168914794922
11,7,33.6900672912598
11,8,29.3577518463135
11,9,6.34019184112549
11,10,21.8014106750488
11,11,70.0168991088867
11,12,77.9052429199219
11,13,75.9637603759766
11,14,90
11,15,45
12,1,4.57392120361328
12,2,23.7494945526123
12,3,60.2551155090332
12,4,14.036244392395
12,5,68.1985931396484
12,6,68.9624862670898
12,7,30.9637546539307
12,8,26.5650501251221
12,9,8.74616241455078
12,10,23.1985893249512
12,11,71.5650482177734
12,12,75.9637603759766
12,13,74.0546035766602
12,14,24.4439544677734
12,15,36.8698959350586
13,1,2.72631072998047
13,2,22.7509746551514
13,3,61.3895416259766
13,4,14.5344543457031
13,5,63.4349517822266
13,6,68.1985931396484
13,7,30.9637546539307
13,8,28.3007583618164
13,9,8.13010311126709
13,10,23.1985893249512
13,11,72.8972702026367
13,12,75.9637603759766
13,13,75.9637603759766
13,14,24.4439544677734
13,15,45
14,1,2.48955297470093
14,2,21.8014106750488
14,3,61.3895416259766
14,4,15.9453954696655
14,5,63.4349517822266
14,6,66.8014068603516
14,7,32.47119140625
14,8,28.6104621887207
14,9,8.53076553344727
14,10,21.8014106750488
14,11,80.5376739501953
14,12,74.7448806762695
14,13,75.9637603759766
14,14,90
14,15,36.8698959350586
14,16,14.9314165115356
15,1,2.48955297470093
15,2,18.4349479675293
15,3,61.3895416259766
15,4,14.036244392395
15,5,63.4349517822266
15,6,66.0375137329102
15,7,30.9637546539307
15,8,28.6104621887207
15,9,8.13010215759277
15,10,26.5650501251221
15,11,81.8698959350586
15,12,74.0546035766602
15,13,75.9637603759766
15,14,24.4439563751221
15,15,36.8698959350586
15,16,18.4349498748779
15,17,26.5650501251221
16,1,2.29061007499695
16,2,18.4349479675293
16,3,61.3895416259766
16,4,14.036244392395
16,5,61.3895416259766
16,6,63.4349517822266
16,7,30.256441116333
16,8,28.6104621887207
16,9,8.53076553344727
16,10,15.2551183700562
16,11,85.9143829345703
16,12,71.5650482177734
16,13,71.5650482177734
16,14,24.4439544677734
16,15,36.8698997497559
16,16,18.4349498748779
16,17,23.9624862670898
17,1,2.29061007499695
17,2,21.8014068603516
17,3,61.3895416259766
17,4,14.036244392395
17,5,60.9453964233398
17,6,63.4349517822266
17,7,30.256441116333
17,8,28.3007583618164
17,9,8.53076648712158
17,10,14.036244392395
17,11,90
17,12,70.5599670410156
17,13,71.5650482177734
17,14,24.4439544677734
17,15,41.1859283447266
17,16,14.9314184188843
17,17,26.5650501251221
18,1,2.29061007499695
18,2,20.5560474395752
18,3,63.4349517822266
18,4,15.9453954696655
18,5,60.5241050720215
18,6,63.4349517822266
18,7,28.6104583740234
18,8,26.5650501251221
18,9,8.97262668609619
18,10,75.9637603759766
18,11,3.1798300743103
18,12,72.6459732055664
18,13,74.0546035766602
18,14,22.6198654174805
18,15,26.5650501251221
18,16,13.2405204772949
18,17,26.5650501251221
19,1,2.48955273628235
19,2,18.4349479675293
19,3,63.4349517822266
19,4,15.9453954696655
19,5,58.5704383850098
19,6,63.4349517822266
19,7,33.6900672912598
19,8,26.5650501251221
19,9,7.12501668930054
