TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
1,1,124.549461364746,111.780876159668,30.973072052002,1,0,3,4,True,0.0,-1.914
1,2,213.014541625977,130.363555908203,30.0603504180908,2,0,5,6,True,0.003,-1.264
2,1,123.33487701416,108.827079772949,30.998176574707,1,0,3,4,True,0.017,-4.068
2,2,212.769943237305,127.105270385742,30.2922248840332,2,0,5,6,True,0.024,-2.791
3,1,123.439178466797,99.2344360351562,32.5434684753418,1,0,3,4,True,0.01,-1.618
3,2,213.48063659668,117.451461791992,32.4755020141602,2,0,5,6,True,0.009,-1.514
4,1,122.851661682129,96.0682373046875,33.4765205383301,1,0,3,4,True,0.033,-2.919
4,2,212.505340576172,114.492767333984,33.2598037719727,2,0,5,6,True,0.028,-2.515
5,1,121.415267944336,90.7384643554688,36.4471206665039,1,0,3,4,True,0.007,-0.013
5,2,211.101821899414,109.070137023926,35.7776336669922,2,0,5,6,True,0.01,0.06
6,1,121.44310760498,90.6686859130859,37.1025123596191,1,0,3,4,True,0.043,-1.722
6,2,211.100738525391,109.268699645996,36.6947479248047,2,0,5,6,True,0.03,-1.69
7,1,121.188842773438,86.6393356323242,40.9852447509766,1,0,3,4,True,0.002,-0.258
7,2,210.083221435547,105.68529510498,39.4379806518555,2,0,5,6,True,0.005,0.126
8,1,121.452095031738,85.598991394043,41.1831703186035,1,0,3,4,True,0.041,-0.668
8,2,210.806854248047,104.658966064453,39.905345916748,2,0,5,6,True,0.036,-0.516
9,1,120.887145996094,84.6592254638672,44.8651275634766,1,0,3,4,True,0.015,-0.893
9,2,210.336563110352,103.863975524902,43.1707496643066,2,0,5,6,True,0.021,-0.304
10,1,120.267189025879,83.205924987793,46.2267951965332,1,0,3,4,True,0.051,-1.987
10,2,210.540939331055,102.41007232666,45.0413780212402,2,0,5,6,True,0.031,-1.134
11,1,120.064933776855,78.1589431762695,50.8416213989258,1,0,3,4,True,0.016,-1.438
11,2,210.998123168945,97.4763259887695,47.8741226196289,2,0,5,6,True,0.026,-1.063
12,1,118.227951049805,77.0267486572266,52.2911758422852,1,0,3,4,True,0.056,-1.434
12,2,209.641830444336,96.6099014282227,50.2138824462891,2,0,5,6,True,0.055,-1.017
13,1,117.270660400391,74.5394897460938,57.368766784668,1,0,3,4,True,0.011,0.498
13,2,208.848297119141,94.6776809692383,55.1565132141113,2,0,5,6,True,0.027,0.202
14,1,116.918014526367,76.465446472168,58.333080291748,1,0,3,4,True,0.049,-0.24
14,2,208.23454284668,96.7422714233398,57.5826416015625,2,0,5,6,True,0.069,-1.075
15,1,116.79948425293,75.9869079589844,62.7782592773438,1,0,3,4,True,0.054,-1.042
15,2,206.02619934082,97.6530532836914,63.797306060791,2,0,5,6,True,0.074,-0.746
16,1,113.109588623047,78.6721878051758,67.6070709228516,1,0,3,4,True,,
16,2,202.85237121582,101.609497070312,70.4245147705078,2,0,5,6,True,0.001,-1.267
17,4,96.250358581543,78.6890258789062,40.0209884643555,1,1,8,7,True,-0.005,-0.35
17,3,132.124084472656,74.6271209716797,33.5616188049316,1,1,25,26,True,0.078,-1.895
17,2,201.028381347656,101.006736755371,70.4953079223633,2,0,5,6,True,0.041,-0.88
18,4,95.4543914794922,78.8299560546875,39.5355033874512,1,1,8,7,True,0.04,1.519
18,3,128.776580810547,74.7533264160156,40.621509552002,1,1,25,26,True,0.051,-1.43
18,2,199.062393188477,101.964782714844,74.1809005737305,2,0,5,6,True,0.047,-0.405
