ImageNumber,ObjectNumber,Children_FilteredNuclei_Count,Children_IdentifySecondaryObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,1,244.04744525547446,191.5839416058394,0,1
1,2,1,1,260.605421686747,201.09939759036143,0,2
1,3,1,1,245.70892018779344,223.33333333333334,0,3
1,4,1,1,262.0276073619632,243.46012269938652,0,4
1,5,1,1,231.2,237.74545454545455,0,5
1,6,1,1,242.89236111111111,260.6770833333333,0,6
1,7,1,1,228.0076923076923,256.2846153846154,0,7
1,8,1,1,252.53781512605042,287.5518207282913,0,8
1,9,1,1,229.45483870967743,287.05806451612904,0,9
2,1,1,1,260.03913043478263,189.6695652173913,0,1
2,2,1,1,243.86899563318778,196.82096069868996,0,2
2,3,1,1,261.23376623376623,213.66233766233765,0,3
2,4,1,1,246.69551282051282,231.61858974358975,0,4
2,5,1,1,263.05263157894734,235.76842105263157,0,5
2,6,1,1,232.22978723404256,252.12340425531914,0,6
2,7,1,1,263.1507936507937,256.0079365079365,0,7
2,8,1,1,244.4860681114551,277.1888544891641,0,8
2,9,1,1,230.1,272.8666666666667,0,9
2,10,1,1,255.1723237597911,300.05483028720624,0,10
2,11,1,1,229.4335260115607,301.7485549132948,0,11
3,1,1,1,263.66015625,185.1328125,0,1
3,2,1,1,247.49647887323943,190.29577464788733,0,2
3,3,1,1,264.9881656804734,212.2603550295858,0,3
3,4,1,1,250.99688473520249,230.26479750778816,0,4
3,5,1,1,267.2564102564103,249.56666666666666,0,5
3,6,1,1,236.25352112676057,243.4788732394366,0,6
3,7,1,1,247.7280701754386,278.2368421052632,0,7
3,8,1,1,232.85714285714286,266.12857142857143,0,8
3,9,1,1,261.3219954648526,300.9387755102041,0,9
3,10,1,1,233.6021505376344,302.46774193548384,0,10
4,1,1,1,244.36141304347825,179.9701086956522,0,1
4,2,1,1,260.2818181818182,178.8909090909091,0,2
4,3,1,1,263.859375,209.15625,0,3
4,4,1,1,250.72611464968153,227.17834394904457,0,4
4,5,1,1,234.87786259541986,228.67175572519085,0,5
4,6,1,1,265.79271070615033,253.47608200455582,0,6
4,7,1,1,229.6629213483146,254.23595505617976,0,7
4,8,1,1,250.28571428571428,246.85714285714286,0,8
4,9,1,1,244.94344473007712,277.439588688946,0,9
4,10,1,1,263.1255319148936,297.72978723404253,0,10
4,11,1,1,230.77697841726618,300.3405275779377,0,11
5,1,1,1,244.0048309178744,169.7342995169082,0,1
5,2,1,1,259.2028985507246,176.1159420289855,0,2
5,3,1,1,241.74311926605503,195.1834862385321,0,3
5,4,1,1,259.15,194.325,0,4
5,5,1,1,260.8566037735849,220.26415094339623,0,5
5,6,1,1,222.991452991453,238.38247863247864,0,6
5,7,1,1,246.77430555555554,233.05208333333334,0,7
5,8,1,1,266.7371663244353,257.2381930184805,0,8
5,9,1,1,236.50697674418603,259.4093023255814,0,9
5,10,1,1,251.21428571428572,254.76785714285714,0,10
5,11,1,1,228.84137931034482,298.71264367816093,0,11
