Channel_kt2440,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07Watershed,ExecutionTime_08IdentifySecondaryObjects,ExecutionTime_09TrackObjects,ExecutionTime_10MeasureObjectSizeShape,ExecutionTime_11MeasureObjectNeighbors,ExecutionTime_12SaveImages,FileName_kt2440,Frame_kt2440,Group_Index,Group_Number,Height_kt2440,ImageNumber,ImageSet_ImageSet,MD5Digest_kt2440,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07Watershed,ModuleError_08IdentifySecondaryObjects,ModuleError_09TrackObjects,ModuleError_10MeasureObjectSizeShape,ModuleError_11MeasureObjectNeighbors,ModuleError_12SaveImages,PathName_kt2440,ProcessingStatus,Scaling_kt2440,Series_kt2440,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_kt2440,Width_kt2440
-1,63.0,63.0,67.0,0.0,0.0,2.21875,0.0,0.125,0.015625,0.234375,0.34375,0.484375,0.296875,0.203125,0.046875,E.coli_mono_agarose_T001.tif,0,1,1,552,1,b'eLvfJIMJG02/Qz79GhjqlWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AaRWqKw==',b569200153004ce82e8d9f4dc116c0ba,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T001.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.830595574072504e-08,3.8305956e-08,-13.690207340654842,0.002325266805375062,0,0,63,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T001.tif,536
-1,68.0,68.0,73.0,0.0,0.0,0.828125,0.0,0.1875,0.0,0.453125,0.328125,0.421875,0.296875,0.203125,0.046875,E.coli_mono_agarose_T002.tif,0,2,1,552,2,b'eLvfJIMJG02/Qz79GhjplWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AaWKqLA==',6c58f6bb42eebe338ae61e38bef9953b,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T002.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.944895965446449e-08,3.944896e-08,-13.685292795061853,0.0028060250144987904,1,10,5,10,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T002.tif,536
-1,75.0,75.0,82.0,0.0,0.0,0.328125,0.0,0.125,0.0,0.5,0.328125,0.40625,0.296875,0.203125,0.0625,E.coli_mono_agarose_T003.tif,0,3,1,552,3,b'eLvfJIMJG02/Qz79GhjrlWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0Aaa+qLQ==',9967205a279dbd4e2997edfa094b4402,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T003.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.6940832615073305e-08,3.6940833e-08,-13.686257269649253,0.003245820640419586,4,7,2,20,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T003.tif,536
-1,86.0,86.0,96.0,0.0,0.0,0.40625,0.0,0.09375,0.0,0.46875,0.328125,0.4375,0.34375,0.203125,0.046875,E.coli_mono_agarose_T004.tif,0,4,1,552,4,b'eLvfJIMJG02/Qz79GpjolWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AafyqLg==',414241dc89bef02096e5015f176cb7e2,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T004.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.944895965446449e-08,3.944896e-08,-13.696643662342092,0.0038235869469839118,2,10,8,23,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T004.tif,536
-1,107.0,107.0,119.0,0.0,0.0,0.3125,0.0,0.09375,0.0,0.46875,0.375,0.5,0.40625,0.21875,0.0625,E.coli_mono_agarose_T005.tif,0,5,1,552,5,b'eLvfJIMJG02/Qz79GpjqlWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AakmqLw==',a92b56e6268b9d771b515d9a8e716745,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T005.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.1853353732458345e-08,3.1853354e-08,-13.697108268097736,0.0046667717574315586,1,1,2,29,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T005.tif,536
-1,139.0,139.0,149.0,0.0,0.0,0.328125,0.0,0.140625,0.0,0.484375,0.359375,0.546875,0.5,0.234375,0.046875,E.coli_mono_agarose_T006.tif,0,6,1,552,6,b'eLvfJIMJG02/Qz79GpjplWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AapaqMA==',e7bf669ce8edeae1d57122c7754d0c26,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T006.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.7236929983919254e-08,3.723693e-08,-13.697286507314569,0.005678078146976048,10,11,13,37,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T006.tif,536
-1,176.0,176.0,187.0,0.0,0.0,0.1875,0.0,0.046875,0.015625,0.234375,0.359375,0.578125,0.625,0.28125,0.0625,E.coli_mono_agarose_T007.tif,0,7,1,552,7,b'eLvfJIMJG02/Qz79GpjrlWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AauOqMQ==',71d6a7c1d7735f0e7ffcfe61b833b910,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T007.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,4.636758532683416e-08,4.6367585e-08,-13.6949702152688,0.007119438900700552,0,20,13,39,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T007.tif,536
-1,243.0,243.0,260.0,0.0,0.0,0.375,0.0,0.046875,0.0,0.234375,0.375,0.71875,0.796875,0.265625,0.0625,E.coli_mono_agarose_T008.tif,0,8,1,552,8,b'eLvfJIMJG02/Qz79GljolWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AazCqMg==',71135fd428daa1aaf805f40da582449c,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T008.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,4.664999053716201e-08,4.664999e-08,-13.69164540661534,0.009017719277128548,2,14,12,47,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T008.tif,536
-1,332.0,332.0,349.0,0.0,0.0,0.203125,0.0,0.0625,0.0,0.234375,0.40625,0.953125,1.0625,0.3125,0.0625,E.coli_mono_agarose_T009.tif,0,9,1,552,9,b'eLvfJIMJG02/Qz79GljqlWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0Aa32qMw==',3e10df43646f797d2e32394970268a31,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T009.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,4.636758532683416e-08,4.6367585e-08,-13.70029890861196,0.011421444206148936,3,18,22,60,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T009.tif,536
-1,451.0,451.0,482.0,0.0,0.0,0.125,0.0,0.0625,0.0,0.25,0.4375,1.125,1.4375,0.359375,0.0625,E.coli_mono_agarose_T010.tif,0,10,1,552,10,b'eLvfJIMJG02/Qz79GhrolWSmgcskWCAAgxfkOVCZ5YxSeIEY4FAAl2DgAAYywNEDKs18Xe0AaRaqKw==',2c75751c757baab0eac990cbc6fd82b1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T010.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\E.coli_mono_agarose_skipTimeSteps\2. Ilastik Output\2. renaming images\final,Done,255,0,3.8820200387590376e-08,3.88202e-08,-13.703856003094838,0.014580831957538162,7,26,33,65,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/E.coli_mono_agarose_skipTimeSteps/2.%20Ilastik%20Output/2.%20renaming%20images/final/E.coli_mono_agarose_T010.tif,536
