TimeStep,CellNumber,Orientation
1,1,-75.8201834580774
1,2,54.8861782012567
1,3,11.9457324907235
1,4,-28.6828830083974
1,5,-4.21552788309177
1,6,-3.77466131211804
1,7,-32.0135393350433
1,8,78.581641770086
1,9,-32.5083412326802
1,10,-9.71545632152755
1,11,28.4726562428316
2,1,-76.137107772579
2,2,55.6888214564729
2,3,11.7534921440783
2,4,-27.3807157792982
2,5,-4.07082896661684
2,6,-3.61448362082534
2,7,-32.1700356601595
2,8,78.5055907026432
2,9,-32.5234173572812
2,10,-9.79060197756357
2,11,29.5755452031958
3,1,-76.3832095917909
3,2,55.9903275822447
3,3,11.5367262789922
3,4,-27.5594211828938
3,5,-3.448710739944
3,6,-3.42785991249255
3,7,-32.2740132252075
3,8,78.1637149916362
3,9,-32.6056559743658
3,10,-9.55944418605606
3,11,29.1628488421147
4,1,-74.4654491110051
4,2,57.263826412431
4,3,11.8938542151578
4,4,-27.9757419674046
4,5,-3.11328897543271
4,6,-4.21829162571757
4,7,-30.9970880489826
4,8,78.20851533174
4,9,-32.4260475423754
4,10,-10.6551779293377
4,11,29.2661811794295
5,1,-73.2728957303353
5,2,57.0578789053166
5,3,11.9410257112662
5,4,-27.104776359667
5,5,-3.69704453877938
5,6,-4.56335091136678
5,7,-30.9850243530107
5,8,78.2105855405719
5,9,-32.3808471122507
5,10,-10.8472214129498
5,11,29.5557999682948
6,1,-73.2310963749253
6,2,56.5239916322844
6,3,11.8147271330507
6,4,-26.4664366191616
6,5,-2.96473882863577
6,6,-5.00767887566644
6,7,-31.3599348683668
6,8,78.2721710672196
6,9,-31.812472506437
6,10,-11.1677158610231
6,11,30.7358651299594
7,1,-72.5591459603959
7,2,57.9571165592435
7,3,11.963229279199
7,4,-26.5656664387909
7,5,-2.45539550103922
7,6,-4.85049972037403
7,7,-31.2940502712566
7,8,78.1250013133987
7,9,-31.9829936316418
7,10,-10.9719071150422
7,11,30.0275285789286
8,1,-71.4758846859055
8,2,58.4537096605266
8,3,11.7584384399406
8,4,-25.8416708340862
8,6,-4.79645451263266
8,7,-30.7859519854609
8,8,77.7530007566596
8,9,-31.5922326169245
8,10,-8.88660631324922
8,11,30.3391068938568
8,12,9.23823592083107
8,13,-27.0629700601456
9,1,-70.8818866886954
9,2,58.6311910815925
9,3,11.6403381341104
9,4,-25.4693977472205
9,6,-4.98291878127469
9,7,-30.5633810668249
9,8,77.1765851857242
9,10,-8.98011373299369
9,11,30.6247633057971
9,12,10.3224424948917
9,13,-24.7612392743388
9,14,-22.8712184051488
