CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,32.59499831,32.78351215,2,-0.130404933
2,2,31.23667693,31.39469746,2,-0.398870528
3,3,34.256233,49.56654134,13,-0.132228292
4,4,34.29210904,58.50606922,17,-0.435217487
5,3,39.40821558,92.24903065,18,-2.052379329
6,3,45.45867466,54.81028256,5,-2.883944242
7,4,52.61665416,64.96032633,5,-0.31162687
8,4,62.21533809,73.08447218,5,-0.40324292
9,3,30.90932262,54.99644114,13,-2.642344054
10,3,33.66342962,43.78923952,6,-0.150261733
11,4,40.42253178,55.1247039,7,-0.422304083
12,4,40.70356763,51.5660191,5,-0.487740461
13,4,41.78622765,56.21945827,6,-0.388391794
14,4,47.02845867,54.90855865,4,-0.483167053
15,3,27.21452465,46.46738434,13,-0.426871775
16,3,25.77783484,39.26105378,9,-1.081120569
17,4,27.95591027,40.28369674,8,-0.498940864
18,4,36.74341417,42.9969216,5,-0.149007997
19,4,30.5677957,37.06045961,6,-0.528150533
20,4,35.10220847,42.50448197,5,-0.534794967
21,4,35.51210671,44.56525171,5,-0.356042449
22,4,37.19525767,50.52612489,7,-0.239092593
23,4,35.96300395,40.91185268,4,-0.343744416
24,4,38.22518064,44.51053722,4,-0.647598146
25,3,157.519722,160.7126199,2,-2.841349803
26,3,41.39144468,44.53915434,3,-2.394095686
27,3,32.12195905,39.3366174,6,-0.167594112
28,3,51.24667342,56.6150813,3,-2.58654437
29,4,24.3299317,31.04133395,6,-0.230672746
30,4,27.03063963,32.53547851,6,-2.841325934
31,4,27.38924531,30.7117665,5,-0.689387832
32,4,24.25823778,30.17094999,5,-0.18484936
33,3,32.27491189,36.41791815,4,-2.485067747
34,3,153.3887728,157.2645738,2,-3.039596054
35,4,24.88278563,27.85891943,4,-0.478430893
36,4,30.49711461,32.89291126,4,-0.483663151
37,3,29.31538539,33.98566028,4,-2.725715556
38,4,24.28668085,27.32853645,4,-0.235297531
39,3,29.34414186,31.93806904,4,-0.181200071
40,4,20.43584262,23.5986673,4,-0.419329762
41,4,27.37568315,30.64476687,4,-0.297851568
42,4,21.14205166,25.76529459,4,-0.446037846
43,4,24.42052228,28.52746527,4,-0.764659553
44,4,26.65888516,30.26340314,4,-0.30426194
45,3,22.5879345,23.47611793,3,-2.444654909
46,3,24.55716434,26.8367288,3,-2.409649934
47,3,32.65622041,36.38541637,3,-2.431061285
48,3,29.98102193,32.77350554,3,-2.763050867
49,4,25.69029958,30.25381549,3,-0.837514574
50,4,28.08937018,31.08252516,3,-0.136411387
51,3,90.44058394,93.69467495,2,-2.373969593
52,3,102.8369535,106.4800508,2,-0.42778368
53,4,34.67727322,35.20877773,2,-0.558240364
54,4,33.76067538,35.2288868,2,-0.072418207
