TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis,parent
31,17,-0.502442636,4,178.953271,115.5046729,FALSE,33.43647145,4.251968882,14
31,18,-0.15109201,4,169.1052632,127.0736842,FALSE,41.89006503,8.181518455,14
32,5,-3.017829737,3,108.1186224,69.18877551,FALSE,158.5006845,40.03038298,3
32,9,-2.50419853,3,67.72392638,71.58282209,FALSE,82.94900648,9.046470388,6
32,15,-0.509884118,3,157.7446809,77.21808511,FALSE,40.97434864,6.096811455,10
32,23,-0.300806077,4,238.6666667,86.59477124,FALSE,35.96300395,6.380808726,11
32,19,-0.520472651,4,202,93.38297872,FALSE,34.92127667,5.701954274,12
32,16,-0.041766545,3,120.3089005,90.16753927,FALSE,44.029829,6.105993096,10
32,24,-0.603984918,4,209.0916031,98.35114504,FALSE,38.22518064,6.343493654,11
32,21,-0.347671852,4,235.183432,96.98816568,FALSE,41.17187365,5.922987856,13
32,20,-0.522011854,4,169.152439,111.5792683,FALSE,43.49964466,5.016197285,12
32,22,-0.261829418,4,206.7326203,111.1069519,FALSE,43.08970577,6.408850258,13
32,17,-0.517634859,4,176.0507246,116.8985507,FALSE,38.82857732,5.549992,14
32,18,-0.158881639,4,168.4052632,127.2947368,FALSE,46.4753583,10.10170256,14
33,5,-3.017667288,3,107.970696,69.28205128,TRUE,166.6811162,42.28482696,3
33,9,-2.494660812,3,66.35207101,71.78994083,TRUE,86.39586086,8.829800308,6
33,15,-0.492613516,3,159.3681592,77.49751244,FALSE,43.64650177,6.189237623,10
33,19,-0.584385628,4,202.5208333,93.40972222,FALSE,36.33691593,5.901231062,12
33,23,-0.333335294,4,238.2,88.06875,FALSE,38.41289454,6.680861339,11
33,24,-0.675829712,4,211.1197183,96.8943662,FALSE,41.6692468,5.952732921,11
33,16,-0.058379859,3,121.21,91.175,FALSE,46.51848393,6.225355629,10
33,21,-0.322080167,4,233.7640449,98.35393258,FALSE,44.3558991,5.790016785,13
33,20,-0.505438843,4,168.6748466,112.803681,FALSE,45.41280161,4.989054889,12
33,17,-0.525109461,4,175.9461538,117.6615385,FALSE,41.57456918,5.061064068,14
33,22,-0.220550909,4,207.459893,112.2834225,FALSE,45.43895324,6.575042224,13
33,18,-0.126576421,4,166.8557692,128.5865385,TRUE,48.9911167,11.46376122,14
34,25,-2.845031326,3,96.04805195,69.17272727,FALSE,157.519722,37.7858564,5
34,26,-2.365821938,3,44.1025641,53.83333333,FALSE,41.39144468,5.122315557,9
34,27,-0.128496176,3,178.1386861,62.35036496,FALSE,32.12195905,6.788453298,5
34,15,-0.424641449,3,166.4439252,75.44392523,FALSE,47.55906836,6.748956588,10
34,28,-2.625798285,3,77.52314815,81.27777778,FALSE,51.24667342,6.165776772,9
34,19,-0.627942793,4,205.5393939,92.01212121,FALSE,43.32026299,5.792921239,12
34,24,-0.66753104,4,213.5743243,96.03378378,FALSE,46.74133509,4.742604578,11
34,23,-0.340809561,4,238.4514286,89.43428571,FALSE,43.10537453,6.958847642,11
34,16,-0.089906577,3,123.9605263,91.83333333,FALSE,51.83488133,6.991868768,10
34,21,-0.344256271,4,233.1530612,99.76530612,FALSE,49.83103212,5.730321533,13
34,20,-0.459038894,4,167.8196721,113.9180328,TRUE,51.05469632,6.016646217,12
34,17,-0.497940059,4,175.5472973,118.8918919,FALSE,46.48312526,5.905934299,14
34,22,-0.165833761,4,211.507177,113.1866029,FALSE,52.53687994,5.94613902,13
34,29,-0.380987942,4,179.184466,127.5339806,FALSE,24.3299317,5.580500932,18
34,30,-2.837694328,4,155.6434783,132.3652174,FALSE,27.03063963,5.984992541,18
35,25,-2.83766828,3,94.95823096,68.27641278,TRUE,163.9055178,40.32339957,5
35,26,-2.382369755,3,41.64071856,51.63473054,FALSE,43.79943047,5.066881153,9
35,27,-0.087885988,3,181.0684932,61.93835616,FALSE,33.40766342,7.173799375,5
35,28,-2.599809169,3,76.15837104,80.53846154,FALSE,54.61514241,6.149066821,9
35,15,-0.387703124,3,168.8281938,74.83700441,FALSE,50.19322413,7.221369581,10
35,19,-0.62509121,4,207.245614,90.90643275,TRUE,45.5323768,5.217071375,12
35,24,-0.643046913,4,215.691358,94.82098765,TRUE,51.40638634,4.531196728,11
35,23,-0.40002673,4,237.9709302,90.4127907,TRUE,46.16613769,6.744090375,11
35,16,-0.097439401,3,124.3430962,91.85355649,TRUE,54.83385393,7.329150887,10
35,21,-0.338003769,4,232.875,100.2604167,TRUE,51.955347,5.814365735,13
35,31,-0.585744191,4,177.5612245,109.255102,FALSE,27.38924531,4.711413925,20
35,22,-0.180744521,4,213.6829268,113.0325203,FALSE,53.44782722,6.540447155,13
35,17,-0.471845736,4,174.9573171,119.402439,FALSE,49.12009004,6.48534542,14
35,32,-0.237381254,4,154.744186,119.6860465,FALSE,24.25823778,4.603569097,20
35,29,-0.32468712,4,179.9454545,127.6636364,FALSE,25.86119491,5.555899523,18
35,30,-2.846100306,4,155.0283019,132.7169811,FALSE,27.16687133,5.669073045,18
36,33,-2.556391691,3,34.64444444,34.87407407,FALSE,32.27491189,5.829198474,25
36,26,-2.434095366,3,38.5026178,48.03141361,TRUE,48.42658786,5.601182875,9
36,34,-3.050033849,3,110.4747736,70.66494179,FALSE,153.3887728,42.77777748,25
36,27,-0.174786364,3,183.3378378,61.94594595,FALSE,36.93924949,6.841647209,5
36,28,-2.534025657,3,78.17241379,81.66283525,TRUE,63.98342808,5.646922053,9
36,15,-0.325892724,3,173.3984962,74.08270677,FALSE,57.95274369,7.561423702,10
