ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,326,782,149,65,115,42,130.93251533742333,53.015337423312886,1.9043584463088012,361,0.9641237829675868,20.37341629633241,1,0.41687979539641945,0.5251112267957169,39.84741516520157,36.89173349139343,5.385164807134504,2.5336416522009584,2.23606797749979,10.46141369369304,10.577618592885974,61.70854675661048,88.32590180780451,0.9030470914127424,130.93251533742333,53.015337423312886,0,91.67263191860317,64.48532498390394,2,3.0,69.4055944055944,119.20250276257222,7,1,1,1,0.0,0.0,nan,0.0,1.0,1,nan,0.0,0,0.0,0.0
1,2,259,320,212,64,180,54,195.15444015444015,58.83783783783784,1.6623815244082847,275,0.9624617704020668,18.159544104586082,1,0.809375,0.6015466277249107,35.25594720875169,31.400636936215164,5.0,2.419268182595371,2.0,8.69143162008178,9.569073336264882,86.03881246650087,73.55634918610404,0.9418181818181818,195.15444015444015,58.83783783783784,0,134.9241872159206,64.48532498390394,1,4.0,76.1006289308176,69.13953913846343,4,2,2,2,0.0,0.0,nan,0.0,2.0,1,nan,0.0,0,0.0,0.0
1,3,261,459,344,93,317,76,329.6168582375479,83.66283524904215,1.4174625744335578,275,0.9242055268160065,18.229523339239496,1,0.5686274509803921,0.7054859987394144,29.586620446996342,28.653097563788805,5.830951894845301,2.6673329368460785,2.23606797749979,11.371354022617197,11.298996096499168,-61.39500439430895,68.18376618407356,0.9490909090909091,329.6168582375479,83.66283524904215,0,27.89051640900395,94.601483109962,4,3.0,51.47347740667976,136.73486158702454,2,3,3,3,0.0,0.0,nan,0.0,3.0,1,nan,0.0,0,0.0,0.0
1,4,348,645,247,134,232,91,239.35919540229884,112.0,2.2198346923315593,387,0.9794901542978292,21.049640414216977,1,0.5395348837209303,0.45048399480128404,47.504803513893584,42.95346318982906,5.0,2.3930322721358555,2.23606797749979,8.82522608121828,9.571839233477695,-11.215239402472978,98.5269119345812,0.8992248062015504,239.35919540229884,112.0,0,135.2437873035697,69.13953913846343,2,5.0,100.0,81.95115465051839,8,4,4,4,0.0,0.0,nan,0.0,4.0,1,nan,0.0,0,0.0,0.0
1,5,219,270,50,152,40,125,44.21461187214612,138.0958904109589,1.4677899373914192,231,0.9415399424922583,16.698486766680407,1,0.8111111111111111,0.6812963997949303,28.905004295465773,26.476404589747453,5.0,2.436755233628259,2.0,8.94495361206257,9.738135700737216,6.217426220790993,63.55634918610405,0.948051948051948,44.21461187214612,138.0958904109589,0,60.67414281526589,28.9330082508327,6,3.0,71.27882599580713,79.76426550076428,7,5,5,5,0.0,0.0,nan,0.0,5.0,1,nan,0.0,0,0.0,0.0
1,6,208,300,53,180,41,155,46.57211538461539,166.93269230769232,1.4062577615372776,221,0.9326425562503673,16.273715780512877,1,0.6933333333333334,0.7111071862862687,27.217530153054337,25.0,5.0,2.4040472882488406,2.118033988749895,8.97381812634432,9.820130981098021,13.75040487534255,60.62741699796952,0.9411764705882353,46.57211538461539,166.93269230769232,0,98.29070710125636,28.9330082508327,5,3.0,70.09569377990431,70.27679100157711,7,6,6,6,0.0,0.0,nan,0.0,6.0,1,nan,0.0,0,0.0,0.0
1,7,213,414,126,183,108,160,116.70892018779342,171.3661971830986,1.4446564335300878,226,0.9369637095773966,16.46815177937675,1,0.5144927536231884,0.6922061029807978,27.980917357805996,26.076809620810597,5.0,2.387718534577991,2.23606797749979,9.152553237716281,9.777279145343998,-35.29949057150252,62.18376618407356,0.9424778761061947,116.70892018779342,171.3661971830986,0,21.035150083477756,70.27679100157711,6,7.0,100.0,79.76426550076428,5,7,7,7,0.0,0.0,nan,0.0,7.0,1,nan,0.0,0,0.0,0.0
1,8,196,391,244,203,221,186,232.19897959183675,193.6377551020408,1.4993607676586513,209,0.9410474618810556,15.797308339337176,1,0.5012787723785166,0.6669508910531017,27.24090299358579,25.238858928247925,4.47213595499958,2.277820220425198,2.23606797749979,8.403430671982933,9.214904335005047,58.170584687294294,60.76955262170047,0.937799043062201,232.19897959183675,193.6377551020408,0,27.388559883931503,57.831683812020096,9,5.0,100.0,69.2454244211495,10,8,8,8,0.0,0.0,nan,0.0,8.0,1,nan,0.0,0,0.0,0.0
1,9,237,312,295,231,269,219,281.2911392405063,224.20675105485233,1.366688044080846,251,0.914011767304635,17.371176474327626,1,0.7596153846153846,0.7316958718787514,27.326791257046743,26.248809496813376,6.0,2.6346510383320045,2.23606797749979,11.0,11.086142396195203,80.64099813511139,63.79898987322333,0.9442231075697212,281.2911392405063,224.20675105485233,0,28.494178070616712,32.06309551948449,10,5.0,81.42857142857143,38.61437403334564,11,9,9,9,0.0,0.0,nan,0.0,9.0,1,nan,0.0,0,0.0,0.0
1,10,197,304,277,263,258,247,267.5532994923858,253.1776649746193,1.3222587208143857,215,0.8341611768922466,15.837556323903858,1,0.6480263157894737,0.756281644627078,21.737393840305014,22.02271554554524,5.830951894845301,2.5777038346449213,2.23606797749979,11.384615384615385,11.988623621522928,65.82089840665147,57.21320343559643,0.9162790697674419,267.5532994923858,253.1776649746193,0,95.80781073309585,18.51678663825278,11,5.0,99.72826086956522,32.06309551948449,9,10,10,10,0.0,0.0,nan,0.0,10.0,1,nan,0.0,0,0.0,0.0
